Name,Summary,eggman,2d,dr,ratchet,rayman,spyro,platforming,clank,sonic,platformer
Super Mario 64," courtesy of nintendo power:          featuring some of the finest 3-d graphics and game play ever developed        for a video game, super mario 64 set a new standard for interactive        entertainment when it was launched with the nintendo 64. super mario        64's vast worlds teem with daunting obstacle courses, hidden items,        puzzles and more than 30 enemies!the action begins when mario        goes to visit the princess, but finds her castle eerily empty. leaping        through pictures hanging from the walls, he enters 15 magical worlds to        search for 120 power stars. mario has more than a dozen moves, including        running, jumping, swimming, stomping and punching, and even performing a        backward somersault! when troublemakers swipe mario's cap, he'll have to        grab it back! special caps give him short-lived powers, including the        ability to fly. super mario 64 features unmatched camera control that        make adventuring in its 3-d world a snap even for newcomers.       mario runs freely in a grassy meadow, tiptoes through a gloomy dungeon,        climbs to the top of a snow-covered mountain, hot-foots it over lava        lakes and swims in the castle moat. he can explore an ancient pyramid        and even race koopas for fabulous prizes. and he must fight his        archnemesis bowser, king of the koopas, not once, but three times! ",0,0,0,0,0,0,0,0,0,0
Super Mario Land 2: 6 Golden Coins,"temper tantrum tyrant seizes mario land!
in his greatest game boy adventure, mario faces off against his evil rival wario, who has captured mario land and turned it into his private playground. to toss wario off his ill-gotten throne, mario must search all-new worlds for the six golden coins that unlock the gate to mario's castle. a mob of monsters, old and new, seek to stop him. along the way, through 6 zones, mario can nab power mushrooms, super stars and fire flowers for extra power. and if he eats the magic carrot, he'll turn into a high-flying hare. the battery pack saves your game in progress in this biggest game boy mario adventure yet.
* back of box (pal) ",0,0,0,0,0,0,0,0,0,0
Super Mario 64 DS,"                                     the all-time classic is back – and better than ever! super mario 64 ds        is the perfect showcase for the power of nintendo ds, with touch        sensitive control, dual screen gameplay and slick 3d graphics.       play the complete nintendo 64 adventure, now with all-new characters,        courses, game modes and challenges. or battle with three friends in        wireless versus mode (the game supports single-card play for downloading        the game wirelessly to friends’ systems). last, and definitely not        least, you can try your hand (or your stylus) at tons of new        touch-sensitive mini-games. source - www.nintendo.com  ",0,0,0,0,0,0,0,0,0,0
Terraria,"dig, fight, explore, build! nothing is impossible in this  action-packed adventure game. the world is your canvas and the ground  itself is your paint.
grab your tools and go! make weapons to fight off a variety of  enemies in numerous biomes. dig deep underground to find accessories,  money, and other useful things. gather resources to create everything  you need to make the world your own. build a house, a fort,  or even a  castle. people will move in to live there and perhaps even sell you  different wares to assist you on your journey.
but beware, there are even more challenges awaiting you... are you up to the task? ",0,0,0,0,0,0,0,0,0,0
Super Mario All-Stars,"the all-star magic of mario continues!
revisit the magic and fun of the classic super mario. series on your super nes! all the great super mario bros. games for the nes have been powered up with 16-bit graphics and sound and collected on one super game pak. as an added bonus, the previously unreleased ""lost levels"" are included. these super challenging courses have never been available in this country until now!
-four great games in one game pak!
-battery backed memory saves up to 4 players' progress through every game!
-play alone or 2 players can alternate play!
-new 16-bit graphics, sound, and other surprises!
*back of box (pal) ",0,0,0,0,0,0,0,0,0,0
Donkey Kong Country,"
donkey kong country is an incredible island adventure, and the first game to feature donkey kong's sidekick, diddy kong®. challenged by the crazed tribe of reptilian kremlings, the kongs face their cunning adversaries armed with lightning-quick moves, chest-pounding muscle and awesome aerial acrobatics. the duo also gets help from a host of friends and family, from funky kong™, cranky kong™ and candy kong™ to rambi™ the rhino, expresso™ the ostrich, enguarde™ the swordfish, squawks the parrot and winky the frog. this game has more than 30 levels, plus dozens of hidden caves and secret rooms - more than 100 areas in all. help the kongs recover their stolen banana hoard!
 
from: www.nintendo.com ",0,0,0,0,0,0,0,0,0,0
Crash Bandicoot 2: Cortex Strikes Back,"the evil dr, neo cortex is back with a vengeance ... this time ... to save the world? and he's asking for help from his arch nemesis, crash bandicoot? or is this just some conniving plan to lure crash into a deadly trap for his own evil bidding? find out as crash takes on a whole new adventure that's out of this world!
 
source - www.us.playstation.com ",0,0,0,0,0,0,0,0,0,0
Super Mario Bros. 2,"super mario bros. 2 is a platforming video game developed and published by nintendo for the nintendo entertainment system video game console. it was released in north america in october 1988, in europe on april 28, 1989 and in japan on july 14, 1992. it was rereleased on the wii virtual console in europe, australia and new zealand on may 25, 2007. super mario bros. 2 did not begin life as a super mario bros. title; it is a remake of the japanese famicom disk system title yume kōjō: doki doki panic. nintendo's own sequel to super mario bros. was released in japan as super mario bros. 2 in 1986. however, because of that game's extreme difficulty and its close similarity to the original game, nintendo decided not to release it in the united states, instead releasing yume kōjō: doki doki panic with mario characters under the title of super mario bros. 2. japan later saw the modified release under the title of super mario usa. because it was not originally a mario title, this game differs greatly from the original super mario bros. however, despite its status as the black sheep of the series, many elements from super mario bros. 2 have become part of the mario series canon and the repertoire of recurring elements. the game also sold well in its own right and was critically acclaimed at the time. ",0,0,0,0,0,0,1,0,0,0
Super Mario Galaxy 2,"mario blasts off for another out-of-this-world adventure
in 2007, super mario galaxy took the world of video games by storm. now        this first true mario sequel in years re-energizes the franchise with        new levels and new power-ups. plus this time mario gets to team up with        his dinosaur buddy yoshi, who adds new possibilities to the        gravity-defying game play. it’s everything you love about the first game        and more.

 mario collects stars as he travels from galaxy to galaxy. every level          is new, but the game retains the charm, sense of wonder and beauty in          line with mario’s history. mario works his way through the various          levels, sometimes upside-down, sometimes floating from place to place. 
 on some stages, mario can find an egg, smash it open and hop onto the          back of yoshi. yoshi can use his tongue to grab items and shoot them          back at enemies, or to snag attach points and swing across chasms. 
 yoshi has an interesting diet. when he eats a dash pepper, he gets so          hot and frenzied he can run up steep inclines and vertical walls. when          he eats a blimp fruit, he inflates like a balloon and floats to new          heights. 
 new power-ups include a drill that mario uses to tunnel through the          planet’s surface all the way to the other side of a planet. 
 skilled players will want to collect new comet metals, which will          unlock harder levels with even more challenges. 

 
(nintendo) ",0,0,0,0,0,0,0,0,0,0
Crash Bandicoot 3: Warped,"oh, yeah ... he's back ... and he's ready! it's a whole new time-traveling adventure! scuba-dive, ride a motorcycle and a baby t-rex, and go free-roaming airborne in a plane. play as coco! gallop along the great wall of china on a tiger; go extreme on a jet ski and other high-flying surprises!
 
source - www.us.playstation.com ",0,0,0,0,0,0,0,0,0,0
Crash Bandicoot,"enter the vivid world of crash bandicoot, a marsupial on a mission! his brain's been scrambled, his girlfriend is held captive and his arch nemesis has a big n on his forehead! and you thought you had it tough!
playstation ",0,0,0,0,0,0,0,0,0,0
Donkey Kong Country Returns,"controlled by a group of evil tikis, the animals in donkey kong island have raided donkey kong’s banana hoard and stolen his stash of bananas – and he understandably wants them back. retro studios brings donkey kong back in a new side-scrolling adventure with familiar characters and new levels that reignite the passion players had for the super nes original.
features:

retro studios faithfully restores everything that made the original series great, from barrel cannons to mine carts, and then builds on those elements with stunning graphics and new layers of depth to the world and game play. the game offers the traditional side-scrolling experience everyone loved, but with levels created in fully rendered 3-d environments.
diddy kong joins the quest. with his trusty backpack, he can produce a jet pack or peanut pop guns to give donkey kong more abilities.
for the first time ever, the franchise features the ability for two people to play together at the same time – one as donkey kong, one as diddy kong. players can navigate the levels separately or as one unit. diddy kong can ride on donkey kong’s back and hop off whenever he pleases, allowing novice players to ride on donkey kong’s back through more challenging areas of the game.
hidden items, puzzle pieces and other surprises are found all through the jungle. spell out k-o-n-g by the end of each level to earn an extra bonus.
motion controls give players a real feeling of control. players move donkey kong using the control stick on the nunchuk controller and can shake the wii remote controller to make donkey kong slap the ground.
vibrant colors, beautiful graphics and fun characters draw players in. even people who have never played a donkey kong game before can pick up a controller and start collecting loads of bananas.
every level offers new fun and new challenges. sometimes donkey kong is running through the jungle, sometimes his action takes place on a tropical beach and other times he must become a master of timing as he jumps chasms in a mine cart.
 ",0,0,0,0,0,0,0,0,0,0
Sonic the Hedgehog 2,"dr. eggman (aka dr. robotnik) is back to continue his zealous search for the chaos emeralds needed to fuel his new death egg contraption. the evil doctor secretly follows sonic to his vacation spot, westside island, and launches a full-scale attack, imprisoning all the helpless animals of the island and turning them into mindless worker drones. now sonic must thwart the doctor’s plans at all costs. this time he isn’t alone, as a peculiar two-tailed fox named miles prower (aka tails) decides to aid him in the battle. together they must locate the chaos emeralds before dr. eggman does, and put an end to his diabolical scheme. from: www.nintendo.com  ",2,0,0,0,0,0,0,0,2,0
Super Mario Sunshine,"dark days on isle delfino!
when mario arrives on tropical isle delfino, the once-pristine island is polluted and plastered with graffiti. even worse, he's being blamed for the mess! now instead of enjoying a relaxing vacation, mario has to clean up the place and track down the real culprit.

mario's new multipurpose water pack, fludd, let's him spray goop away and hover over danger. it even has rocket and turbo nozzles!
scale soaring cliffs, wall-jump up perilous passageways and even tiptoe along tightropes as you tour the island, mario-style!
yoshis are back! when mario feeds the hungry dinos fruit, they'll help him jolt tropical troublemakers with juice!
armed with fludd, mario will battle all sorts of big, bad bosses, including goop-spewing piranha plants!

*nintendo - back of box
  ",0,0,0,0,0,0,0,0,0,0
LittleBigPlanet,"the  littlebigplanet experience starts with players learning about their character’s powers to interact physically with the environment. there are obstacles to explore, bits and pieces to collect and puzzles to solve – requiring a combination of brains and collaborative teamwork. as players begin to explore, their creative skills will grow and they will be ready to start creating and modifying their surroundings – the first step to sharing them with the whole community.
characters  have the power to move anything in this glued and stitched-together  landscape;    they have the power to design, shape and build both  objects and entire locations for others to play.
there’s no complicated level editor; all of these skills can be learnt by simply playing the game. creativity is part of the gameplay experience and playing is part of the creative experience. players can make their world as open or as secretive to explore as they like.
when it’s ready, they can invite anyone within the littlebigplanet community to come and explore their patch – or can go and explore everybody else’s.
from: media molecules website http://www.mediamolecule.com/games.html ",0,0,0,0,0,0,0,0,0,0
Super Mario 3D World, ,0,0,0,0,0,0,0,0,0,0
New Super Mario Bros. U,"new ways to play and share your mario fun
new super mario bros. u is a new, side-scrolling adventure featuring mario, luigi, toad … and your mii character. now’s your chance to step inside the mushroom kingdom and explore new worlds, new power-ups and new ways to play. up to five players* can jump into the fun, with up to four people using wii remote controllers and one on the wii u gamepad. the experience is different, depending on which controller is used.
source: nintendo ",0,0,0,0,0,0,0,0,0,0
Super Mario World: Super Mario Advance 2,"one of mario's greatest adventures is in your hands!bowser and  his crew of cruel koopalings have taken over dinosaur island, but  luckily, mario and luigi are up for some koopa-kicking.  as they ride  yoshi, search for p-switches, find secret paths, blast fireballs, and  soar skyward with the cape, they'll need to use every trick in the  plumber handbook.  dino rhinos, chargin' chucks, and a host of  unforgettable enemies await in one of the mario bros. biggest and most  challenging adventures ever!

all 96 levels in the palm of your hand!  ride yoshi from the  spooky forest of illusion to the super-tough star road - everything from  the super nes classic is here, powered up with all-new features for the  game boy advance.
luigi's ready, so pick a bro and go!  now you can play as mario or  his brother, luigi, who can jump and fly higher than his famous  sibling.  which bro is the best for each stage?
get linked!  using a single game pak, link up four players and  play the timeless mario bros. arcade game.  you can even connect with  super mario advance game paks for multi-pak madness!

 
 
-back of box- ",0,0,0,0,0,0,0,0,0,0
Super Mario Advance,"two classics, one pak!
super mario bros. 2 and mario bros., together in one game pak-and on game boy advance, they're better than ever!  there's all the running, jumping, and veggie flinging that made the nes super mario bros. 2 a smash hit, plus new enemies and bigger items.  and in the updated arcade classic mario bros., you can work together or have a brawl bumping off baddies and collecting coins.  it all adds up to advanced mario mayhem!
- 20 levels of fiend-infested fun!  play as mario, luigi, peach, and even toad, each with unique running, jumping, and lifting abilities.  hurl an amazing array of items like bombs, turtle shells and pow blocks to topple enemies and clear the path!
- two multiplayer modes for up to 4 players!  in single-pak play, up to four can connect with game link advance cables and just one game pak.  in multi-pak play, connect up to four game boy advance systems using game link cables and one game pak per person.
- powered up play on game boy advance!  the world's most powerful handheld system brings you bright, colorful graphics, more on-screen enemies, and amazing voices and sound effects.
(source: back of box) ",0,0,0,0,0,0,0,0,0,0
Super Mario Advance 4: Super Mario Bros. 3,"mario and luigi to the rescue!
the seven cruel children of bowser have transformed all the kings of mushroom world into animals.  help mario and luigi to regain the magic wands that have the power to restore the kings.  experience this renowned classic nes game in its extended version, as you battle your way through over 80 levels of exquisite platform action.  additionally, you can link up with any super mario advance game for multiplayer mario bros. madness!
source - back of box ",0,0,0,0,0,0,0,0,0,0
Crash Bandicoot: The Wrath of Cortex,"dr. neo cortex has developed a secret plan to finally get rid of his arch-nemesis, crash bandicoot. he discovers the resting place of the elemental powers and unleashes their destructive energies of earth, fire, air, and water on the helpless planet earth. cortex will never get a break, so long as crash bandicoot is in town. or maybe it should be the other way around? either way, cortex is always causing trouble, and crash is always the subject of pain, danger, and heroism because of that. join crash and sister coco as they romp through amazing lands and incredible exploits in their first-ever adventure on the playstation 2! the bandicoot is back, with cooler vehicles, hotter moves, and mind-blowing graphics to face his toughest challenge yet, the wrath of cortex. it's going to be just like the good old days, only better.
 
source: us.playstation.com ",0,0,0,0,0,0,0,0,0,0
Donkey Kong 64,"k. rool has ape-napped the kongs!can donkey kong rescue his friends, reclaim the golden bananas and save his homeland from certain doom? take out some kremlings with chunky's pineapple launcher or lanky's trombone. float through the air using tiny's pony tail twirl. even rocket to the sky with diddy's jetbarrel!

don't forget the mini-games! challenge a seal to a race around the lagoon, go on a crazy mine cart ride, and be on the lookout for a blast from the past...
four players can join in on super split-screen action or duke it out in a single-screen free-for-all!
use of the required expansion pak (included) allows incredible real-time lighting effects and massive environments

- from game back cover ",0,0,0,0,0,0,0,0,0,0
Super Mario Land 3: Wario Land,"be a bad boy! 
wario schemes to steal all pirates' treasures on kitchen island so he can build his own castle! help him by smashing the magic pots, because this will change him into bull wario, dragon wario and many others! with each change there will come new powers so he can beat his enemies! with game pak memory to save your progress for many hours of fun!
* back of box (pal) ",0,0,0,0,0,0,0,0,0,0
Donkey Kong Country 2: Diddy's Kong Quest,"
in the sequel to the immensely popular donkey kong country™, diddy kong® gets the spotlight, along with his girlfriend, dixie kong™ - a great little monkey with a dangerous ponytail. the action starts on the wreck of king k. rool's gangplank galleon that has apparently broken up on a reef offshore from the kremlings' island. diddy and his friends will have to work together to rescue donkey kong®, exploring all the hidden areas of the kremlings' island: a spooky haunted forest, treacherous swamps, a giant beehive oozing with sticky honey and lava-filled caves, just to name a few.
 
from: www.nintendo.com ",0,0,0,0,0,0,0,0,0,0
Kirby's Dream Land," 
kirby to the rescue!
dream land is in peril! an evil king has stolen the magic twinkle stars. if they're not recovered, the people of dream land could starve.
meet kirby, a roly-poly little hero, as he runs, jumps, floats and swims in search of the treasured twinkle stars. he'll puff his way through castles, caves, dungeons and forests. in his path are many wicked and greedy enemies but kirby has a special way to defeat them! it's non-stop action all the way to the top of mt. dedede!
*back of box ",0,0,0,0,0,0,0,0,0,0
Super Mario Bros. Deluxe, ,0,0,0,0,0,0,0,0,0,0
Spyro the Dragon,"gnasty gnorc decides to make the dragons pay for all of the insults they have directed his way. after dabbling in magic, gnasty turns the gems that litter the world into his soldiers and changes the dragons into crystals. however, the magic spell missed a young dragon named spyro. you must guide spyro through 36 levels spread across six worlds as he tries to free his brethren from their crystalline prisons. to make his way through each stage, spyro can run, jump, glide, walk, roll, and fly. when he encounters an enemy, he can dispose of them with fire-breath or a charge attack. when the going gets really tough, power-ups upgrade the fire-breath to a fireball or superflames. try to save the other dragons and return the world to normal in spyro the dragon. ",0,0,0,0,0,3,0,0,0,0
Crash Bandicoot N. Sane Trilogy,"spin, jump & wump!
your favorite marsupial, crash bandicoot®, is back and he’s enhanced, entranced & ready-to-dance! now you can experience crash bandicoot like never before in fully-remastered hd graphical glory.
take on the epic challenges and adventures of the three games that  started it all, crash bandicoot®, crash bandicoot® 2: cortex strikes  back and crash bandicoot®: warped.
source: https://www.crashbandicoot.com/uk/en/ ",0,0,0,0,0,0,0,0,0,0
Pitfall!,"picture this!  you are deep in the recesses of a forbidden jungle--an unforgiving place few explorers ever survive.  but you've got courage, because you're with pitfall harry, the world famous jungle explorer and fortune hunter extraordinaire.  the lure of hidden treasure draws you and harry deeper anddeeper into the bush.  but, being a great explorer, you wouldn't think of starting such a difficult journey without reading this manual first--very carefully.the object of pitfall! is to guide harry through a maze of jungle scenes, jumping over or avoiding many deadly dangers, and helping harry grab the most treasures in the shortest possible time.
(credit: activision; direct excerpt from original game instruction manual) ",0,0,0,0,0,0,0,0,0,0
Daxter,"          an all-new adventure platformer made exclusively for the playstation® portable entertainment system, daxter™ is centered around the world of the lovable orange ottsel made popular in the multi-million-selling jak and daxter franchise.   the story unfolds as daxter searches for jak, who was imprisoned during the events that led to the start of jak ii™. daxter, now on his own in an unfamiliar place, quickly realizes that being small and furry won’t help his chances of survival. to help stamp out a mysterious metalbug infestation, daxter takes on a job as a pest exterminator, enabling him to explore parts of haven city in an effort to collect the clues that will lead him to jak. play as the dastardly daxter - daxter allows gamers to play from his perspective offering a distinctive set of moves with agile abilities that allows players to climb walls, creep up on enemies, fit in small places and maneuver vehicles. the best in action platforming - taking a job as a pest exterminator, to fight an ongoing invasion of metal-bugs, daxter comes equip with gadgets to rid the city of these metal nuisances. get close up and personal by using your flimsy bug swatter to squash an army of attacking insects or your spray gun to hover around a variety of environments while picking up various upgrades. exciting wi-fi gameplay - compete head-to-head against crushing opponents in a variety of mulitplayer combat arena challenges.  all new playstation®2 and playstation® portable connectivity - gamers can use their playstation portable to unlock drivers, vehicles and graphics for jak x: combat racing or connect to their playstation 2 to open up secret features in daxter via usb® connection.source - www.us.playstation.com ",0,0,0,0,0,0,1,0,0,1
Super Paper Mario," the newest chapter of the paper mario story isn’t just out of this world … it’s out of this dimension. what at first glance appears to be a 2-d sidescroller ripped straight from the pages of the paper mario universe soon turns into a 3-d action-adventure that defies all video game logic. fusing 2-d and 3-d perspectives, not to mention rpg and platformer elements, the game slips back and forth between dimensions. the action sprawls across eight worlds filled with traps, puzzles, bizarre mysteries and items that often draw themselves out of thin air. oh, and just because mario’s in the title doesn’t mean he’s the only star – players also get to play as peach and bowser. ",0,0,0,0,0,0,0,0,0,1
Teenage Mutant Ninja Turtles,"cowabunga! take control of the turtles in a half shell and rescue reporter april o’neil from the clutches of the evil shredder. battle against the foot ninja clan as leonardo, michaelangelo, donatello, and raphael with their trademark weapons and ninja abilities. search through 5 stages and dozens of areas throughout the new york city sewers, rooftops, and ultimately shredder’s technodrome to save april. scarf down some pizza to keep up your energy, as you’ll need it to defeat shredder. turtle power!source: nintendo.com ",0,0,0,0,0,0,0,0,0,0
Super Mario World 2: Yoshi's Island,"yoshi returns to save baby mario in this sequel to super mario world! the evil magikoopa, kamek, is out to kidnap baby mario. you play as yoshi with a mission to successfully carry baby mario back to his parents in the mushroom kingdom while avoiding all of kamek's clever traps and evil minions. the levels have a unique, hand-sketched look that gives this game a style all its own. yoshi's island has six worlds, each with eight stages. there are six kinds of bonus challenge games to earn extra lives or items. this game features the super fx2 chip which allows for incredibly smooth vertical, horizontal and diagonal scrolling, as well as multiple foregrounds, multiple backgrounds, scaling, rotation, zooming, tons of special effects, huge characters and even bigger bosses! ",0,0,0,0,0,0,0,0,0,0
Disney's Aladdin,"hang on to your carpet for action and fun! aladdin slashes his shining scimitar to fight through agrabah, escape the sultan's dungeon, survive the fiery cave of wonders, snatch the genie's lamp and save princess jasmine from the evil jafar! all-new technology creates animation so smooth, it's like watching a real animated film. aladdin battles thieves and desert warriors, and barely dodges danger on his high-speed carpet. survive jafar's troops for a dash through special bonus rounds. hilarious! palace guards drop their drawers and camels spit dirt wads. aladdin ping-pongs like a pinball inside the genie's lamp! ",0,0,0,0,0,0,0,0,0,0
Super Mario Maker,"anyone can make it.
everyone can play it.
source: supermariomaker.nintendo.com ",0,0,0,0,0,0,0,0,0,0
Donkey Kong Land,"monkey mayhem comes to game boy with all-new kong adventures! donkey kong teams up with his sidekick, diddy kong, for new adventures and gorilla antics. facing high-flying pigs, deadly zingers, and reptilian kremlings our duo swings back into action! challenged by incredible perils they clamor their way through the mysterious pirate ship, perils in the snow, an unbelievable aquatic temple, and crazy capers in the sky. grab a vine and join the thrills in the land of kong! ",0,0,0,0,0,0,0,0,0,0
