Name,Summary,speed,driver,racers,drivers,driving,tracks,car,race,cars,racing
Super Mario Kart,"super mario kart can be played by one or two players. all gameplay uses a forced split screen view. in single player mode, the top displays the course, while the bottom screen can either display a rear-view mirror perspective, or an overhead view of the whole track, displaying where all the racers are currently. in multiplayer, the bottom screen is assigned to the second player's view. the first single player mode is mariokart gp, in which one player races seven computer-controlled drivers or ai. engine classes of 50cc, 100cc, and 150cc are available (150cc is available upon acquiring gold in all the cups in 100cc). larger engines result in faster vehicles and a greater level of difficulty. there are four cups to select: the mushroom, flower, star, and special cups (100cc and 150cc only). each cup consists of five tracks and the player must receive fourth place or better in any track to advance to the next. places five through eight are given the ""ranked out"" title. the second mode is time trial, in which the player races through one track in an attempt to set a record for best lap time or course time. three multiplayer modes are also available: the first is mariokart gp, which plays just like the single player version, but with one less computer-controlled driver. in order to proceed to the next track only one of the drivers is required to rank in the top four. the 2nd mode is match race, which is a one-on-one race on any track. the last mode, battle mode, is the only mode in which players do not race. two players choose from four levels specially designed for battle mode and try to pop the three balloons surrounding the other player with items such as koopa shells or banana peels. the last player with balloons wins. in mariokart gp and match race modes racers can collect coins which affect top speed and acceleration. in all modes, lakitu rescues drivers who have driven off the track for a price of two coins. in battle mode and time trials, there are no coins and thus no charge. ",1,0,2,3,0,1,0,2,0,0
Mario Kart 8,"feel the rush as your kart rockets across the ceiling!
race upside-down and along walls on anti-gravity tracks in the most action-fueled mario kart™ game yet! take on racers across the globe and share videos of your greatest moments via mario kart tv.
driving up a waterfall or across the ceiling can provide an intense adrenaline rush, but that’s not all anti-gravity is good for. it also provides a wild new gameplay mechanic: if you collide into other racers in zero-g, you’ll earn speed boosts worth bragging about. luckily, you can upload and share your best moments and watch your friends’ using the all-new mario kart tv. returning features include 12-player online play, gliders, underwater racing, motorbikes, and custom karts. you can even race as bowser’s seven minions, the koopalings!
source: nintendo ",1,0,2,0,1,1,0,2,0,0
Need for Speed Underground,"build and race the fastest urban exotic!  enter the world of urban street racing and high performance tuner cars with the latest title in the hit need for speed series: need for speed™ underground. take on today's most popular tuner cars from mitsubishi motors, subaru®, toyota™ and many more, building the ultimate street machine by earning cash to pay for custom body kits and a host of licensed car performance mods. but just creating a custom street racing machine will not get you to the top; it takes a certain amount of attitude and razor sharp driving skills to compete in the tough world of urban racing.  a number of diverse events set in gritty, nighttime environments make up the heart of street competition. players become complete street racers by perfecting skills in each event by nailing the perfect shift in drag racing and by putting their street cred on the line, racing through the city streets late at night.  prove you belong in the elite street racing circles, work your way up the underground rankings and take on the best of the best in each discipline.
electronic arts uk ",1,0,1,0,1,0,1,1,2,5
Need for Speed Underground 2,"discover the living, breathing world of tuner culture in need for speed™ underground 2, the sequel to the best-selling racing game of 2003, and the latest blockbuster installment in the legendary need for speed franchise.  taking place in a massive, free-roaming city featuring five distinct interconnected neighborhoods, need for speed underground 2 delivers an immersive game world where the streets are your menus. as players explore the city, they'll encounter rival racers who will school them in the ways of the underground and tip them off to the hottest racing spots in town.  deep new performance tuning allows gamers to fine-tune every aspect of their ride's handling and performance, while hundreds of new visual customizations guarantee players can create their own personalized, totally unique car.  all-new game modes join circuit, drift, and drag events to add depth and variety, pushing car and driver to the limit, while more than a dozen new cars and hundreds of aftermarket parts from the biggest names in the business make need for speed underground 2 the deepest, most authentic tuner experience ever.
 
source - www.electronicarts.co.uk (publisher) ",3,1,1,0,0,0,1,0,1,2
Mario Kart: Double Dash!!,"pick a partner and race through wild courses as you compete in tough circuits or duke it out with power-ups and items in battle arenas. double the fun! each kart holds two racers who can switch places at any time. choose from a huge cast of favorites, like: luigi, peach, baby mario, baby luigi, wario and many more, and pair them up in any combination. the character in front handles the driving duties, while the character in the rear doles out damage with six different items plus eight special items that only specific characters can use. reach new levels of frenzy with four-player mayhem, as each player controls two characters as they speed through mushroom kingdom courses. place first in racing circuits to open up progressively more difficult circuits. of course, you can have multiplayer races on any open courses or battle in arenas. link the game with eight other players using a broadband adapter and race each other side-by-side using multiple game systems and multiple televisions! [nintendo] ",1,0,1,0,1,0,0,2,0,1
Mario Kart: Super Circuit,"get supercharged!
all of your favorite kart-racing characters are back and ready to kick it into high gear! now 20 brand-new tracks await on your game boy® advance, loaded with classic power-ups and primed for the free-for-all racing that only mario kart can deliver. burn rubber in the grand prix, race your pals, race your own ghost, or shift gears for the mayhem of battle mode - the power's in the palm of your hand!

the gang's all here! mario™, donkey kong®, princess peach, and five others are ready to roll, each with unique racing skills.
all-new tracks! master each of the 20 courses to unlock hidden bonus tracks!
power-up! wield all of the best items from super mario kart® and mario kart 64™, including bananas, red shells, and the fearsome spiked shell!
furious multiplayer action! link up with your friends using the game boy® advance game link® cable for single-pak race mode! multi-pak madness includes tons of races as well as the legendary battle mode!

- from game back cover ",0,0,0,0,0,1,0,3,0,2
Forza Motorsport 3,"whether it’s an exotic sports car like the new audi r8 v10, a classic american muscle car like the ford gt or a hot asian import like the nissan 370z, everyone has a dream car. now you can drive that dream with turn 10’s latest racing epic. launching this october exclusively for xbox 360, forza motorsport 3 unites the racing game genre, making it possible for everyone to experience the thrill of the world’s most exotic and exquisite cars. live the most realistic racing experience ever as you take the wheel of more than 400 of the most-beloved cars on over 100 renowned real-world tracks and exotic road courses from around the globe. with breathtaking high-definition graphics and the most advanced vehicle performance modeling in a video game, “forza motorsport 3” includes a host of driving assists and adjustable skill levels to make the game a gripping pick-up-and-play experience for audiences of all ages and skill levels.
your escape into the world of car culture in forza motorsport 3 doesn’t stop at the track. turn 10 is a proven leader in user-generated content creation in games. “forza motorsport 3” further fuels the imaginations of its already thriving community of painters, tuners and photographers with improved customization tools and brand-new ways to share creations with the world via xbox live. xbox live makes your journey into the forza motorsport community and the world of user-generated content easy and fun.
a love of cars lives in all of us. forza motorsport 3 is the automotive playground we’ve all been waiting for.
features

where dreams are driven: the cars and tracks. featuring the latest and greatest production offerings as well as the world’s fastest and most exotic street cars, forza motorsport 3 offers more than 400 fully customizable and tunable cars from over 50 of the world’s leading manufacturers. whether your passion is classic american muscle cars, european roadsters, purpose-built race cars or high-tech asian imports, “forza motorsport 3” puts you in the cockpit of the cars you love.
in addition to the return of world-famous tracks from previous forza motorsport games, including suzuka, nürburgring nordschleife and the sebring international raceway, forza motorsport 3 invites you to conquer the corners on more than 100 tracks, including some of the most beautiful road courses in the world. new environments like the gorgeous mountainous montserrat region in spain, the rugged amalfi coast in italy and the american southwest are presented in such majestic detail that you might find yourself pulling over just to take it all in.
the look and feel of a modern racing game: forza motorsport 3 is the definitive racing game. the appreciation of the automobile in forza motorsport 3 is due in large part to the team’s attention to detail. this is why automotive engineers from manufacturers like audi and champion race teams like peugeot as well as experienced computer graphics specialists from across microsoft corp. have all teamed up with turn 10 to make forza motorsport 3 the most beautiful and realistic racing game ever made. all 400-plus cars in the game have been built with more than 10 times the amount of polygons as forza motorsport 2. this includes painstakingly researched cockpits and interiors for every vehicle. but realism isn’t just about pretty graphics. turn 10 takes realism to new heights, leading the industry with the most advanced physics model, artificial intelligence and damage calculations. whether it’s the differences in how each car handles through the corners, how the engines sound at top speed or how different tires and upgrades impact your car’s performance, you’ll find yourself leaning into your turns as if you were really behind the wheel of your favorite ride.
it’s easy to go for a spin: forza motorsport 3 redefines the racing genre. simulation games can be too hard for some players. “forza motorsport 3” rises above the distinction between simulation and arcade games. using a myriad of cutting-edge driving and gameplay assists such as auto-braking, gameplay rewind and auto-tuning, forza motorsport 3 delivers an experience where everyone can have fun behind the wheel, regardless of your skill and dexterity. whether you’re a newcomer or a seasoned racing game pro, forza motorsport 3 caters to how you drive and evolves with you over time as your skills increase.
express your car passion: user-generated content and xbox live. painters and tuners will once again be able to showcase creativity through the celebrated livery editor, auction house and deep tuning garage in forza motorsport 3. the car is literally the artistic canvas as some of the world’s most creative car painters and designers find new layers of depth and freedom to create shocking visual masterpieces before sharing them with others over xbox live.
each car in forza motorsport 3 is fully upgradable, allowing gear heads to take on the challenge of turning a honda civic into a supercar killer. new xbox live leaderboards celebrate not only the greatest racers but also the most prolific car tuners and painters in the community.
play your way: new game modes. forza motorsport 3 is an epic racing game featuring more content and more ways to play than any racing title today. an innovative single-player season mode puts you through a completely personalized racing calendar that includes more than 200 different events, including circuit, oval, drag, drift and timed events. no two calendars are the same; they react to the cars you love and the races you enjoy most. in addition, the online multiplayer mode gains an all-new game rules editor. this gives players a never-ending variety of ways to play with friends. whether you’re a speedster, dragster, drifter, painter, tuner or just a lover of cars, forza motorsport 3 is the definitive racing game for you.
 ",1,0,1,0,2,2,9,2,8,12
Gran Turismo 5 Prologue,"the award-winning gran turismo™ franchise returns with its 5th installment, gran turismo™ 5 prologue, exclusively for playstation®3. with its signature realism and unrivaled physics, this highly anticipated precursor to gran turismo™ 5 continues to blur the line between simulation and reality.

race over 60 cars from worldwide automotive manufacturers, precisely modeled both inside and out.
all-new interior dash view, featuring full driver animation and working gauges.
compete on 6 tracks with 12 total layouts, including fuji speedway, suzuka circuit, and for the first time ever, daytona international speedway.
online racing with up to 16 players, complete with detailed rankings, plus downloadable ghost cars and race replays of top racers.
two-player split-screen offline racing.
new online community features including gran turismo tv, featuring worldwide automotive and motorsport programming.
tune vehicle performance, from suspension and tires to gear ratio and engine modifications.
rendered in stunning 1080p at 60 frames per second with crisp, realistic lighting and camera effects (replays rendered in 1080p 30fps).

source - www.us.playstation.com ",0,1,0,0,0,1,0,2,2,1
Gran Turismo 6, ,0,0,0,0,0,0,0,0,0,0
Diddy Kong Racing,"timber the tiger's parents picked a fine time to go on vacation. when they come back, they're going to be faced with an island trashed by the spiteful space bully wizpig - unless the local animals can do something about it! so join diddy kong as he teams up with timber the tiger, pipsy the mouse and taj the genie in an epic racing adventure unlike anything you've ever experienced before! ",0,0,0,0,0,0,0,0,0,1
Crash Team Racing,"it's a multi-player dart racing game starring your favorite bandicoot, crash, and a host of his friends ... and foes! the stakes are high and the competition fierce. ready ... set ... go!
 
source - www.us.playstation.com ",0,0,0,0,0,0,0,0,0,1
The Simpsons: Hit & Run,"something’s amiss in springfield! townspeople are disappearing, menacing black vans and video cameras are everywhere, and crop circles keep, well, cropping up. as your favourite simpsons character, unravel the plot that threatens the town through challenging levels and 56 missions. with over 5000 lines of authentic cast dialog and hours of original music, plus gags and surprises around every corner, the simpsons hit and run takes you deeper into the simpsons world than you ever imagined you’d go.
radical entertainment ",0,0,0,0,0,0,0,0,0,0
Gran Turismo,"800 cars, 35 tracks. only possible on the psp® system.prepare for the most authentic handheld racing experience as the best-selling gran turismo® series debuts on the psp® system. prove your driving skills on 35 tracks, and trade or share more than 800 stunning cars from the world's top manufacturers.
key features:

slick visuals – runs on a new graphics engine designed for the psp® system that delivers stunning visuals at a crisp 60 frames per second.
depth and variety – collect over 800 licensed vehicles from international automakers.
expand your collection - trade and share cars with friends to expand your collection via ad hoc wireless.
hit the road – race on 35 licensed and fictional tracks, with 60 track layouts total. compete in time trials, races, or drift mode challenges.
test your driving skills - complete over 100 challenges to hone your driving skills and learn new cornering, braking and other driving techniques.
friendly competition – using ad hoc wireless mode, pick a car and track and challenge friends to heated 4-player races, and enjoy party and shuffle race modes where the game adjusts start times or car line-up at the beginning of each race to keep competition close between players of different skill levels.
head start on gran turismo 5 - transfer your collection of cars to gran turismo 5 when it releases to get a jump on the competition.

 www.us.playstation.com
  ",0,0,0,0,4,0,2,3,3,1
Forza Motorsport 4, ,0,0,0,0,0,0,0,0,0,0
Need for Speed: Most Wanted,"wake up to the smell of burnt asphalt as the thrill of illicit street racing permeates the air. from the makers of the hit need for speed™ underground series that has sold more than 15 million copies worldwide, need for speed™ most wanted challenges players to become the most notorious and elusive street racer.   combining illicit street racing and tuner customisation with the intensity of strategic police pursuit that surpasses any hollywood-style chase scene, need for speed most wanted will be on every gamer’s ‘must-have’ list this holiday season. out-race rivals, evade cops and exploit hundreds of miles of open road as gamers make their way up the blacklist.   to become the most wanted racer, players must build up their street cred and rap sheet with gripping, white knuckle, head-to-head races with the top drivers on the streets, as well as pull daring, evasive moves to out-run and out-fox the cops that patrol the open road. players can manage their heat or utilise a number of strategic tactics to keep the cops off their tails as they leave their rivals behind to suck their exhaust fumes.   need for speed most wanted also features a variety of the hottest cars that range from tuners and super cars to muscles and sports cars. you can tune your ride to race against any class of vehicles. the streets will be your playground this fall.
electronic arts uk ",2,0,0,1,0,0,0,1,2,2
Excitebike,"originally released on nes, october, 1985wii points: 500 face crazy curves, hairpin turns, and daredevil jumps as you race toward the checkered flag and the excitebike championship. race against the clock or challenge an opponent. you must keep your bearings as you fly through the air, and avoid getting clipped by other racers. stay cool under pressure or your bike will overheat. if you get tired of racing on the circuit, create your own course in design mode. there you have access to all the ramps, mounds, bridges, and other obstacles excitebike has to offer. from: www.nintendo.com  ",0,0,0,0,0,0,0,2,0,1
Forza Motorsport 2,"forza motorsport™ 2, the sequel to microsoft game studios' award-winning, fully-customizable driving simulator forza motorsport™, speeds its way onto xbox 360™. buckle up for authentic simulation physics, bone-jarring damage, and photo-realistic graphics, as well as licensed tuning and customization options.experience uncompromising physics: top automotive engineers, professional race car drivers, and experienced programmers teamed up to create the most complete racing simulator experience available. cars incur dramatic damage and wear, which affects car performance. advanced tire and suspension models respond to heat and pressure changes as well as weight transfer and aerodynamic load.race real-world tracks: from the all-new world famous suzuka and sebring tracks to the spectator-lined streets of new york, race on meticulously designed tracks with an incredible sense of speed and realism. forza motorsport 2 features over 45 tracks carved out of 12 environments, including several real-world licensed circuits such as silverstone, tsukuba, and laguna seca. new real-world licensed circuits further expand the world of forza motorsport 2.collect, upgrade, and tune hundreds of cars: from sport compacts to purpose-built race cars, collect more than 300 cars from over 50 of the world’s leading manufacturers including ferrari, porsche, nissan, vw, gm, and lamborghini. take your car to the garage and install alternative engines, suspension kits, bolt-on superchargers, brakes, rims, racing slicks, and more. dial in advanced suspension settings, tire pressure, and gear ratios. forza motorsport 2 allows you to own the cars that will own the competition.  ",1,0,0,0,1,3,3,3,3,2
MotorStorm,"welcome to motorstorm®, the world’s most brutal off-road racing event where the goal is to win at all costs. choose from seven vehicle types, from high-flying dirt bikes to powerful big rigs, and destroy anything that gets in your way in a no-holds barred sprint to the finish. try and survive.
features

real-time deforming terrain: the terrain literally gets torn up with each passing vehicle, causing each lap to be different. advanced particle effects cause debris and muck to “stick” to each vehicle. 


vehicular combat and damage: destroy anything that gets in your way. smash your opponents and view spectacular hollywood-style crash sequences. 


take the race online: intense head-to-head off-road racing. challenge the competition over voice chat. 


amazing gameplay experience: state-of-the-art visuals, featuring high dynamic range lighting, motion blur and depth of fields are all displayed in glorious high-definition (720p). 


player-centric action: there’s never a dull moment, as you’re always in the thick of the action. ai opponents simulate human traits, like showing off, attacking, taunting, and doing whatever it takes to win!

 
source: us.playstation.com ",0,0,0,0,0,0,0,1,0,1
Gran Turismo Sport,"
the award-winning real driving simulator series speeds onto  playstation 4 for the first time, putting you on course for high octane  thrills to truly get your pulse racing.
sharing the wheel with fia (federation internationale de  l'automobile), polyphony digital has engineered a finely tuned and  accessible game that everyone from casual drivers to petrol heads can  enjoy.  
buckle up for two online championships – represent your country in  the nations cup, and drive on behalf of your favourite car maker in the  manufacturer’s cup.
can you claim a historic victory in the first video game to be officially recognized as part of the real motoring world?


source: publisher ",0,0,0,1,1,0,1,0,0,0
Midnight Club 3: DUB Edition,"rockstar games has joined forces with dub magazine, the authoritative source on automotive lifestyles, to redefine the racing genre once again with midnight club 3: dub edition. the series that took racing from tracks to the open urban streets is back, and the stakes are even higher. midnight club 3: dub edition delivers insanely fast, open city racing in atlanta, san diego, and detroit, complete with 8-player online competition and the most comprehensive vehicle customization ever seen in a video game. drive the hottest licensed real life suvs, import tuners, muscle cars, choppers and luxury rides, and trick them out with the latest rims, trims, and upgrades just like in the pages of dub. midnight club 3: dub edition has more speed, more choices, and more chrome than any game has ever packed under the hood.
take 2 ",0,0,0,0,0,1,0,0,0,3
The Simpsons: Road Rage,"mr. burns is up to his greedy ways again, purchasing the springfield transit corporation and jacking up the fares. refusing to shell out the high rates, the good people of springfield have taken to the streets themselves as they brave commuters, jam-packed back-routes, and the challenge to make enough money to buy back the transit corporation before time runs out. no time for donuts, homer!

over 25 simpsons characters - featuring animations and unique relationships with other characters, the people of springfield are behind the wheel or wandering the streets begging for a ride.
wreak havoc in 5 springfield neighborhoods featuring over 100 landmarks - from moe's bar to the nuclear power plant.
bonus system reward players of all skill levels and lets players choose which characters and cars they want to unlock
interactive worlds provide an intensely busy community environment alive with traffic and pedestrians
two-player split screen action lets you beat your opponent in a race for the next passenger, or steal their passenger mid-ride!
sunday driving mode lets you pick up passengers and explore the city at a leisurely pace.
car physics feature wild jumps, powerslides, speed-starts, and 2-wheel-leansradical toon renderer technology provides a fun simpsons cartoon look


supports the logitech driving force wheel. 
us.playststion.com ",0,0,0,0,2,0,1,1,1,0
F-1 Race,"f-1 race is a formula one racing game, developed and published by nintendo,  which was released in 1991. ",0,0,0,0,0,0,0,1,0,1
Gran Turismo (PSP), ,0,0,0,0,0,0,0,0,0,0
Need for Speed III: Hot Pursuit,"feel the need
rolling onto the showroom floor with the stately gait of a thoroughbred, need for speed iii: hot pursuit is the ultimate blending of genteel luxury and lead-footed racing action.
with a nod to its rich heritage, nfs iii offers a selection of today's most desirable super cars, each meticulously reproduced, in both design and performance, to the exact specifications of its manufacturer. looking forward , nfs iii features a refined 3-d engine and next-generation graphics that accelerate you into the future of auto racing.
all new features

eight of the world's most exotic super cars.
hot pursuit mode - outsmart the cops or risk losing your driving privilege.
practice mode - with tools to help you perfect your driving technique.
night driving - cut a path through the darkness with your headlights and highbeams.
weather-wet roads and muddy shoulders create hazardous driving condtions.

 
--manual ",1,0,0,0,4,0,0,0,0,1
Star Wars Episode I Racer,"based on the pivotal scene in star wars episode 1, star wars episode 1: racer was a high speed, high octane racing game where only the most skilled drivers would reach the finish line.
featuring a diverse selection of tracks from star wars planets including tatooine and ord mantell, the game was a faithful recreation of the pod racing present in the film. the damage system was especially faithful, allowing racers to repair their pods manually whilst in a race.
using your winnings to modify your pod, racers had complete control over their racing, giving the game that crucial user-friendly appeal.
a quality racer that showcased the graphical capabilities of the nintendo 64.
 
(submitted by colonelstubbs) ",0,0,2,1,0,1,0,0,0,2
