Name,Summary,assassin,transformers,bakugan,ninja,combat,spider,samurai,warriors,enemies,lego,spidey,zeroes,salem,bombur,thorin,ronan,hobbit,superchargers,emmet
Grand Theft Auto V,"the fifth mainline entry in the mega-selling grand theft auto series, grand theft auto v was developed by rockstar north and published by rockstar games originally for the playstation 3 and xbox 360 in 2013. xbox one and playstation 4 versions followed in november of 2014 and finally a windows pc verison was released in april of 2015.grand theft auto v is set in the city of los santos and its surrounding hills, countryside, and beaches. it is the largest and most ambitious game rockstar have yet created and, for the first time in the series, features three different playable characters.
source: machina. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uncharted 4: A Thief's End,"several years after his last adventure, retired fortune hunter, nathan drake, is forced back into the world of thieves.  with the stakes much more personal, drake embarks on a globe-trotting journey in pursuit of a historical conspiracy behind a fabled pirate treasure.  his greatest adventure will test his physical limits, his resolve, and ultimately what he’s willing to sacrifice to save the ones he loves.
source: publisher ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand Theft Auto: Liberty City Stories,"there are a million stories in liberty city. this one changes everything. once a trusted wise guy in the leone crime family, toni cipriani was forced into hiding after killing a made man.
now he’s back and it’s time for things to be put right. the streets of liberty city are in turmoil. warring mafiosi vie for control as the town begins to self-destruct under waves of political corruption, organized crime, drug trafficking and union strikes. no one can be trusted as toni tries to clean up the mess of the city's chaotic underworld.  deranged hit men, morally depraved tycoons, cynical politicians and his own mother stand in his way as toni tries to bring the city under leone control. 
forced to fight for his life in an odyssey that will shake liberty city to its foundations, toni must use any means necessary to secure his place in the leadership of the leone family in a town up for grabs.
 
source: us.playstation.com ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Binding of Isaac," 
when isaac’s mother starts hearing the voice of god demanding a sacrifice be made to prove her faith, isaac escapes into the basement facing droves of deranged enemies, lost brothers and sisters, his fears, and eventually his mother.
the binding of isaac is a randomly generated action rpg shooter with heavy rogue-like elements. following isaac on his journey players will find bizarre treasures that change isaac’s form giving him super human abilities and enabling him to fight off droves of mysterious creatures, discover secrets and fight his way to safety.
source: steam ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uncharted 3: Drake's Deception,"a search for the fabled “atlantis of the sands” propels fortune hunter nathan drake on a daring trek into the heart of the arabian desert, a journey that pits him and his mentor victor sullivan against the occult treachery of a shadowy clandestine organization and its ruthless leader. when the terrible secrets of this lost city are unearthed, drake’s quest descends into a desperate bid for survival that strains the limits of his endurance and forces him to confront his deepest fears.
signature uncharted gameplay evolves: nathan drake can now take on opponents in more ways than before: hand-to-hand combat with multiple opponents, contextual melee attacks, and new stealth options. uncharted 3: drake’s deception™ also features expanded and diverse traversal moves with deeper gunplay.
a new breed of action adventure multiplayer: competitive and co-op multiplayer return with brand new experiences and massively expanded feature sets. the uncharted universe provides a unique multiplayer experience, for the first time bringing the exciting cinematic elements of the single-player campaign into multiplayer.
award-winning storytelling and blockbuster cinematic action sequences: combining story with dramatic action sequences and a thrilling pace, uncharted 3: drake’s deception™ delivers an interactive cinematic experience that blurs the line between games and hollywood films.
new locations, new challenges, stunning environmental detail: nathan drake’s journey will take you to a variety of spectacular locations around the world from europe to the middle east.
uncharted raises technology bar yet again: uncharted 3: drake’s deception™ features new innovations in sand, fire, smoke, and water dynamics and effects. full support of high-resolution stereoscopic 3d.
 
psn ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uncharted 2: Among Thieves,"""...the best single-player experience i have every played"" - adam sessler, g4tv
""...one of the best titles of this console generation.“ - ign
""this is one of the best games of all time.“ - playstation the official magazine
fortune hunter nathan drake returns in uncharted 2: among thieves™, a pulse-pounding third-person action-adventure/shooter created by award-winning developer naughty dog. down on his luck, drake is lured back into the treacherous world of thieves and mercenary treasure-seekers he had sought to leave behind. when a mysterious artifact propels drake on an expedition to find the legendary himalayan valley of shambhala, he finds himself embroiled in a dangerous game of cat-and-mouse against a fugitive war criminal who’s after more than just the fabled riches of the lost city. caught in a web of deception and plunged into an increasingly deadly pursuit that tests the limits of his endurance, drake will be forced to risk everything – but has his luck finally run out?
features
single player
 

an expanded cast of characters who reflect different facets of drake’s character, including chloe frazer, drake’s current partner and new romantic interest.
varied and exotic locations – from lush, green swamps and dense urban environments, all the way to the ice and snow of the himalayas.
unrestricted combat allows you to take an aggressive or stealthy approach to combat.
free-flowing ""traversal gunplay"" adds a unique vertical element to familiar cover-based third-person shooting mechanics, allowing you to engage in combat from any position in the environment – even while climbing and hanging.
introduction of new traversal and free-climbing mechanics allow drake to navigate through the environments more fluidly and naturally.
gunplay and combat enhancements, including an expanded melee system, and a variety of enemy types with advanced ai routines. high-quality cinematic presentation of scenes, characters and dialogue, all rendered within the naughty dog engine 2.0.
dramatic in-game events that make you an active participant in the cinematic experience.
full character interaction with dynamic geometry.
utilizes naughty dog engine 2.0 purpose-built for the playstation 3; utilizes the ps3 technology to hit a turning point in technology innovation by recreating reality and capturing human emotion.
no visible loading – a naughty dog hallmark – returns along with technology improvements in major game systems such as lighting, shadows, ambient occlusion, animation technology and physics, among many others.

 
multiplayer
 

robust party system allows you to remain with your friends in matchmaking and custom matches.
custom matches allow you to customize maps and modes which your party wishes to play.
currency gained in multiplayer matches can be combined with currency gained in single player missions to unlock additional content and upgrades.
character animations and environments taken from single player campaign maintain visual fidelity with no degradation.
gameplay and character mechanics identical from the single-player campaign, ensuring user familiarity and same level of quality.
headset support.
proprietary naughty dog engine 2.0 network code captures a broad range of gameplay data for statistics reporting on the web and for functionality like cinema, which allows players to watch replays of matches.
cutting edge technology such as cloud-based computing allows for scalable online infrastructure to provide optimal player experience.

competitive multiplayer


competitive multiplayer gameplay includes up to 10 players in heroes-versus-villains matches.
deathmatch: up to 5 vs. 5 with customizable or pre-set game modes.
plunder: unique style of multiplayer that encourages team work to transport a treasure across terrain horizontally and vertically over obstacles.
player boosters give you a variety of options to customize your characters to your play style or to provide an advantage over opponents.


co-op multiplayer


up to three players work together in cooperative modes to accomplish set objectives with increasing difficulty and against special enemy characters.
combo system encourages further teamwork to increase a point total and currency multiplier.
weapon upgrades let you customize your weapons to your play style or provide an advantage over opponents.

us.playstation.com
 ",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Dead Redemption,"
red dead redemption is a western epic, set at the turn of the 20th century when the lawless and chaotic badlands began to give way to the expanding reach of government and the spread of the industrial age. a follow up to the 2004 hit red dead revolver, this game tells the story of former outlaw john marston, taking players on a great adventure across the american frontier.
red dead redemption features an open-world environment for players to explore, including frontier towns, rolling prairies teaming with wildlife, and perilous mountain passes - each packed with an endless flow of varied distractions. along the way, players will experience the heat of gunfights and battles, meet a host of unique characters, struggle against the harshness of one of the world’s last remaining wildernesses, and ultimately pick their own precarious path through an epic story about the death of the wild west and the gunslingers that inhabited it.
www.rockstargames.com
 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Dead Redemption,"
red dead redemption is a western epic, set at the turn of the 20th century when the lawless and chaotic badlands began to give way to the expanding reach of government and the spread of the industrial age. a follow up to the 2004 hit red dead revolver, this game tells the story of former outlaw john marston, taking players on a great adventure across the american frontier.
red dead redemption features an open-world environment for players to explore, including frontier towns, rolling prairies teaming with wildlife, and perilous mountain passes - each packed with an endless flow of varied distractions. along the way, players will experience the heat of gunfights and battles, meet a host of unique characters, struggle against the harshness of one of the world’s last remaining wildernesses, and ultimately pick their own precarious path through an epic story about the death of the wild west and the gunslingers that inhabited it.
www.rockstargames.com
 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Driver,"the criminal underworld has accepted you as one of their own. you are a getaway driver for hire. speeding through the streets of real cities with working traffic systems, pedestrians and motorists on the street and cops on patrol. you are the best driver in the criminal community. you are the wheelman.

unfolding storyline of intrigue and deception.
real car physics and damge modeling brought to you by the creators of destruction derby 1 & 2
real cities - los angeles, new york, san francisco and miami - all with recognizable landmarks and working traffic systems.
over 40 missions of high speed action!

 
--box ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
God of War (2018),"his vengeance against the gods of olympus behind him, kratos now lives in the realm of norse deities and monsters.
it’s in this harsh, unforgiving world that he must fight to survive, and not only teach his son to do the same… but also prevent him from repeating the ghost of sparta’s bloodstained mistakes.
this staggering reimagining of god of war combines all the hallmarks of the iconic series – brutal combat, epic boss fights and breathtaking scale – and fuses them with a powerful and moving narrative that re-establishes kratos’ world. 
a bold new narrative

as mentor and protector to a son determined to earn his respect, kratos is faced with an unexpected opportunity to master the rage that has long defined him. questioning the dark lineage he’s passed on to his offspring, he hopes to make amends for the shortcomings – and horrors – of his past.
a darker world

set within the untamed forests, mountains and realms of norse lore, steel yourself for a distinctively new and dangerous land complete with its own pantheon of creatures, monsters and gods. 
vicious combat

with an intimate, over-the-shoulder free camera that brings the action closer than ever, combat is up close, frenetic and unflinching. kratos’ powerful magic axe is a brutal weapon as well as a versatile tool for exploration. always be on your guard.



source: publisher ",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metal Gear Solid 2: Sons of Liberty,"snake returns in the highly anticipated  action title, metal gear solid 2: sons of liberty for the playstation® 2  computer entertainment system. players take on the role of a one-man army  determined to stop a deadly high-tech weapon from falling into the hands of a  highly elite resistance group called dead cell. players must utilize their  skills in stealth, weaponry and counter-terrorism to fight off the competing  powers and destroy the gigantic war machine, metal gear ray. 

enhanced next generation graphics 
action-packed gameplay 
compelling storyline 
unparalleled, cutting edge visuals

konami.com ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metal Gear Solid,"arguably the greatest game of all time, metal gear solid redefines what a computer game can be. boasting state of the art graphics, voice acting beyond the usual level seen in videogames and a stroyline that can easily sit alongside hollywood action epics, the game is nothing short of revelatory.
building on his successful series, hideo kojima has crafted a game that mixes 3rd person action with a new type of gameplay; stealth. featuring brilliant artificial intelligence in its enemies, the game tasks you to break into a military base and stop a group of terrorists from firing a nuclear weapon from a launching platform known as metal gear rex.
our protaganist, codenamed solid snake, is a likeable hero, with a penchant for smoking ciagrettes and a talent with any type of military equipment. he needs every ounce of intelligence and strength as well, because he's going up against a team of heavily armed terrorists, not to mention their specialised fighting squad consisting of horrific creations including psycho mantis and vulcan raven.
if ever there was a game that could bridge the gulf between movies and videogames, this game has to be it. if ever a game deserved so much praise, this is it. if ever a game could show people what a games console is capable of, this is it.
and if ever there was hero we could count on, his name would be solid snake.
 
(submitted by colonelstubbs)
  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metal Gear Solid 4: Guns of the Patriots,"metal gear solid 4: guns of the patriots is the final chapter in the saga of solid snake which sends him around the world in pursuit of his arch nemesis, liquid ocelot. armed with new gadgets and abilities, solid snake must shift the tides of war into his favor, using the chaos of the battlefield to infiltrate deep into enemy territory. in his globetrotting final mission, snake must sneak deep into enemy locations in the middle east, south america, and other corners of the earth to foil liquid ocelot’s plans for total world domination.

mgs4 pushes the power of the playstation® 3 to its limits with cutting edge graphics and surround sound. it also aims to be the hallmark title for the new dualshock®3 controller. 
command snake in his final mission which spans the entire globe and his quest to foil the plans of liquid ocelot and his massive army of pmcs. 
snake can directly aid local militia who engage invading pmcs soldiers, or encourage more fighting to slip past undetected amidst the commotion. 
unlock custom weapons and modifications as you trade weapons with your black market weapons dealer, drebin. 
metal gear mk. ii, the ultimate reconnaissance tool, solid eye, which gives snake real-time information on enemies and his surroundings, and the octocamo suit which allows snake to blend into his environment and hide his presence. 
users can choose a variety of camera angles to use to match their game play style.

konami ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Uncharted: The Nathan Drake Collection,"from the groundbreaking storytellers at naughty dog, comes the genre-defining epic that revolutionized adventure storytelling, rebuilt by bluepoint games with the power of the ps4 system. experience one of the most revered game series of all time as you follow the perilous journey of nathan drake across the globe, from humble beginnings to extraordinary discoveries. meet an unforgettable cast of characters as drake puts life and friendship on the line in a race against ruthless enemies to uncover unimaginable treasure.
discover the man. uncover a legend.
source: publisher ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LEGO Star Wars: The Complete Saga,"
building on the success of both lego® star wars”“block-buster” videogames, lego® star wars: the complete saga enables families to play through the events of all six star wars movies in one videogame for the first time ever. developer travellers tales takes full advantage of the unique capabilities of all three next-generation consoles, while also adding new characters, new levels and new features. players can build and battle this fall on the wii, playstation®3 computer entertainment system and xbox 36o videogame system from microsoft. travellers tales is also creating an entirely new nintendo ds version, developed brick by brick from the ground up.
in addition to new levels, such as episode ii's never-before-played high-speed pursuit of bounty hunter zam wessell, and new playable characters like aayla secura and watto, the upgraded character customizer indudes all prequel trilogy characters and expanded customization options for millions more possibilities, such as cross-trilogy mash-up characters like han windu and lando amidala.
lucasarts.com
 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assassin's Creed II,"discover an intriguing and epic story of power, revenge and conspiracy set during a pivotal moment in history: the italian renaissance. the lineage continues as this new chapter introduces ezio, inheritor of the talents and creed of the assassins. his family murdered by rival families, ezio resolves to learn the ancient art of the assassin in order to seek revenge. he will not do so alone though, allying with historical figures such as philosopher and writer niccolò machiavelli. you will also be able to master the art of the assassin with all new weapons and instruments created by the renowned inventor and genius of the renaissance, leonardo da vinci himself. experience the freedom and immersion of an all new open world and mission structure with settings such as the rooftops and canals of beautiful venice. your options in combat, assassination and escape are vast, with many new weapons, settings and gameplay elements.  
(publisher) ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assassin's Creed,"assassin's creed is a video game developed by ubisoft montreal and published by ubisoft. it was released worldwide in november 2007. on september 22, 2007, ubisoft announced the pc version has been delayed until early 2008.the player assumes the role of desmond miles, a seemingly normal bartender who is also the most modern member of a long family tree of assassins. he is taken to a facility where he uses the animus, a machine that allows him to see the memories of his ancestors during the third crusade, in the year 1191. desmond assumes the role of altaïr (الطائر, arabic, ""the flying one""), a member of the hashshashin sect (the original ""assassins""), whose objective is to slay the nine historical figures who are propagating the crusades. as the player finds and kills these targets, their conspiracy is unveiled. the player is able to travel through three cities: jerusalem, acre and damascus as well as masyaf, the assassins' stronghold.the interactive environments of the cities are populated by many people, and the way the player controls altaïr affects how the bystanders around him react to his presence. for example, when going through a crowd, if the player lightly moves someone out of the way, it will not have a significant effect. however, if the player throws someone to the ground and hurts or kills them, the crowd may unite against him, which will also attract guards and he will then have to find a way out or hide. similarly, if the player shoves a person aside, they may shove him back. if he climbs walls, civilians will gather around, attracting unwanted attention from guards.the producers claim the environment is historically accurate. the locations in the game are distinctive models of the cities. all of altaïr's targets are also historic figures who died or disappeared in the year 1191, although not necessarily by assassination. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batman: Arkham City,"game features:



become the dark knight


batman: arkham city delivers a  genuinely authentic batman experience  with advanced, compelling gameplay  on every level: high-impact street  brawls, nail-biting stealth,  multifaceted forensic investigation, epic  super-villain encounters and  unexpected glimpses into batman's tortured  psychology.


 advanced freeflow combat


batman faces highly  coordinated, simultaneous attacks from every  direction as arkham's gangs  bring heavy weapons and all-new ai to the  fight, but batman steps it up  with twice the number of combat  animations and double the range of  attacks, counters and takedowns.


 new story


five-time emmy-award-winner paul dini returns to pen a brand-new story for batman: arkham city, taking gamers deep inside the diseased heart of gotham.


 huge cast of characters


players encounter numerous characters from the batman universe,  including catwoman, two-face, harley quinn, penguin, hugo strange,  victor zsasz, calendar man, the joker, the riddler and other iconic  characters yet to be revealed.


 arkham has moved


following the closure of arkham  asylum and blackgate prison,  gotham's new mayor, quincy sharp ordered  the relocation of all inmates  to arkham city - a sprawling new  super-prison five times bigger than  arkham island, enclosing a wide  variety of industrial districts, iconic  locations and gotham landmarks.




  play as catwoman


catwoman is a fully playable character in batman: arkham city who has her own storyline in the main game which is seamlessly   interwoven with batman's story arc.  her navigation skills, combat moves   and gadgetry have been specifically designed and animated to deliver a   fully featured and unique experience.


 new gadgets


batman has access to new  gadgets such as the cryptographic sequencer  v2 and smoke pellets, as  well as new functionality for existing  gadgets that expand the range of  batman's abilities without adding  extra weight to his utility belt.


 featured voice-over talent


mark hamill and kevin conroy reprise their roles as the joker and batman respectively.



 
official website ",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomb Raider (2013), ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assassin's Creed II,"discover an intriguing and epic story of power, revenge and conspiracy set during a pivotal moment in history: the italian renaissance. the lineage continues as this new chapter introduces ezio, inheritor of the talents and creed of the assassins. his family murdered by rival families, ezio resolves to learn the ancient art of the assassin in order to seek revenge. he will not do so alone though, allying with historical figures such as philosopher and writer niccolò machiavelli. you will also be able to master the art of the assassin with all new weapons and instruments created by the renowned inventor and genius of the renaissance, leonardo da vinci himself. experience the freedom and immersion of an all new open world and mission structure with settings such as the rooftops and canals of beautiful venice. your options in combat, assassination and escape are vast, with many new weapons, settings and gameplay elements. 
(publisher) ",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
God of War III,"
god of war® 3 finds kratos raining carnage and destruction upon the gods who have betrayed him and the entire ancient greek world. armed with his deadly double-chained blades, kratos will take on mythology’s darkest creatures while solving intricate puzzles on his merciless quest to destroy olympus and the mighty zeus himself.
 
key features
god of war iii is the epic conclusion to the greek mythological trilogy which will complete kratos’ story that began in the original title for the playstation®2.
true to the series roots, the four pillars of gameplay - brutal combat, intricate puzzles, exploration of awe-inspiring worlds, and a compelling story – all return to make god of war iii the ultimate experience.
god of war iii picks up exactly where the action of god of war ii left off – kratos must take his quest for vengeance to the very stronghold of the zeus. as the army of olympus surges out to meet him in battle and the chaos of the great war is reignited, kratos must scale the summit of mount olympus on the back of the mighty titan gaia, leading his new colossal allies in an all out assault on the olympians.
the menacing creatures of greek mythology in god of war iii are not only targets of kratos’ brutal destruction, but can now be manipulated against their will, as he uses them to cross chasms, inflict blind rage against enemies, reveal puzzles and secrets, and as tools of complete annihilation as he makes his way on a quest fueled by hate and vengeance.
as kratos continues on his path of revenge, he will uncover new deadly weapons like the cestus, powerful metal gauntlets with devastating strength, and other brutal instruments of war that will allow him to learn ruthless new techniques such as grappling with enemies and launching explosive wall to ground attacks.
built from the ground up, the brand new engine that powers god of war iii was designed for one main purpose – to achieve a level of scale never thought possible. kratos can now carve through armies of enemies while navigating on the back of a ‘living level’ – a massive, moving, breathing titan as tall as the empire state building.
the ps3 capabilities have allowed the developers to bring the world of god of war to life like never before. battling in detailed and unique 3d worlds lit by hundreds of dynamic lights and featuring textures with quadruple the resolution, kratos and his enemies now feature realistic muscle striations, detailed facial expressions, and new heightened levels of brutality and gore.
 ",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Resident Evil 5,"the biohazard threat has not ended. just when it seemed that the menace of resident evil had been destroyed, along comes a new terror to send shivers down players' spines. returning hero chris redfield heads to africa where the latest bioterrorism threat is literally transforming the people and animals of the city into mindless, maddened creatures. take on the challenge of discovering the truth behind this evil plot. in resident evil 5, you will learn to fear the daylight as much as you have feared the shadows before.

new enemies and new challenges: speed and intelligence make your adversaries as dangerous singly as they are in groups. use your new arsenal of weapons to keep the evil at bay, including knives, pistols, machine guns, sniper rifles, and more.
suspense: lighting effects provide a new level of suspense in both harsh light and deepest shadow.
next-gen technology: true high-definition gaming is provided by an advanced version of capcom's proprietary game engine, mt framework.
 ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Grand Theft Auto: Vice City Stories,"vice city, 1984. opportunity abounds in a city emerging from the swamps, its growth fueled by the violent power struggle in a lucrative drugs trade. construction is everywhere as a shining metropolis rises from foundations of crime and betrayal.
as a soldier, vic vance has always protected his dysfunctional family, his country, himself. one bad decision later and that job is about to get much harder. kicked out onto the streets of a city torn between glamour and gluttony, vic is faced with a stark choice - build an empire or be crushed.
 
source: us.playstation.com ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
