Name,Summary,naruto,smackdown,tekken,snk,kombat,wwe,fighter,wrestling,fighters,fighting
Street Fighter II Turbo, ,0,0,0,0,0,0,0,0,0,0
Tekken Tag Tournament,"are you ready to be the king of the ring?  the new console version of tekken tag tournament will feature at least 20 fighters who have appeared throughout the tekken series since the first arcade game debuted in december, 1994. ",0,0,2,0,0,0,0,0,1,0
WWF SmackDown!,"wwf smackdown from yukes is considered by many to be the elite in a plethora of wrestling titles out on the market. smackdown gives the intense wrestling fanatic all they can handle with an exiting fast-paced version of the wwf. there are two main aspects that set wwf smackdown apart from the field: the gameplay and the career mode. the career mode lets the gamer start his/her own career and provides the drama, fear, anxiety and everything that comes along with the world wrestling federation experience.  ",0,3,0,0,0,0,0,3,0,0
Mortal Kombat X, ,0,0,0,0,0,0,0,0,0,0
Dragon Ball Z: Budokai,"a showdown of legendary proportions
enter the dragon ball z budokai. test your skills against the most powerful dragon ball z heroes and the most sinister villains. will you be the last warrior standings?

follow the dragon ball z animated series from saiyan saga to cell games!
face off with up to 23 mighty dragon ball z warriors!
unlock, collect, and trade devastating skills with friends to create the most powerful fighters in the universe! 
battle at blazing speeds in the burst zone
battle for supremacy in 5 fierce fighting modes.
relive dbz's most intense rivalries!
thrash your way to the cell games!
unleash up to 60 combo moves per character, including ""special beam cannon"" and ""kamehameha.""

 
--box ",0,0,0,0,0,0,0,0,1,1
Tekken 4,"you’ve fought them all. you’ve beaten them all. you think you have no equal. you’re wrong! the next evolution in fighting games begins with the series that set the standard. tekken strikes back with all-new graphics, gameplay mechanics, and fearsome fighters. newcomers engage old favorites in interactive, multi-leveled arenas. expanded game modes allow for deeper gameplay.  just when you thought tekken couldn’t look any better, namco improves on its previous efforts. the king of all fighting games returns, and this time, it’s showing no mercy. • brand new fighters mix it up with returning favorites. • game modes include story, arcade and the new tekken force. • all new mechanics include interactive environments and position change. • gamers find and unlock hidden surprises.  • infinite arenas are multi-leveled with interactive backgrounds.
 
source: us.playstation.com ",0,0,3,0,0,0,0,0,1,2
Tekken: Dark Resurrection,"tekken®: dark resurrection arrives on the psp® (playstation®portable), bringing one of the most explosive fighting games to the handheld platform.
new characters lili and dragunov join the classic cast such as jin, heihachi, paul and law in the battle to be crowned king of the iron fist tournament. an all-new intro movie lets you dive into the midst of the world of tekken®, this time with ad-hoc multiplayer mode to fight against friends as well as more items to customize your favorite characters. now you can fight anytime, anywhere – are you ready?
 
source: us.playstation.com ",0,0,0,0,0,0,0,0,0,1
WWF War Zone,"this ain't a rec room , it's a war zone!
war zone, that is! when you take 16 of today's top wrestlers you're asking for action, and this is the game experience you've been waiting for. you got your grudge matches, your steel cage matches, your 1-on-1, your tag teams, and more! action inside the ring, outside the ring, out of this world! start your career at the bottom and battle to the top! you want to be a champ? better try some training, bro, or you're going to be the rag doll they mop the floor with! it takes a lot of guts to gain the glory of a cage match victory, and plenty of stamina. if you can take more than they can dish out, treat yourself to a heaping helping of rigorous ring rage in a tag team match. now that's the way (uh-huh, uh-huh) i like it.
if you ever wanted to buld your own action figure (and even if you haven't), jump into create player mode and build a better brawler! give him just the look and skills you want, then bring him in to face the likes of faarooq and his playmates!
buy hey, let's quit the jawboning and get to the mat!

the top superstars in the world wrestling federation including steve austin, shawn michaels, the undertaker, kane, triple h and many more!
vince mcmahon and jim ross bring you the action from ringside.
training mode: practice your moves before stepping into the ring!
4 player action with tag team, tornado and war modes!
specialized matches including steel cage match
signature and finishing moves unique to each wrestler
over 300 motion captured maneuvers
create and save up to 30 customized wrestlers

 
--manual and box ",0,0,0,0,0,0,0,1,0,0
Tekken,"this is the one that's got the press salivating. the one that's got gamers hyperventilating. this is tekken. eight deadly fighters engaged in the ultimate battle for supremacy. winner goes home filthy rich. loser goes home in a pine box.

rib-shattering realism. namco's system 11 technology puts you in the fight. the unpredictability. the agression. the psyche job. the real deal.
more moves. more action. each fighter has their own arsenal - everything from high level martial arts to brawling. characters can chain up to 10 devastating attacks.
better than ""arcade perfect."" the original eight characters, plus 10 more as your skills progress. even a ""vs."" mode with damage settings.
fully realized 360 degree 3d world. movie quallity sgi cinematics. you can almost feel the kicks and punches land.
super smooth texture mapped polygon animation, motion captured martial arts moves. 

 
--box ",0,0,0,0,0,0,1,0,1,0
Killer Instinct,"the king of the killer arcades comes to super nes!don't wait in endless arcade lines to play--killer instinct comes to super nes with action, graphics and sound that annihilates all other combat games!fulgore, jago, b.orchid, spinal and all your favorite warriors contend in the ultratech ki tournament. each combatant engages in the ki combo theory of connected moves and finishing tactics to destroy their opponents. with incredible displays of eyelasers, ice lancers, wind kicks, and laser blades these fearless fighters prove their battle prowess. but remember, if you lose, it's hero to zero!us box ",0,0,0,0,0,0,0,0,1,0
WWF SmackDown! 2: Know Your Role,"do you know your role? the wrestling superstars from around the world will make sure that you do in wwf smackdown 2! know your role for the playstation. this sequel improves upon its predecessor by increasing all aspects of the gameplay, such as the number of wrestlers and modes, and the depth of the create-a-player option. the game, which is officially licensed by the wwf, features the most popular stars of the league in all their glory, including their official get-up, music, and moves in the ring. you can go at it in one-on-one single-player matches or you can engage in some intense multiplayer action, which allows up to four people to duke it out. the create-a-player mode lets the player customize absolutely everything, from costume to body shape and size. wwf smackdown 2! know your role gives players the freedom to play the game as they wish, while still remaining true to its wrestling roots. ",0,2,0,0,0,0,0,2,0,0
Tekken 6,"spanning over a 14 year legacy, tekken is among the most popular and well-known gaming brands in the world with the entire franchise selling more than 33 million units to date. displayed in astonishing hd detail, a new era begins in the sixth king of the iron fist tournament complete with intense gameplay modes as well as new features and environments.
a must-have for tekken aficionados,   sees the return of many familiar faces as well as new characters to create the largest line-up the series has ever seen. with a growing roster of fighters, each equipped with their own deadly techniques, moves and attack combinations,
will be the best king of iron fist tournament yet. adding to the already rich gaming experience, a deeper character customization feature will only further enhance the incredible fighting intensity as players go mano-y-mano. players can also take the battle online for classic match-ups and to compete for world domination.
features

gorgeous graphics!the advanced high definition graphics and 3d animation technologies create the most impressive hd visuals in tekken history.
the largest character roster ever!master 40 unique fighters representing the world’s top martial arts styles! the character line-up includes 34 beloved characters, such as jin, heihachi and kazuya, as well as 6 brand new characters with unique fighting styles and combo systems!
compete and battle globally!prove your supremacy against players from around the world with online vs mode!
endless possibilities to customize!create new characters and customize them with every imaginable detail. customize their hairstyles, apparel, fashion accessories, tattoos, etc. then take your own ultimate fighters online!
dynamic, interactive, destructible environmentspunch your enemies through concrete walls or kick them through floors to open a whole new battleground. the stages go through dynamic changes ranging from a sudden attack helicopter crash to vehicle explosions!
 ",0,0,3,0,0,0,0,0,2,2
Mike Tyson's Punch-Out!!,"it's a right jab, a left hook, an uppercut - it's mike tyson's punch-out!! where you'll get the chance to compete against boxers from around the globe. punch your way through 13 bouts in the minor, major and world circuits against tough contestants like piston honda, glass joe, super macho man and many, many more! defeat all your opponents and meet the ultimate challenge against the world heavyweight champion mike tyson in the greatest fight of all - the dream bout! knockout tyson and you can become wvba (world video boxing association) champ.us box ",0,0,0,0,0,0,0,0,0,0
WWE SmackDown! vs. Raw 2006, ,0,0,0,0,0,0,0,0,0,0
Street Fighter IV,"street fighter iv brings the legendary fighting series back to its roots by taking the beloved fighting moves and techniques of the original street fighter ii, and infusing them with capcom's latest advancements in next generation technology to create a truly extraordinary experience that will re-introduce the world to the time-honored art of virtual martial arts.
everything that made the legendary street fighter ii a hit in the arcades, living rooms and dormitories across the globe has been brought back in street fighter iv. players will be able to play their favorite classic characters, such as ryu, ken, chun-li and guile, along with new characters, including crimson viper, abel, el fuerte, and rufus. characters and environments are rendered in stylized 3d, while the game is played in the classic street fighter 2d perspective with additional 3d camera flourishes. six-button controls for the game return, with a host of new special moves and features integrated into the gameplay system. street fighter iv brings a brand new fighting game to fans the world over.
key features

3d environments and characters
traditional ""2d"" street fighter six-button gameplay
classic street fighter characters re-imagined for a new generation of gamers, including the original cast of street fighter ii
new brawlers: female super-spy crimson viper, lucha libre wrestler el fuerte, mixed martial artist abel and more!
new special moves that go beyond any street fighter fan's wildest imagination, including focus attacks, super combos, and the revenge-fueled ultra combo system.
amazing locations never seen before in a street fighter game
new gameplay elements provide challenges for both newcomers as well as the most seasoned street fighter pro. 

*capcom ",0,0,0,0,0,0,12,0,0,3
WWE SmackDown! vs. RAW 2006,"from the most successful wrestling game series of all-time comes the ultimate achievement in sports entertainment — wwe smackdown! vs. raw 2006. enter the ring for the fight of your life against top wwe superstars and if your good enough, the championship. wwe smackdown! vs. raw 2006 will redefine the wrestling genre by delivering the deepest and most realistic wrestling experience ever, yet easy enough for casual gamers to pick up and play. new high-resolution textures and for the first time in the series, motion-capture technology will bring wwe programming to life like never before. the improved fighting system will bring a new level of realism and tactical thinking to matches, while the enhanced online mode will create the first ever virtual wwe championship on ps2. an amazing 100 different match types to challenge your wrestling skill and from the halls of immortality, a new roster of celebrated wwe legends. lace up your boots for the definitive wrestling experience that is wwe smackdown! vs. raw 2006. amazing realism: new high-resolution textures and integrated motion-capture technology brings wwe programming to life like never before. improved fighting system: revolutionary momentum system adds increased depth with less complexity, while the all-new stamina system brings a new level of realism and strategy to matches. enhanced online mode: challenge players online to gain prestige in a virtual wwe championship.best season mode ever: improved cut-scenes and two full seasons to play without story repetition.100 different match types: buried-alive match, bar brawl backstage area, a special surprise for the wwe divas and others.unprecedented attention to detail: fully customizable 3-d locker room (first time ever in 3-d), three levels of blood and other ""fan-favorite"" first time additionsnew wwe legends: a new roster of some of your favorite legends of all time.http://thq.com/ ",0,0,0,0,0,11,0,5,0,2
Dragon Ball Z: Budokai 2,"budokai 2 is based on the same engine as the first game. it adds 11 new character to the 23 character roster, for a total of 34 fighters in all. a new addition is dragon mode. in it, players select from a roster of dbz fighters, and goku and his three-man team venture from territory to territory in search for dragon balls.
features:flex and blast through eye-popping battles in single player “dragon mode”.   lethal dbz heroes and villains, including buu in three forms.  highly detailed cel-shaded graphics.   import saved game data, including customised characters and unlockable features from the original dragon ball z: budokai.   destroy your enemies and watch the levels actually crumble in your wake.   even more explosive “ki” energy attacks. ",0,0,0,0,0,0,0,0,1,0
Mortal Kombat (2011), ,0,0,0,0,0,0,0,0,0,0
WWE SmackDown! vs. Raw, ,0,0,0,0,0,0,0,0,0,0
WWE SmackDown! Here Comes the Pain,"relive the drama of the wwe in smackdown! here comes the pain. create, play as and develop your own superstar through storylines developed exclusively by wwe writers. track your progress with seasonal stats, earn money to build up superstar abilities and unlock hidden elements. the game also features new match types including bra & panty, first blood and elimination chamber.
playstation ",0,0,0,0,0,2,0,0,0,0
Tekken 5,"after the death of heihachi mishima, the fifth king of iron fist tournament began. tekken 5 lets you join this battle as one of many characters, including three fighters who are new to the tekken series. this time, the environments feature destructible objects and dangerous obstacles. customize your character with a variety of accessories, such as beanies, glasses, and costumes. beat the game with each character to learn his or her story.
 
source: us.playstation.com ",0,0,2,0,0,0,0,0,1,0
WWF SmackDown! Just Bring It,"square off against more than 30 wwf superstars in 60 different match types as the most electrifying show in sports entertainment comes to life like never before. perform bone-shattering finishers--from the rock bottom to the stone cold stunner--as you annihilate opponents with more than a 1,000 different moves. wwf-style presentation, real-time events and on-the fly commentary called by michael cole and tazz surrounds the player in the spectacle of the world wrestling federation as stories play out and champions are crowned.
us.playststion.com ",0,0,0,0,0,0,0,1,0,0
Mortal Kombat Trilogy,"
36 immediately playable characters, including 4 classic characters
over 30 moves never seen in the arcade with new brutalities that let you pound your opponents 'til they explode!
new aggressor kombat mode arms the quick and merciless with even more power and strength!

~ midway games inc. (pal box)


 ",0,0,0,0,1,0,0,0,0,0
Mortal Kombat,"
mortal kombat
      prepare yourself! the #1 arcade hit is here: from sub-zero, rayden and the rest of the kombat warriors to the grueling endurance and intense mirror matches! execute bone-shattering combos and awesome finishing moves! defeat the half-human dragon goro, and destroy the shape-changing shang tsung to become the supreme mortal kombat warrior!
 
this summary is a direct quote from the game's box.
posted by nintendomonopoly ",0,0,0,0,3,0,0,0,0,0
WWE SmackDown! Shut Your Mouth,"get ready to lay the smack down once again. wwe smackdown! shut your mouth, the latest installment of the wwe smackdown! series, puts you in the ring as the top world wrestling entertainment superstars battle it out in a quest to become the ultimate champion. choose from over 50 top wwe wrestlers such as legendary icons the rock and hollywood hulk hogan, or up-and-comers lance storm and the hurricane. battle in over 100 match types and variations, a variety of unique arenas, an enhanced career mode, or multiplayer mode with up to six players.
www.us.playstation.com ",0,0,0,0,0,3,0,1,0,0
WWE SmackDown vs. RAW 2007,"playstation®2 features
don't just watch it — live it! wwe smackdown vs. raw 2007 brings the intensity of being a wwe superstar to the next level by offering players unprecedented levels of choice and control. the #1 wrestling franchise in the world delivers the next generation of wwe video games with key new features, incredible graphics and engaging, highly realistic wwe action in and beyond the ring.

experience the thrill of being a wwe superstar like never before: a brand new analog control grappling system makes fighting more realistic than ever with intuitive movement and new elements of control. an enhanced season mode provides multiple branching storylines and unprecedented levels of player choice.
explore new levels of highly realistic action: in and out of the ring, dozens of user-controlled environmental hotspots let players take advantage of anything at their disposal to inflict damage on opponents in new and unique ways. additionally, new user-controlled grapple moves let players take the power of wwe superstars into their own hands.
battle beyond the ring and closer to the crowd: experience the intensity of wwe fans in a brand new, fully loaded interactive fighting area. players can take advantage of multiple weapons, environmental damage and grabbing signs and weapons from the crowd.
discover the next generation of wwe video games: wwe smackdown vs. raw 2007 offers multiple enhancements, including incredible high definition graphics, updated rosters for both raw and smackdown, an expanded general manager mode, online multiplayer game play with voice chat support and much more! 

www.thq.com ",0,2,0,0,0,9,0,1,0,2
Dragon Ball Z: Budokai 3,"the third installment in the dragon ball z: budokai series begins another tournament of champions where only one fighter can prevail. as one of the characters from the dragon ball z animated series, you can master an all-new fighting system that lets you teleport, juggle opponents, fly, and attack in a variety of ways. as you progress through the tournament, you can unlock up to 40 bonus characters from the dbz universe. you can also post and retrieve character profiles from the internet.
 
source: us.playstation.com ",0,0,0,0,0,0,1,0,0,1
Mortal Kombat: Deadly Alliance,"from the franchise that shocked the world and revolutionized the fighting game category, mortal kombat® deadly alliance™ enters the 21st century with an all-new fighting system, brutal fatalities and intense storyline that pushes the limits of the playstation 2 game console • completely new fighting system. each warrior has three unique fighting styles including hand-to-hand and deadly-weapon combat adding a whole new strategy to mortal kombat fighting. • • full 3d movement with extremely realistic fighting effects. bruises, sweat-dripping and blood.  • • brutal fatalities. a mortal kombat favorite. they’re back with gruesome and bloody detail. • • character-specific “special attacks” such as scorpion’s deadly spear move. • • new and old favorite characters. returning…johnny cage, kung lao, raiden, sonya, scorpion and more. new…frost, moloch, kenshi and more. over 20 total characters!  • • ominous and exquisitely detailed, interactive environments. more than 16 fighting environments in all! • • multiple play modes: arcade mode, vs mode, konquest and more, plus, test your might and test your sight
 
source: us.playstation.com ",0,0,0,0,2,0,0,0,0,6
Pro Wrestling,"it's a reverse bulldog, a double nogin-knocker, a leap off the top turnbuckle - it's pure pandemonium! welcome to the world of nintendo pro wrestling, where you take on six of the meanest, baddest, most rotten guys around. with names like the amazon, giant panther and kin korn karn. you'll begin the match by choosing a wrestler and an opponent - either the computer or a friend. then with a flick of the wrist you'll perform drop-kicks, body-slams, head-locks and dozens of other bone-crunching moves designed to annihilate your opponent. but be warned. each wrestler has his own arsenal of back-breaking moves. which means you'll have to think fast and move even faster to pin your opponent, hold him for a three-count, and become champion of nintendo pro wrestling! ",0,0,0,0,0,0,0,0,0,0
Mortal Kombat II (US & Others sales)," 
mortal kombat 2
      nothing, nothing can prepare you! all the fierce kombatants of the #1 arcade smash gather for mortal kombat ii, a battle to defeat the shape-shifting demon shang tsung and his ruthless master, shao kahn. brutal special moves, friendships, babalities, hidden surprises, crushing combos and outrageous finishing moves - all yours to kommand. let the kombat kontinue...
this summary is a direct quote from the game's box.
posted by nintendomonopoly ",0,0,0,0,3,0,0,0,0,0
WCW/nWo Revenge,"more than 60 wrestlers, including all of the top wcw and nwo superstars! -wrestler entrances! -all the real wcw belts! -more hidden weapons! -instant replay! -completely updated roster!-real pay-per-view arenas!-complete costume edit---save changes to the battery!us box ",0,0,0,0,0,0,0,0,0,0
WWE SmackDown vs Raw 2008,"
this year, thq's smackdown series expands once again, as it makes its first ever appearances on the wii, the nintendo ds, and the playstation 3! in addition, ps2 and xbox 360 incarnations will also be available. with many new features, core adjustments and a revamped roster - including ecw arenas and superstars - having been promised by the team behind the game, this is set to be one hell of a slobberknocker in videogame form!
gameplay:svr08 enables you take control of your favourite wwe superstars in a huge variety of game modes and match types, with the strategy you employ being crucial to your chances of victory. thanks to eight newly-employed unique fighting styles, it is essential to think before you strike and make sure that you use moves and tactics that befit your superstar's size, strength and abilities. submission artists will look to force their opponents to tap out, whilst hardcore specialists would much rather smack an opponent with a steel chair and be done with it.  ai will be smarter than ever and the game's core animation is said to be undergoing a total revamp, so the moves you perform will freely flow from one to the next - unless, of course, the opponent counters your offence, which could leave you vulnerable and prone to being attacked - therefore, the timing of your strikes and grapples is essential.  in order to give you increased control over your superstar's actions, a lot of emphasis is placed on the use of analogue control, in particular in the art of submission moves. what direction you push the analogue stick in and how hard you do so affects the amount of pressure you apply in the hold - but similarly, your opposition can use a similar system to escape the submission.
features:

superstar fighting styles: with eight superstar fighting styles to choose from, playing wwe smackdown vs. raw 2008 will never be the same. each fighting style has its own unique strategy with exclusive moves, abilities, attributes and more. take the fight into your own hands and feel the power of the superstars.
struggle submission system: the new struggle submission system gives players intuitive and natural control over their wwe superstars using the analog sticks. realism and strategy are at the forefront, as players can now control the amount of pressure they apply.
ecw presence: the life of a wwe superstar isn't always pretty. ecw invades wwe smackdown vs. raw 2008 with a variety of superstars, arenas and weapons.
wwe 24/7 mode: combining the popular season and general manager modes from previous smackdown vs. raw games, wwe 24/7 mode embraces the intensity of the superstar lifestyle. multiple character developement options, stat tracking and career goals will guide players toward the ultimate achievement of becoming a legend.
giving fans what they want: wwe smackdown vs. raw 2008 offers numerous updates, including new rosters, more enviornmental hotspots, improved out-of-ring action, enhanced online community support and much more!


 ",0,5,0,0,0,8,0,0,0,4
Mortal Kombat (2011), ,0,0,0,0,0,0,0,0,0,0
