Name,Summary,investigation,clues,hakuouki,5pb,hunex,telltale,csi,factory,idea,adventure
The Legend of Zelda: The Wind Waker,"the legend of zelda: the wind waker is the tenth installment in the zelda video game series.  the game's style and setting make it unique on the zelda series, as the game is completely cell shaded and set in a vast ocean filled with islands.  link travels accross this vast sea in the search for his sister, while battling the evil ganondorf, solving challenging dungeons, and helping out the inhabitants of the great sea.the game shares the same basic control system as the legend of zelda: ocarina of time for the nintendo 64.  it is both a critical and commercial success.  it is the 4th of only 6 games to recieve a perfect score from famitsu magazine, and was in general well recieved by it's players.  complaints and concerns include the ocean being too large and the game being too easy, but overall wind waker is an interesting, unique, and ingenious adventure for both fans of the zelda series and fans of action/adventure games in general.  ",0,0,0,0,0,0,0,0,0,1
Zelda II: The Adventure of Link,"link returns to hyrule to search for the triforce and to awaken zelda from an endless sleep. embark on a quest to find the triforce of courage and save hyrule from ruin. learn magic spells, talk to people in towns to get clues, collect items to increase your power and explore six palaces where the underlings of the evil ganon await you.this sequel to the adventure classic uses side-scrolling combat engine unique to the series for more technical combat while using an overhead view for the overworld. it features more in-depth world roaming as link encounters townsfolk he can talk to while on his quest.to many fans of zelda, is the worst game in the series. this can be attributed to the change in perspective, and the sheer dificulty. all previous and future 2d zelda games used a top down perspective, with no overworld. it is by far the hardest game in the series, and to complete it is a true achievement.  ",0,0,0,0,0,0,0,0,0,1
The Legend of Zelda: Oracle of Ages / Seasons,"a hero for the ages!
a pall of darkness has fallen over the land of labrynna.  the  sorceress of shadows, veran, has captured the oracle of ages and is  using her power for the ways of evil.  but hop is not lost...yet.  link  has been summoned to labrynna by the triforce, and he'll need to bend  the very fabric of time to save the oracle.  and he must hurry, for time  is running out...

play the harp of ages!  travel through time to affect events in both past and present!
 use tons of items!  link will master new items like mystical seeds  and over 60 magical rings as well as classic tools like the boomerang  and roc's feather.
link gets reinforcements!  fly, swim, and jump to new heights with  all-new characters like moosh the winged bear, ricky the marsupial, and  dimitri the dodongo!
link with the legend of zelda: oracle of seasons!  friends and  enemies will travel between the two games, passwords can upgrade or  transport items, and only by linking can you discover the evil force  behind the chaos.

source - back of box ages
a hero for all seasons!
onox (general of darkness) has imprisoned the oracle of seasons and  is draining the very life out of the land. with the seasons in turmoil  and the forces of evil running rampant, the world looks for a hero...  that hero is link! his quest won't be easy, as he'll have to master the  very seasons themselves to turn back the tide of evil.
source - back of box seasons ",0,0,0,0,0,0,0,0,0,0
Professor Layton and the Diabolical Box,"puzzle master professor layton and his apprentice, luke, have stumbled upon anothermystery. it’s up to them to navigate their way through numerous puzzles to determine who –or what – caused the death of professor layton’s mentor, dr. schrader. was it themysterious elysian box, rumored to kill all who open it? professor layton and luke find aclue that begins their adventure: a train ticket for the molentary express.
features

professor layton and the diabolical box features a riveting new mystery and more than 150 new brain teasers, riddles and logic puzzles to challenge and delight players.
beyond the puzzles found in the game, players with a broadband internet connection who connect their nintendo ds and nintendo dsi systems to nintendo wi-fi connection will get access to downloadable bonus puzzles. a new puzzle will be available each week for 33 weeks after the game launches.
the new game includes a significantly greater amount of voice work and animated movie scenes compared to the original.
 ",0,0,0,0,0,0,0,0,0,0
The Legend of Zelda: Link's Awakening,"during a sailing voyage, link becomes hopelessly sidetracked and finds himself shipwrecked on koholint island. while on the island, link helps its many inhabitants by recovering the eight instruments of the sirens and waking the wind fish. awaken the wind fish and all will be answered. ",0,0,0,0,0,0,0,0,0,0
LEGO Indiana Jones: The Original Adventures,"lego indiana jones: the original adventures takes the fun and creative construction of lego and combines it with the wits, daring and non-stop action from the original cinematic adventures that enthralled audiences everywhere (indiana jones and the raiders of the lost ark, indiana jones and the temple of doom and indiana jones and the last crusade). with a unique tongue-in-cheek take on the original adventures, lego indiana jones follows dr. jones escapades through the jungles of south america to the mountaintops of india. fans can build, battle and brawl their way through their favorite cinematic moments, from indy’s entanglements with snakes to his dashing boulder run.  of course, pop culture’s most iconic archeologist will whip through all the classic moments with the help of a host of supporting characters including marion ravenwood and short round. players can also mix and match the body parts of more than 60 playable characters to create new heroes just as they could in the best-selling lego star wars™ games. product information

everyone’s favorite fedora wearing hero returns to theaters this may in indiana jones and the kingdom of the crystal skull and families can celebrate the humor and excitement of the original films with lego indiana jones.
tongue-in-cheek humor presents the original adventures in a manner only lego can whip up, with comical reinterpretations of classic indiana jones scenes and elements.
use indy’s signature whip as a multi-purpose tool to attack, disarm, swing across gaps, activate levers and interact with a world of lego objects and puzzles.
for the first time, lego indy characters are fully immersed in their environment; swim, climb, shimmy across rock ledges and pick up and carry objects.
use a variety of weapons from the environment to fight enemies (e.g., chairs, guns, swords, bottles).
unlock more than 60 playable characters, including villains and supporting characters (marion ravenwood, short round, rene belloq, willie scott, marcus brody, jones senior and mola ram).
character specific abilities include excavation by satipo, an umbrella slide by marcus brody, and monkey access by marion ravenwood.
create unique playable characters like sallah scott or mola round by mixing and matching the lego body parts of all playable characters.
explore the globe and solve puzzles that encourage creative thinking through the use of teamwork and unique building situations only possible in a lego world.
cooperative gameplay encourages parents to share the legacy of indiana jones with their children in a fun and humorous way.
 ",0,0,0,0,0,0,0,0,0,0
The Legend of Zelda: A Link Between Worlds,"two worlds collide in an all-new adventure set in the world of super nes™ classic the legend of zelda™: a link to the past™. in this newly spun tale, link™ transforms into a living painting to cross into a dark, parallel dimension mirroring hyrule. conquer the puzzles, traps, and hidden rooms of deadly dungeons to save both worlds from certain doom!
brought to life in 3d, this beloved, top-down world is the perfect backdrop for a sweeping new tale. dungeons sink deep below the screen as link and his attacks pop out, highlighting the nonstop action. the pace is faster than ever, especially since you can swap items on the nintendo 3ds touch screen. shoot an arrow, toss a boomerang, bomb a wall, then merge into a painting to slide between two worlds - all in a matter of seconds. with gameplay, visuals, and controls this smooth and consistent, no zelda™ adventure has ever been so action-packed.

an all-new adventure in the deadly, beautiful world of the legend of zelda™: a link to the past
become a living painting to slide within walls and between two dimensions at war
sink into the classic, top-down world of zelda™ like never before with 3d visuals at 60 fps
easily swap inventory items on the nintendo 3ds touch screen to keep the action coming

source: nintendo ",0,0,0,0,0,0,0,0,0,3
The Legend of Zelda: Skyward Sword,"
a link to the future
one of the most storied franchises in history soars to new heights. the legend of zelda™: skyward sword shakes up the tried-and-true adventure game formula and marks a turning  point for the franchise. the introduction of full motion controls  enabled by wii motionplus™ technology synchronizes player movements with  link's actions while offering the most intuitive play control of any  game in the series to date.
features:

the legend of zelda: skyward sword boasts the most  realistic sword combat of any game to date, turning every encounter into  a challenge of both brains and brawn. wii motionplus technology  accurately translates the angle of every sword slice, effectively  putting link's blade in the player's hand. analyzing enemy attack and  defense tendencies and counteracting with precise swings of the sword  provide a satisfying experience that blends puzzle-solving with a new  and distinctly unique combat system.
explore a massive, multilayered world that seamlessly blends  soaring exploration in a sea of clouds with intense ground-based  adventuring that blurs the line between the main world and traditional  zelda dungeons. link™ soars through the skies on the back of a noble  bird and dives beneath the clouds to the continent below in an epic  quest that lays the foundation for the events in the critically  acclaimed the legend of zelda: ocarina of time.
prepare for intense puzzle-solving as only the legend of zelda games can deliver. exploration of the forests, volcanoes and deserts  requires players to think on their feet as they solve puzzles, overcome  obstacles and escape deadly traps. once they find their way to each  dungeon, they are confronted by even more puzzles guarded by fiendish  enemies.
the legend of zelda: skyward sword redefines the  traditional zelda framework and introduces an arsenal of items, upgrades  and rewards unlike any game in the franchise to date. the adventure  guides players into, out of and back to dungeons and areas they've  already completed. along the way, link gathers a massive inventory of  peculiar items and resources that can be used to upgrade many of his  weapons and equipment.

(nintendo) ",0,0,0,0,0,0,0,0,0,2
Tomb Raider III: Adventures of Lara Croft,"join lara in her biggest adventure to date in the phenomenal tomb raider series. play through five huge worlds, in any order, on the quest for an ancient meteor rumored to have life-giving powers. new puzzles, environments, and even a few old enemies, like the infamous t-rex await you. from the jungles of india to the icy wastes of antarctica, across the rooftops of london and into the depths of nevada's mysterious area 51, lara is ready for anything. prepare to be amazed!

features:

incredible new graphic enhancements include multi-colored lighting, rippling water, reflections, fog and changing weather effects!


play in any order as you follow lara through the south pacific, antarctica, area 51, london and india.


new moves and vehicles include speed dash, monkey swing, kayak and quad bike help lara out of tricky situations.


defend against hyenas, monkeys, piranhas, and the infamous t-rex with new weapons such as grenade launcher, desert eagle and rocket launcher!


greater number of enemies that tomb raider 1 & 2!


new save-game system allows 'easy' and 'difficult' option.


eidos interactive ",0,0,0,0,0,0,0,0,0,1
LEGO Batman: The Videogame,"lego batman: the videogame is the latest game from the award-winning team behind the lego star wars series of games. with trademark lego fun and charm, the game takes you into the world of the ultimate crime-fighting hero.lego batman: the videogame brings the one-and-only caped crusader to life in a completely original storyline. players will take control of the dynamic duo, batman (bruce wayne) and robin, as well as bonus hero nightwing to fight gotham city’s most notorious criminals including the joker, the penguin, catwoman, scarecrow, killer croc, the riddler, mr. freeze, harley quinn, two face, bane, clayface, poison ivy and many more. the criminals have broken out of arkham asylum and are set to wreak havoc on the city.players will also be able to explore their wicked side and fight their way through the game as the villains, experiencing the game from a completely different point of view with all-new criminal objectives. with a collection of high-tech suits, gadgets and cutting-edge vehicles on hand, players will be able to step into the unique lego batman universe to bring super villains to justice – or, as the villains, to run amok in gotham city!features

fight for justice as batman and robin or create chaos as the joker, catwoman and other villains, as you save or destroy gotham city.
rocket through sewers and bound across rooftops as you take the fight to the criminals across classic locations in gotham city.
fight on land, sea and in the air using a number of powerful batman, robin and villain-controlled vehicles, including the rocket-powered batmobile, sleek batboat and stealthy batwing.
enhance the abilities of the dynamic duo by unlocking batman’s demolition, sonic and glide suits and robin’s gravity, magnetic and dive suits to help fight gotham’s villains.
enjoy numerous game modes and levels:
play through the game in story mode from both the hero and villain sides.
replay any level in freeplay mode with any characters you’ve unlocked. access previously hidden areas to find additional rewards and bonus content.
collect lego studs and special lego bricks throughout the game to unlock tons of extra content including special power-ups and bonus levels.
lego batman on the xbox 360 features gamer achievements and 720p/1080p display support.
lego batman: the videogame features top voice over talent, including tom kenny, with hilarious results.
lego batman: the videogame also features danny elfman’s iconic the batman (1989) musical score.
 ",0,0,0,0,0,0,0,0,0,0
The Legend of Zelda: Majora's Mask,"link's all-new adventure lands him in the mystical world of termina.  where ever-present clocks count down the hours until menacing moon falls  from the sky above. when his horse and ocarina are stolen by a strange,  masked figure. link embarks on an urgent quest to solve the mystery of  the moon, save the world from destruction, and find his way back to the  peaceful land of hyrule!

link transforms before your eyes -  over 20 magical masks give link powers and abilities he's never had  before! watch him transform into a hapless deku child, a mighty goron  hero and a legendary zora guitarist.
race against time - characters and events flow with the hours of the  day. set your own schedule and even alter time itself in a race to stop  the moon and save the world!
panoramic environments! powered-up action battles! fully interactive  characters and events! experience gorgeous rendered landscapes, swarms  of attacking enemies and a deep, engrossing world of wonders with the  power of the n64 expansion pak.

(back of the box) ",0,0,0,0,0,0,0,0,0,1
Rugrats: Search For Reptar, ,0,0,0,0,0,0,0,0,0,0
L.A. Noire,"los angeles, 1947...amid the post-war boom of hollywood's golden age, cole phelps is an lapd detective thrown headfirst into a city drowning in its own success. corruption is rampant, the drug trade is exploding, and murder rates are at an all-time high. in his fight to climb the ranks and do what’s right, phelps must unravel the truth behind a string of arson attacks, racketeering conspiracies and brutal murders, battling the l.a. underworld and even members of his own department to uncover a secret that could shake the city to its rotten core.using groundbreaking new animation technology that captures every nuance of an actor's facial performance in astonishing detail, l.a. noire is a violent crime thriller that blends breathtaking action with true detective work to deliver an unprecedented interactive experience. search for clues, chase down suspects and interrogate witnesses as you struggle to find the truth in a city where everyone has something to hide.the official site : http://www.rockstargames.com/lanoire/ ",0,0,0,0,0,0,0,0,0,0
Club Penguin: Elite Penguin Force,"the disney club penguins from the wildly popular snow-covered disney        club penguin online world waddle onto the nintendo ds for the first        time. disney club penguin: elite penguin force introduces kids to all        new adventures in the disney club penguin world, giving players a chance        to complete secret agent missions, solve mysteries and connect with        friends and the disney club penguin web site in new ways. kids can earn        coins while playing on the disney club penguin nintendo ds, which will        seamlessly transfer into their online accounts via a wireless        connection. players will embark on missions utilizing familiar and        all-new gadgets, accessories, disguises, vehicles and locations to        investigate mysterious events in the disney club penguin world.

 take on the role of an disney club penguin elite penguin forces agent,          completing top secret missions only available on the disney club          penguin nintendo ds 
 play brand new exclusive ds-only mini-games including snowboarding and          dance challenge. 
 play favorite disney club penguin mini-games such as cart surfer, jet          pack adventure and ice fishing in a whole new way, using the ds stylus          and the unique dual-screen view. 
 earn coins while playing on the nintendo ds to use or transfer          wirelessly to online accounts. 
 download new missions and weekly newsletters. 

www.nintendo.com ",0,0,0,0,0,0,0,0,0,1
LEGO Batman: The Videogame,"lego batman: the videogame is the latest game from the award-winning        team behind the lego star wars series of games. with the lego fun and        charm, the game takes you into the world of the ultimate crime-fighting        hero.
this videogame brings the one-and-only caped crusader to life in a        completely original storyline. players will take control of the dynamic        duo, batman and robin to fight gotham's city's most notorious criminals        including the joker, the penguin, catwoman, scarecrow, killer croc and        many more. the criminals have broken out of arkham asylum and are set to        wreak havoc on the city.
players will also be able to explore their wicked side and fight their        way through the game as the villains, experiencing the game from a        completely different point of view with all-new criminal objectives!
with a collection of high-tech suits, gadgets and cutting-edge vehicles        on hand, players will be able to step into the unique lego batman        universe to bring super villains to justice - or as the villains, to run        amok in gotham city!

 fight for justice as batman and robin or create chaos as the joker,          catwoman and other villains, as you save or destroy gotham city 
 rocket through sewers and bound across rooftops as you take the fight          to the criminals across classic locations in gotham city 
 fight on land, sea and in the air using a number of powerful batman,          robin and villain-controlled vehicles, including the rocket-powered          batmobile, sleek batboat and stealthy batwing 
 enhance the abilities of the dynamic duo with all new power suits,          including the magnetic suit 
 enjoy numerous game modes and levels 
 ",0,0,0,0,0,0,0,0,0,0
Heavy Rain,"heavy rain is a dark, immersive and emotionally-engaging experience; one that expands upon the innovative ideas of 2005’s acclaimed fahrenheit to create a noir-thriller where decisions are charged with importance and actions can have drastic and unforseen consequences. breaking with traditional game conventions where necessary, the gameplay will be based around story, emotional involvement and the player’s decisions and interactions, rather than high-scores, combat and competition. intuitive gameplay and controls are also fundamental to the experience – ensuring that the game is mature but accessible, and avoiding alienating players with obscure stats and complex interfaces.in heavy rain you don’t watch the story – you play it. the dynamic narrative unfolds through the players actions - not cut scenes - and every action has a consequence. the choices you make and the way you interact with other characters have repercussions throughout the storyline. with unprecedented responsibility over the fates of the game’s characters, players will find heavy rain an emotional experience unlike any other. it dares to tackle subject matter and themes rarely touched upon in video games, making it a genuinely mature game for a new world of adult gamers. ",0,0,0,0,0,0,0,0,0,0
LEGO Batman: The Videogame,"lego batman: the videogame is the latest game from the award-winning team behind the lego star wars series of games. with trademark lego fun and charm, the game takes you into the world of the ultimate crime-fighting hero.lego batman: the videogame brings the one-and-only caped crusader to life in a completely original storyline. players will take control of the dynamic duo, batman (bruce wayne) and robin, as well as bonus hero nightwing to fight gotham city’s most notorious criminals including the joker, the penguin, catwoman, scarecrow, killer croc, the riddler, mr. freeze, harley quinn, two face, bane, clayface, poison ivy and many more. the criminals have broken out of arkham asylum and are set to wreak havoc on the city.players will also be able to explore their wicked side and fight their way through the game as the villains, experiencing the game from a completely different point of view with all-new criminal objectives. with a collection of high-tech suits, gadgets and cutting-edge vehicles on hand, players will be able to step into the unique lego batman universe to bring super villains to justice – or, as the villains, to run amok in gotham city!features

fight for justice as batman and robin or create chaos as the joker, catwoman and other villains, as you save or destroy gotham city.
rocket through sewers and bound across rooftops as you take the fight to the criminals across classic locations in gotham city.
fight on land, sea and in the air using a number of powerful batman, robin and villain-controlled vehicles, including the rocket-powered batmobile, sleek batboat and stealthy batwing.
enhance the abilities of the dynamic duo by unlocking batman’s demolition, sonic and glide suits and robin’s gravity, magnetic and dive suits to help fight gotham’s villains.
enjoy numerous game modes and levels:
play through the game in story mode from both the hero and villain sides.
replay any level in freeplay mode with any characters you’ve unlocked. access previously hidden areas to find additional rewards and bonus content.
collect lego studs and special lego bricks throughout the game to unlock tons of extra content including special power-ups and bonus levels.
the nintendo ds version will offer touch screen interaction, and two-player co-op using the ds local wireless network capability.
lego batman: the videogame features top voice over talent, including tom kenny, with hilarious results.
lego batman: the videogame also features danny elfman’s iconic the batman (1989) musical score.
 ",0,0,0,0,0,0,0,0,0,0
Professor Layton and the Unwound Future,"professor layton and the unwound future is the third game in the        beloved professor layton series of brainteaser puzzles for nintendo. it        places the professor and his trusted apprentice at the center of a        spellbinding adventure after they receive a strange letter sent from 10        years in the future. wind your way through more than 165 mind-bending        puzzles as you decipher clues and strive to unlock a time-twisting        mystery that threatens to plunge london into chaos. the story is        delivered both through game play and through beautifully rendered        hand-drawn cinematics. layton fans and puzzle fans alike will find the        game remarkably addictive.

 with over 165 in-game puzzles and 30 downloadable puzzles, professor          layton and the unwound future will challenge your wit at every turn.          using your wireless broadband internet connection, cconnect to          nintendo wi-fi connection to download a new puzzle each week for 30          weeks after the game launches. solve the puzzles to uncover clues and          follow the clues to solve the mysteries that confront professor layton. 
 the rich story, colorful characters and hand-drawn art style come to          life with lush animated and fully-voiced cut-scenes. for the first          time ever find out more about professor layton’s past as he strives to          save the future. 
 quick and easy touch screen control makes exploring the game and          inputting answers as easy as can be. use the pumped up memo pad to          make notes and solve difficult puzzles with multiple colored pens and          different pen thicknesses to choose from in addition to an eraser          function. solving math problems, tracing paths, and making notes is          now easier than before. 

http://www.nintendo.com/games/detail/uww2enhm7kx2dnvkkiqn57fbsfusrrm0 ",0,3,0,0,0,0,0,0,0,1
The Legend of Zelda: Spirit Tracks,"the legend of zelda: spirit tracks sets hero link on a daring new adventure. the gameprovides players with a new story, more puzzles and even a new mode of transportation. inthis game, link voyages by train, which offers up new possibilities for problem-solving. thegame has the same look and feel established in the hit nintendo ds game the legend ofzelda: phantom hourglass.
features

link has a valuable new companion. while navigating dungeons, he’s accompanied by a phantom, a hulking suit of armor that responds to his commands. players can tap the phantom to take command of him, then draw a line on the touch screen to direct him where to go. the stout phantom can walk through fire or lava, be used as a platform to carry link above dangers, or even run interference to block link from harm.
when link conducts the train, players enjoy a satisfying combination of action and real-time puzzle solving as they determine which track to take and how to best manipulate their speed. when on the train, link must plot the best route to the end of the line around ever-moving obstacles. while en route, link might need to fire an onboard cannon at enemies who attack the train or sound the whistle to scare animals off the tracks.
link uses a variety of new items and weapons, including the whirlwind, which players activate by blowing into the microphone of the nintendo ds or nintendo dsi system.
as with the legend of zelda: phantom hourglass, players can draw notes on the in-game maps using the stylus on the touch screen.
 ",0,0,0,0,0,0,0,0,0,0
Subnautica, ,0,0,0,0,0,0,0,0,0,0
The Walking Dead: A Telltale Games Series, ,0,0,0,0,0,0,0,0,0,0
