Name,Summary,tales,pokémon,monsters,enix,dungeon,dungeons,fantasy,playing,role,rpg
Diablo III,"and the heavens shall trembletwo decades have passed since the demonic denizens, diablo, mephisto, and baal, wandered the world of sanctuary in a vicious rampage to shackle humanity into unholy slavery. yet for those who battled the prime evils directly, the memory fades slowly and the wounds of the soul still burn.when deckard cain returns to the ruins of tristram's cathedral seeking clues to new stirrings of evil, a comet from the heavens strikes the very ground where diablo once entered the world.  the comet carries a dark omen in its fiery being and it calls the heroes of sanctuary to defend the mortal world against the rising powers of the burning hells – and even the failing luminaries of the high heavens itself..- blizzard.com/diablo3 ",0,0,0,0,0,0,0,0,0,0
Pokemon FireRed / LeafGreen Version,"set off on a grand adventure to fulfill your dreams of becoming a pokémon master! explore the kanto region and discover wild pokémon around every corner. build your pokémon collection and train, and battle your way to success-earn your badges as you develop winning strategies to use against experienced gym leaders in every town. explore every inch to uncover amazing secrets that will help you in your quest to be the best trainer ever!

trade, battle, and chat      wirelessly! all new wireless adapter allows trainers to trade, battle, and      chat between their firered and leafgreen versions with no cables!
catch loads of pokémon in the      never-before-seen island areas!
expand your collection when      you trade with a friend. link up with pokémon ruby & sapphire or pokémon      colosseum to catch them all!

[us box] ",0,6,0,0,0,0,0,0,0,0
"Pokemon: Let's Go, Pikachu/Eevee","take your pokémon™ journey to the kanto region with your energetic partner, pikachu, to become a top pokémon trainer as you battle other trainers. 
use a throwing motion to catch pokémon in the wild with either one joy-con™ controller or poké ball™ plus accessory, which will light up, vibrate, and make sounds to bring your adventure to life. share your adventure with family or friends in 2-player action using a second joy-con or poké ball plus (sold separately). you can even connect to the pokémon™ go app* using a compatible smartphone to bring over pokémon originally discovered in the kanto region! 
explore the diverse and vibrant region of kanto! true-to-size wild pokémon roam around in the game, so catch them like a real pokémon trainer by using motion, timing, and a well-placed poké ball™. go on a stroll with your favorite pokémon in your poké ball plus! connect your game directly to pokémon go* to receive kanto region pokémon. 

become a top pokémon trainer on an adventure with pikachu! 
encounter pokémon™ in the kanto region 
play the entire game with a single joy-con™ controller or use the poké ball™ plus accessory, which will light up, vibrate, and make sounds to bring your adventure to life 
take your pokémon for a stroll in your poké ball™ plus 
play a pokémon adventure together cooperatively anytime, anywhere on one system by using another joy-con™ controller or poké ball™ plus accessory (sold separately) to catch and battle alongside another player! 
use poké ball™ plus to connect with the pokémon™ go* app on compatible smartphones to catch kanto region pokémon 
connect poké ball™ plus to the pokémon™ go* app to catch pokémon in the real world and gather items from poké stops without viewing your smartphone screen—meanwhile, carry pokémon from pokémon™: let's go, pikachu! or pokémon™: let's go, eevee!

source: https://www.nintendo.com/games/detail/pokemon-lets-go-pikachu-switch ",0,13,0,0,0,0,0,0,0,0
Final Fantasy VII,"this is where the story of final fantasy vii begins. it seems that an evil power company called shinra, inc. has found a way to mine this life energy, draining it from the earth, and using it to control the universe. fortunately, a resistance organization know as avalanche, has vowed to put an end to shinra's destructive practices. the story focuses on cloud, an ex-soldier of shinra, who teams up with avalanche, and along the way, encounters some very mysterious and powerful allies who help him fight against the deadly creatures shinra has created to protect its empire. you, as the game player, will decide their fate.
featuring seamless 3d gameplay and animation, final fantasy vii contains hundreds of pre-rendered, computer-generated backgrounds and features real-time battles, vast map screens, and a complex and engrossing storyline. published on three cds, final fantasy vii will be one of the largest and most richly detailed gaming experiences ever created.
(publisher) ",0,0,0,0,0,0,3,0,0,0
The Elder Scrolls V: Skyrim,"the empire of tamriel is on the edge. the high king of skyrim has been murdered.  alliances form as claims to the throne are made. in the midst of this  conflict, a far more dangerous, ancient evil is awakened. dragons, long  lost to the passages of the elder scrolls, have returned to tamriel.  the future of skyrim, even the empire itself, hangs in the balance as  they wait for the prophesized dragonborn to come; a hero born with the  power of the voice, and the only one who can stand amongst the dragons.
 
official website ",0,0,0,0,0,0,0,0,0,0
Final Fantasy VIII,"the final fantasy series has always set the benchmark for what role-playing games should be and final fantasy viii is no exception. a revolutionary new battle system has been created to add more customization to your characters by way of the junction system. the latest features such as dolby surround sound, pocket station compatibility and cg movie integration have also been incorporated into this masterpiece, making this title a showcase in technological game advancements.battle systemjunction systemthe revolutionary new junction system featured in final fantasy viii provides an unprecedented level of control in character customizability. based upon the powerful guardian forces from which the characters derive most of their power, the junction system allows the player to modify character abilities, commands and even their attributes. unlike previous games in the series, the magic in final fantasy viii is not earned or purchased, but drawn from enemies in battle. players can opt to cast the magic drawn from enemies right away, or store it as spells for later use. the usefulness of stored magic goes beyond merely casting it however; the junction system lets the player attach the power of magic spells to attributes, enhancing character stats or special defenses that provide resistance to certain attacks.guardian forcesthe guardian forces that the characters must equip to use battle commands and earn special abilities, are themselves powerful attacks. similar to the summoned monsters from previous games in the series, guardian forces ""guard"" characters with their own lives during the summoning process. when the summoning is complete, the powerful attack is truly a sight to behold.game advancesadvanced 3d graphicsnever before has the playstation experienced gameplay graphics as smooth and life-like as those present in final fantasy viii. utilizing the artistic talent that is a square trademark, and a brand new 3d engine, final fantasy viii will dazzle players with fully rendered backgrounds and ultra-detailed character models which move with astounding fluidity.seamless movie integrationwith the new 3d engine capable of displaying highly detailed character models, final fantasy viii showcases the latest advance in videogame animation, the seamless integration of computer graphic video with real-time gameplay scenes. the transition is such that many players may not notice when a static cinema sequence becomes activefrom square-enix website ",0,0,1,0,0,0,7,0,0,0
Final Fantasy X,"final fantasy is a console role-playing game developed and published by square (now square enix), and the tenth installment in the final fantasy video game series; it was released in 2001 for the sony playstation 2 video game console. it was once among the top twenty best-selling console games of all time, selling 6.6 million units worldwide and was also voted by the readers of the japanese video game magazine famitsu to be the greatest video game of all-time. set in the fantasy world of spira, the game's story centers around a group of adventurers and their quest to defeat a rampaging force known as ""sin"". final fantasy x marks the final fantasy series' transition from entirely pre-rendered backdrops to fully three-dimensional areas, achieved with the playstation 2’s emotion engine processor. though pre-rendered backgrounds are not entirely absent, their use has been restricted to less vibrant locations, such as building interiors. final fantasy x is also the first game in the series to feature a wide range of realistic facial expressions, as well as other technological developments in graphical effects achieved, such as variance in lighting and shadow from one section of a character's clothing to the next. final fantasy x is also the first in the series to feature voice-over actors, as well as the first to spawn a direct sequel, final fantasy x-2. final fantasy x introduces other significant advances in the final fantasy series. for instance, because of the implementation of voice-overs, scenes in the game are paced according to the time taken for dialogue to be spoken, whereas previous games in the series incorporated scrolling subtitles. final fantasy x features changes in world design, with a focus placed on realism. the gameplay makes a significant departure from past games as well, incorporating several new elements. ",0,0,0,0,0,0,11,0,0,0
Pokemon Black 2 and White 2,"return to the captivating unova region two years after the events of the        original pokémon black version and pokémon white version games — the first time in the core pokémon game series that a storyline        has continued from one game to another. in the pokémon black version 2 and pokémon white version 2 games, players can explore new        areas, discover gyms with new leaders and see how everything has changed        in the last two years.
source: eshop page ",0,5,0,0,0,0,0,0,0,0
Fallout 4,"
welcome home
bethesda game studios, the award-winning creators of fallout 3 and skyrim, welcomes you to the world of fallout 4. winner of more than 50 game of the year awards, including top honors at the 2016 d.i.c.e. awards. fallout 4 is the studio’s most ambitious game ever and the next generation of open-world gaming. as the sole survivor of vault 111, you enter a world destroyed by nuclear war. only you can rebuild and determine the fate of the wasteland.
freedom and liberty
do whatever you want in a massive open world with hundreds of locations, characters, and quests. join multiple factions vying for power or go it alone, the choices are all yours.
you’re s.p.e.c.i.a.l!
be whoever you want with the s.p.e.c.i.a.l. character system. from a power armored soldier to the charismatic smooth talker, you can choose from hundreds of perks and develop your own playstyle.
collect and build!
collect, upgrade, and build thousands of items in the most advanced crafting system ever. weapons, armor, chemicals, and food are just the beginning - you can even build and manage entire settlements.
super deluxe pixels!
an all-new next generation graphics and lighting engine brings to life the world of fallout like never before. from the blasted forests of the commonwealth to the ruins of boston, every location is packed with dynamic detail.
violence and v.a.t.s.!
intense first or third person combat can also be slowed down with the new dynamic vault-tec assisted targeting system (v.a.t.s) that lets you choose your attacks and enjoy cinematic carnage.
source: fallout.bethesda.net
 ",0,0,0,0,0,0,0,0,0,0
Pokemon: Ultra Sun and Ultra Moon,"pokemon: ultra sun and ultra moon are enhanced versions of pokemon: sun and moon, jrpgs originally developed by game freak and published by the pokemon company and nintendo in 2016. the ultra versions were released on 17th november, 2017.
ultra sun and ultra moon featured updated storylines and graphics, new pokemon, and gameplay additions, including three new activities and new z-moves.
source: machina ",0,0,0,0,0,0,0,0,0,0
Pokemon Platinum Version,"another world has emerged
in the sinnoh region...
...a world where time and space are altered!
catch, train, and battle your favorite pokemon, and discover ancient, mythical pokemon in this exciting new adventure!
new discoveries,new challenges!
expanded online options
new experiences in the wi-fi plaze and the battle frontier!

this platinum version of pokemon, an extension of the diamond and pearl versions, contains new story elements and expanded play features, including different types of pokemon.
this game can communicate with the diamond and pearl versions and pokemon battle revolution using nintendo wi-fi connection and ds wireless communications.
this game can also be connected to the ruby, sapphire, emerald, firered, and leafgreen versions of pokemon using the dual slot feature of nintendo ds or nintendo ds lite.

[back of box]
 ",0,0,0,0,0,0,0,0,0,0
Pokemon Emerald Version,"the hoenn region is unstable-rayquaza has awakened! your skills as a trainer will be challenged like they've never been challenged before as you try to maintain the balance between kyogre & groudon. prove your skills by earning badges & gaining access to battle frontier-the front line of pokemon battling that offers a whole new level of competition. never-before-experienced battles await you!

the third adventure with new episodes in the hoenn region!
tons of new features, including surprising plot twists and changes to where and how often you can catch certain pokemon!
use the game boy advance wireless adapter to trade & battle between pokemon emerald and pokemon firered & leafgreen versions.
expand your collection when you trade with a friend. using a game linkcable, link up with pokemon ruby & sapphire. pokemon firered & leafgreen or pokemon colosseum to catch them all! see instruction booklet for details.

 
source: back of us box art ",0,0,0,0,0,0,0,0,0,0
Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters, ,0,0,0,0,0,0,0,0,0,0
Guild Wars,"in a world torn by conflict, where human kingdoms are all but destroyed and guilds sacrifice all for a chance to control the hall of heroes, a champion must rise from the ruins of a once-proud land to lead refugees from the ashes and fulfill an ancient prophecy. will that hero be you?
experience the game that has captivated millions of gamers worldwide. guild wars® is an online roleplaying game that rewards player skill and innovative gameplay over hours spent online. it's the original smash hit release from developer arenanet®, the beginnings of a franchise played by almost four million gamers worldwide.
http://www.guildwars.com/products/guildwars/default.php ",0,0,0,0,0,0,0,0,0,0
The Elder Scrolls V: Skyrim,"the empire of tamriel is on the edge. the high king of skyrim has been murdered.  alliances form as claims to the throne are made. in the midst of this   conflict, a far more dangerous, ancient evil is awakened. dragons, long   lost to the passages of the elder scrolls, have returned to tamriel.  the future of skyrim, even the empire itself, hangs in the balance as   they wait for the prophesized dragonborn to come; a hero born with the   power of the voice, and the only one who can stand amongst the dragons.
 
official website ",0,0,0,0,0,0,0,0,0,0
Final Fantasy XII,"since 1987, the final fantasy® series has sold over 70 million units, making it one of the best-selling video game franchises of all time. final fantasy xii carries on the tradition of gaming innovation, fantastic graphics and epic storytelling. with a brand-new battle system bringing more realistic and seamless action to the player’s fingertips, this latest installment promises to take role-playing games to the next level through a beautiful and heart-stopping adventure.
the story of final fantasy xii takes place in a world called “ivalice,” in an age when magic was commonplace and airships plied the skies, crowding out the heavens. war was on the horizon. seeking to strengthen its base of power, the great archadian empire had been invading and subjugating its neighboring kingdoms one by one. the small kingdom of dalmasca was one such kingdom. our story follows vaan, a young man living on the streets of dalmasca’s royal city of rabanastre, the princess ashe, the sole remaining heir to the dalmascan throne who had been given up for missing, as well as vaan’s friend penelo, the sky pirate balthier, balthier’s partner fran and many more on an adventure through ivalice that traces the mysteries behind the archadian empire’s invasion.
 
source: us.playstation.com
  ",0,0,0,0,0,0,2,0,0,0
Pokemon Crystal Version,"the latest in the gold and silver series!
travel back [to] the world of johto as the gold & silver series carries on with brand-new features! whether you're reading the fresh descriptions on your pokedex, using the unque sort function to organize your pokemon in new ways, watching the all-new battle animations, or discovering another way to capture suicune, you'll need all of your poke-skills to master pokemon crystal on your game boy color!
 

unlock the mysteries of the unown! all-new puzzles and rewards await you in the ruins of alph
fight through the battle tower, a challenging tournament featurings johto's best trainers!
for the first time, play as a male or female trainer!
trade with gold, silver, red, blue, and yellow versions to catch' em all and link up with pokemon stadium 2 for the nintendo 64.

 
[back of game box] ",0,0,0,0,0,0,0,0,0,0
Kingdom Hearts,"kingdom hearts is the story of sora, a 14-year-old boy whose world is shattered when a violent storm hits his island-paradise home, and he is separated from his two closest friends, riku, a 15 year-old boy, and kairi, a 14 year old girl. at the same time, there is turmoil in disney castle. king mickey is missing, and court wizard donald and captain goofy set out to find him. on their travels they meet sora on his own search for his lost friends. the three are told of ominous creatures known as the heartless - beings without hearts derived from an unknown dimension and as it turns out, manipulated by disney villains and the ones responsible for the devastating storm. upon discovering the link between the heartless, the storm and the disappearance of king mickey, sora, donald and goofy join forces and help familiar disney heroes to save their worlds from the heartless.the new disney characters making their debut in kingdom hearts are developed by tetsuya nomura, best known for his creations in the breakthrough titles final fantasy vii, viii and x. from a production team of more than 1oo of squaresoft and disney's most creative talent, kingdom hearts fully exploits the technological possibilities of the playstation 2 computer entertainment system in an epic tale of adventure, heroism and, ultimately, the sacrifice of what is held dearest for the greater good. this is the first time characters frorn different disney films come together in one interactive product. with kingdom hearts you can embark on a magnificent journey of adventure and imagination across familiar disney worlds and enchanting new lands.   ",0,0,0,0,0,0,1,0,0,0
Dragon Quest IX: Sentinels of the Starry Skies,"in dragon quest ix: sentinels of the starry skies, players begin their adventure as a city guardian who is sent to retrieve a sacred tree’s fruits, which have the power to grant wishes. players travel the world, conquer fearsome monsters and unravel an epic storyline. during their journey, players will encounter mighty opponents in fast-paced battles, and also interact with a colorful cast of characters. 

dragon quest ix: sentinels of the starry skies contains special modes that let players share their adventure with others, allowing up to four players to team up via a local wireless connection and experience the fun of tackling challenging monsters and dungeons cooperatively with their own characters. players can even leave the game active in their backpacks, pockets or purses and still interact with other players via an interactive “tag mode.” information about players’ characters can be wirelessly transmitted to others, and treasure maps and customized greetings can be exchanged automatically by players who come within range of one another when their games are set to tag mode. 

players looking to enjoy a variety of different game activities can take on special side quests. some of these quests will be earned by progressing through the game, while additional quests will be made available for free download for players with broadband internet access after the game launches, providing hours of additional content for virtual adventurers to enjoy either on their own or with friends. some downloadable quests will continue the main storyline of the game, while others offer standalone missions.

before setting off on their adventure, players can create their own heroes, deciding how they would like their face, hair and clothing to look. as the story unfolds, players become stronger, smarter and more powerful, and can customize companions who join their group. players will have fun discovering more than 1,000 pieces of clothing, armor, weapons and other items that will provide them with a unique appearance and special abilities. players can also change the class of their character at any time, choosing from a variety of vocations that will affect their abilities and strengths in the game. ",0,0,2,0,0,1,0,0,0,0
Final Fantasy IX,"final fantasy ix is a story about an evil queen's desire to gain world domination and a group of bandits that try to stop her. brahne the queen of alexandria is using highly advanced magical weapons to menace neighboring kingdoms. dispatched by a king of a threatened nation, an intrepid group of bandits sets out to stop the queen from achieving her goal of world domination, only to find that she is the cover for a far more sinister plot. a powerful sorceror named kuja is the one responsible for supplying brahne with the magical weapons. what are his goals? why did he join forces with brahne? where do his weapons come from? for the sake of mankind, these answers must be uncovered before kuja can execute his plan for world destruction.
 
source: http://na.square-enix.com/games/ffix-gamesite/ (publisher) ",0,0,0,0,0,0,1,0,0,0
Final Fantasy X-2,"final fantasy x-2 is the first direct sequel in the renowned series. highlighting a cast of returning characters, final fantasy x-2 features mission based gameplay, an all female led cast, unique job classes, a dynamic battle system, and much more.
source: square enix ",0,0,0,1,0,0,2,0,0,0
The Witcher 3: Wild Hunt,"the witcher: wild hunt is a story-driven open world rpg set in a visually stunning fantasy universe full of meaningful choices and impactful consequences. in the witcher, you play as professional monster hunter geralt of rivia tasked with finding a child of prophecy in a vast open world rich with merchant cities, pirate islands, dangerous mountain passes, and forgotten caverns to explore. ",0,0,0,0,0,0,1,0,0,1
The Witcher 3: Wild Hunt,"the witcher: wild hunt is a story-driven open world rpg set in a visually stunning fantasy universe full of meaningful choices and impactful consequences. in the witcher, you play as professional monster hunter geralt of rivia tasked with finding a child of prophecy in a vast open world rich with merchant cities, pirate islands, dangerous mountain passes, and forgotten caverns to explore. ",0,0,0,0,0,0,1,0,0,1
Final Fantasy XIII,"in final fantasy xiii, you will embark on a journey through the cityworld of cocoon and the outerworld of pulse. along the way, you will encounter diverse allies who will fight alongside you. execute powerful attacks with weapons and magic, and summon the enigmatic eidolons with an evolved active time battle system. experience seamless transitions between real time gameplay and in-game cinematics. do you have the courage to face your destiny?source: square enix ",0,0,0,1,0,0,1,0,0,0
Fallout: New Vegas,"description:experience all the sights and sounds of fabulous new vegas, brought to you by vault-tec, america's first choice in post nuclear simulation. explore the treacherous wastes of the great southwest from the safety and comfort of your very own vault: meet new people, confront terrifying creatures, and arm yourself with the latest high-tech weaponry as you make a name for yourself on a thrilling new journey across the mojave wasteland. a word of warning, however - while vault-tec engineers have prepared for every contingency,* in vegas, fortunes can change in an instant. enjoy your stay.* should not be construed as a legally-binding claim.
story:welcome to vegas. new vegas.it’s the kind of town where you dig your own grave prior to being shot in the head and left for dead…and that’s before things really get ugly. it’s a town of dreamers and desperados being torn apart by warring factions vying for complete control of this desert oasis. it’s a place where the right kind of person with the right kind of weaponry can really make a name for themselves, and make more than an enemy or two along the way.as you battle your way across the heat-blasted mojave wasteland, the colossal hoover dam, and the neon drenched vegas strip, you’ll be introduced to a colorful cast of characters, power-hungry factions, special weapons, mutated creatures and much more. choose sides in the upcoming war or declare “winner takes all” and crown yourself the king of new vegas in this follow-up to the 2008 videogame of the year, fallout 3.enjoy your stay.
key features:

feel the heat in new vegas! not even nuclear fallout could slow the hustle of sin city. explore the vast expanses of the desert wastelands – from the small towns dotting the mojave wasteland to the bright lights of the new vegas strip. see the great southwest as could only be imagined in fallout.
feuding factions, colorful characters and a host of hostiles! a war is brewing between rival factions with consequences that will change the lives of all the inhabitants of new vegas. the choices you make will bring you into contact with countless characters, creatures, allies, and foes, and determine the final explosive outcome of this epic power struggle.
new systems! enjoy new additions to fallout: new vegas such as a companion wheel that streamlines directing your companions, a reputation system that tracks the consequences of your actions, and the aptly titled hardcore mode to separate the meek from the mighty. special melee combat moves have been added to bring new meaning to the phrase “up close and personal”. use v.a.t.s. to pause time in combat, target specific enemy body parts and queue up attacks, or get right to the action using the finely-tuned real-time combat mechanics.
an arsenal of shiny new guns! with double the amount of weapons found in fallout 3, you’ll have more than enough new and exciting ways to deal with the threats of the wasteland and the locals. in addition, vault-tec engineers have devised a new weapons configuration system that lets you tinker with your toys and see the modifications you make in real time.
let it ride! in a huge, open world with unlimited options you can see the sights, choose sides, or go it alone. peacemaker or hard case, house rules, or the wild card - it’s all in how you play the game.

from bethesda softworks ",0,0,0,0,0,0,0,0,0,0
Kingdom Hearts II,"kingdom hearts ii follows sora, donald and goofy on their continuing quest. it has been one year since the events of kingdom hearts. the story begins in twilight town, a quite burg nestled between night and day. sora and friends are joined by a vibrant new cast of characters, including king mickey himself! together, they will encounter countless dangers in worlds both familiar and brand new.
 
this mystery and others will be solved as the story unfolds in a grand adventure. kingdom hearts has sold over 5 million units worldwide and continues to gain popularity with fans of both disney and square enix across the planet.kingdom hearts captured the imagination of gamers young and old by combining classic disney properties and implementing new characters and worlds with square enixâ€™s renowned style. the tale is brought to life by an all-star voice cast. fans will revisit this beloved story and come to care for a new troupe of characters in kingdom hearts ii.


source: square-enix.com  ",0,0,0,1,0,0,0,0,0,0
