Name,Summary,sim,fifa,nfl,pro,league,soccer,nba,football,sports,baseball
FIFA Soccer 12,"

fifa 12 | revolutionary innovations
tactical defending
defending is now as engaging and meaningful as real-world football. all-new tactical defending fundamentally changes the approach to defending by placing equal importance on positioning, intercepting passes and tackling. tactics and timing are crucial.
precision dribbling
enjoy new ways to take on opponents, more time on the ball to make decisions, and complete control of the pace of the game. utilize close dribble touches in tight spaces, on the wings, and even while fending off an opponent.
player impact engine
experience the way real-world footballers challenge each other for the ball, win possession, and test each other physically. players feel more resilient, push and pull during the fight for possession, and there are an infinite variety of natural collisions.
ea.com

 ",0,1,0,0,0,0,0,0,0,0
FIFA 14,"experience the thrill of scoring great goals
build up play through the midfield, unlock the defence... and unleash the perfect strike.
 
source from the back of the box. ",0,0,0,0,0,0,0,0,0,0
FIFA 15, ,0,0,0,0,0,0,0,0,0,0
Madden NFL 2004,"in its 14th year and with over 28 million copies sold, madden nfl football once again proves its status as the undisputed leader in authentic nfl football simulation. with a primary focus on in-game graphics, incredible depth, visual presentation, and tournament tested gameplay, this season madden nfl 2004 continues to demonstrate why it's the definitive interactive sports gaming experience. new features include revolutionary playmaker control that lets gamers adjust on the fly just as nfl players do, deep owner mode options, and improved online play.
 
source - www.electronicarts.co.uk (publisher) ",0,0,4,0,0,0,0,2,1,0
FIFA 13,"fifa 13 captures all the drama and unpredictability of real world football. this year, the game creates a true battle for possession across the entire pitch, and delivers freedom and creativity in the attack.
 
source from the back of the box. ",0,1,0,0,0,0,0,0,0,0
Mario & Sonic at the Olympic Games,"two of the biggest icons in the entertainment industry, mario and sonic, are joining forces to star in mario & sonic at the olympic games. developed for the wii and the nintendo ds, this momentous agreement marks the first time these two renowned stars have appeared together in a game.

 in mario & sonic at the olympic games, players will compete in events that take place in environments based on the official venues of the beijing 2008 olympic games. using a supporting cast of characters from the amazing worlds of both mario and sonic, gamers will be able to compete as or against a range of lovable personalities including mario, sonic, luigi, knuckles, yoshi, tails and more. innovative usage of the wii and ds control systems to maneuver a favorite character will allow players to race the likes of mario and sonic down the 100m track, engage in exhilarating rallies in table tennis and churn water in a swimming heat, all while competing for the much sought after gold medal.

mario and sonic, 2 of the most beloved icons in the world, join forces at the olympic games
play as or against a range of familiar characters including mario, sonic, luigi, knuckles, yoshi, tails, and more
select favorite playing style with 4 player types to choose from--all-around, technical, speed, and power
compete in stylized olympic venues; choose from track and field, archery, skeet shooting, table tennis, gymnastics, and more
single match, circuit, and mission modes; unlockable stages; up to 4 players via wireless connection

nintendo ",0,0,0,0,0,0,0,0,0,0
FIFA Soccer 11,"play on until the final whistle with the 2011 edition of ea's officially-licensed fifa game series. fifa soccer 11 delivers a true soccer experience with authentic club and leagues licenses and gameplay refinements and innovations that combine to create the complete soccer simulation.

fifa 11 reinvents player authenticity -- on and off the ball -- for every player and at every position on the pitch with personality+, an all-new feature that sees individual abilities reflected in game, enabling clear differentiation for every player. with personality+ a footballer's abilities on the pitch is mirrored authentically in game, creating individual personalities. goalkeepers have also been injected with personality+, so whether acrobatic or traditional, will dictate his style in game.

fifa 11 also introduces new pro passing where pass accuracy is determined by a gamer's ability on the control pad, and player skill, situation and urgency on the pitch, yielding a deeply rewarding passing system. plus, a series of new customization tools will enable fans to transform fifa 11 in new and personally meaningful ways. assign customized chants for every team and league and play music tracks from your existing library from within the game. ",0,5,0,1,1,3,0,0,0,0
Tony Hawk's Pro Skater,"  here's your chance to skate like a pro. as tony hawk, or one of nine other pros (including campbell, lasek, muska, thomas, steamer and rowley), skate your way through vert courses full of half-pipes and street courses full of rails and perils. go from warehouses to schools to san francisco to chicago. there's no limit to what you can do on four wheels and a board: you can ride off everything, almost.  master signature pro moves. engage in head-to-head competition. explore fully skateable worlds while you practice and master your moves. show off or admire your expertise over and over again with instant replay mode. and the killer soundtrack featuring papa roach, goldfinger, dead kennedys, primus and more will inspire you to create some signature moves of your own.
 
source - www.activision.com (publisher) ",0,0,0,1,0,0,0,0,0,0
Madden NFL 06,"with the official videogame license of the nfl and its players and in its 16th year of the franchise, madden nfl 06 offers game changing innovation and complete nfl authenticity. with more than 40 million copies sold, madden nfl football continues to be the #1 nfl football franchise.  for the first time in 10 years, the madden nfl football franchise has revolutionised its passing game—giving madden nfl 06 the most groundbreaking and innovative offensive arsenal ever created. the new qb vision control lets you scan the field, look off defenders, and make perfect throws within your quarterback’s unique field of vision. qb precision placement lets you put the ball exactly where you want it. madden nfl 06 brings authentic nfl passing to video games like never before.

all-new qb vision control. look off defenders, find open receivers, and make huge plays within your quarterback's unique field of vision - each qb sees the field differently based on his attributes.
new qb precision placement. high or low, inside or outside shoulder - control each pass by picking a spot and throwing away from defenders.
all-new truck stick control. break tackles and pancake defenders to clear your path to the end zone.
nfl superstar mode. experience the game in a whole new way by creating an nfl prospect and turning him into a superstar on and off the field, complete with an agent, endorsements, and more.
new graphics presentation. new camera angles, improved graphics, and new commentary and cut scenes.

source - www.electronicarts.co.uk (publisher) ",0,0,11,0,0,0,0,3,0,0
Tony Hawk's Pro Skater 2,"ride with the skills of tony hawk, the most recognized skateboarding pro of all time. or, skate as one of 13 pros or create a character from scratch. master signature pro moves and hundreds of new tricks including nose/tailslides, nose/bluntslides, lip tricks, nollies, manuals and more. design your own dream park in real-time 3d, using a variety of ramps, funboxes, rails and more. multiple play modes include 1-player career and free skate modes as well as 2-player modes such as trick attack, graffiti, tag and horse. ride to a killer soundtrack of hip-hop and punk tunes featuring rage against the machine, naughty by nature, papa roach and more.
source - www.activision.com (publisher) ",0,0,0,2,0,0,0,0,0,0
FIFA 15, ,0,0,0,0,0,0,0,0,0,0
Mario & Sonic at the Olympic Winter Games,"choose from your favorite cast of characters, including a few new faces,        and get ready for exciting ice and snow action in vancouver and        whistler, which are hosting the 2010 winter games. warm up those        muscles, get your wii balance board ready, and go for gold on wii and        nintendo ds!
wii balance board compatible; 2-4 collaborative & competitive multiplayer ",0,0,0,0,0,0,0,0,0,0
Madden NFL 2005,"in its 15th year and with close to 37 million copies sold, madden nfl football continues to dominate as the most popular football videogame franchise of all time with a combination of innovative new features and the most authentic football gameplay. madden nfl football is currently displayed in the pro football hall of fame—the only videogame to receive this honor.  in the tradition of ea sports™ innovation, madden nfl 2005 introduces the hit stick. by giving players the ability to turn a game around with a crucial tackle, the hit stick delivers the power to take control of the game from the defensive side of the ball like never before. along with all-new defensive pre-play controls and defensive ai enhancements, the defense now has a diverse arsenal of weapons available. the incredible depth of franchise mode grows with the addition of storyline central.   madden nfl 2005 delivers unprecedented depth and upgrades, with hundreds of new animations, even more franchise mode additions and the ability to create your own nfl super fan in the all-new create-a-fan feature. this is the deepest, most complete and authentic sports videogame ever made, making madden nfl football the ultimate judge for gamers.
electronic arts uk ",0,0,6,1,0,0,0,6,1,0
Madden NFL 07,"control the running game like never before with madden nfl 07. for the first time ever, step up as the lead blocker to create a hole, then take control of the tailback and smash through, overpower, or slash away from would-be tacklers as you ight for every yard. innovative rushing controls give you a game-breaking ground attack featuring all-new jukes, cutbacks, and the distinct running styles of your favorite backs. between the tackles or in the open ield, run to daylight with madden nfl 07.
key features


•
lead block through the lanes for the irst time ever, control the lead blocker on running plays. throw the perfect block to create a running lane, then take control of the tailback and rip off the big gain.


•
nfl superstar: hall of fame mode play your way to the pro football hall of fame by taking complete control of any position on the field. your actions on and off the field determine your impact on the game.


•
run like the players run use the all-new highlight stick to evade defenders with new jukes, cutbacks, and power moves. smaller backs escape and break tackles, while bigger runners bowl over defenders in the open field.


•
new franchise mode additions scout collegiate prospects with the all-new nfl draft scouting system and during the college all-star game, or watch players impact their teams with the new franchise player roles feature.


•
team-specific defensive playbooks for the first time, use actual plays from your favorite team’s defensive playbook to shut down the running game, pressure the quarterback, or force key turnovers.


electronic arts uk ",0,0,4,1,0,0,0,1,0,0
Tony Hawk's Pro Skater 3,"you may not be able to live like the legend, but now you can skate like him! skate as the legendary tony hawk or choose from a dream team of 12 top pro skaters, including old favorites like lasek, thomas, muska, and steamer, as well as new talent like gilfberg, caballero, koston and mullen. or enjoy full customization abilities with the enhanced create-a-skater (now including female skaters) and the skatepark editor. travel from l.a. to tokyo, suburbia to skater's island performing challenges and meeting goals.and check out all the incredible new moves! trick off everything in 8 massive living levels. use the 'revert' to link vert tricks or bust all new flatland tricks like caspers, the primo and handstand manual. if you're good, you can unlock hidden pro footage.           check your skills against up to four friends across town or around the world in all new online play. and while you're having all that fun, trick out to a solid soundtrack featuring songs by red hot chili peppers, xzibit, and alien ant farm.bring it to life.
activision ",0,0,0,2,0,0,0,0,0,0
Winning Eleven: Pro Evolution Soccer 2007,"pes 6 will once again feature the graphical and gameplay tweaks that enable each new title to play completely differently from previous incarnations. the shooting system has been the subject of extensive retouching, now enabling players to pull off much more accurate snap shots as well as being able to exert a much larger feeling of control when going for quick half volleys or difficult full volleys.
the intelligence of players has seen a marked improvement. for example, players now make more realistic runs into space, often pointing where they would like the ball played. the physical aspect has also been beefed up, with strikers using their sheer presence to turn defenders and likewise, the defenders stepping a yard away to enable them to force players away from goal and not letting them spin into dangerous positions.
pes 6 also has a number of new teams licensed for inclusion, with the international roster now featuring the official kits for argentina, the netherlands, italy, spain and sweden. new gameplay modes have been added and features like the much loved master league mode also returns, together with a host of new tricks, feints and animations that can be used to bamboozle your opposition.
 
source - www.konami.com (publisher) ",0,0,0,0,1,0,0,0,0,0
FIFA Soccer 06,"you can experience the excitement of international soccer competition in fifa 06. extensive coaching options give you the opportunity to take control of all of your players on the pitch and determine their formation and strategy. fifa 06 offers game modes ranging from a tournament to individual skill games. you can also play with real players from famous international teams from around the world. multiplayer modes let you challenge other gamers.
 
source: us.playstation.com ",0,2,0,0,0,1,0,0,0,0
FIFA Soccer 12,"

fifa 12 | revolutionary innovations
tactical defending
defending is now as engaging and meaningful as real-world football. all-new tactical defending fundamentally changes the approach to defending by placing equal importance on positioning, intercepting passes and tackling. tactics and timing are crucial.
precision dribbling
enjoy new ways to take on opponents, more time on the ball to make decisions, and complete control of the pace of the game. utilize close dribble touches in tight spaces, on the wings, and even while fending off an opponent.
player impact engine
experience the way real-world footballers challenge each other for the ball, win possession, and test each other physically. players feel more resilient, push and pull during the fight for possession, and there are an infinite variety of natural collisions.
ea.com

 ",0,1,0,0,0,0,0,0,0,0
FIFA 14,"experience the thrill of scoring great goals
build up play through the midfield, unlock the defence... and unleash the perfect strike.
 
source from the back of the box. ",0,0,0,0,0,0,0,0,0,0
Madden NFL 2003,"the long-running champion of the gridiron is running on overdrive -- the 13th year of the sequel brings more features to the table than john madden's curiser tour bus has legroom. with online head-to-head play and stat updates, a grueling mini-camp challenge, snappier commentary in the booth, and proven gameplay taken to yet another echelon, madden nfl 2003 is out to dominate any football gamer's life for a long time to come.• online gaming: features an online lobby area where gamers can meet, greet, chat and play madden head to head, as well as download current player rosters throughout the real nfl season (roster update includes trades, position changes, and injuries). • mini-camp: features john madden’s cruiser tour bus traveling to all nfl cities to complete skilled tasks. take control of players in practice gear and become an expert in all player positions in your ultimate goal to earn unique madden cards. • audio dream team: the monday night football team of john madden and al michaels handles commentary, with dynamic play-by-play and more analysis than ever before. melissa stark will be reporting from the sidelines now. new audio engine delivers appropriate commentary based on current game situation and player/team statistics. greater use of on-field player sounds, including player banter, offensive and defensive audible calls, crushing hits and improved crowd reaction sounds. • improved graphics and presentation: new signature player animations like sidearm qbs, gang-tackling, stand-still receiver catches; new cut scenes with high-poly cheerleaders and additional emotion-based bench scenes; more than 300 realistic player faces; cinematic approach to camera positions gives new, more natural feel. completely redone stadiums and fields provide an exceptionally realistic playing environment. • new game play mechanics: faster game speed; players follow through, making hits on people without the ball; tighter control with quicker animations and reduced player momentum; more finely tuned passing game; independent audibles for defensive line, linebackers, and defensive backs. enhanced ground game with all new spin moves, stiff arm moves, and inside running; all new receiver moves and routes; improved screen plays and quicker play action; more intelligent pass coverage. • create-a-playbook: customize receiver routes, player formations, and your team’s entire playbook. create virtually any play imaginable and play it on the field immediately. • ask madden: legendary coach john madden provides strategy and advice during both offensive and defensive play calling. • ea sports™ rewards: ncaa® football 2003 and nascar thunder™ 2003 consumers will be able to unlock special madden cards within madden nfl 2003.
us.playstation.com ",0,0,4,0,0,0,0,3,0,0
FIFA 07 Soccer,"with the 2006 fifa world cup™ over and the glamour of international football fading fast, players like ronaldinho, rooney and toni have now gone back to their day jobs of winning glory for their club in ea sports™ fifa 07.  from the first whistle, fifa 07 throws you into the rollercoaster ride of a football season and the intense stadium atmosphere of every home and away match.  relish every satisfying victory over bitter rivals and live through every gut-wrenching poor performance at home. savour the spine-tingling stadium atmosphere, home and away, as your team battles their way up the league table. listen as your supporters chant your players’ names and bellow all the rousing club songs through rain and shine.  you have the power to shape your club’s destiny in the ea sports™ interactive leagues [f.a. premier league, bundesliga, french league, mexican 1st division], a new online mode that enables you to pit your club against supporters of your real-world opponents. play your games according to the real-world schedule. when they play, you play. track your team’s progress as the aggregate results determine your club’s position in the league table. now you actually take to the pitch for the glory of your club.  new intelligent ai ensures that your 11 men on the pitch make realistic decisions, finding space and passing like professionals. a complete overhaul of the game engine now means that you have to employ real world tactics, make realistic decisions and think like a player in order to win matches.  take on the updated and improved challenge of the manager mode. player values and wages have been tuned to be even more realistic. managerial decisions have even more tangible effects on player performance and welfare. smarter cpu decisions mean rival managers are even more strategic in their own pursuit of silverware.  this is the season where you make the difference!

electronic arts uk
 ",0,3,0,0,2,0,0,2,0,0
World Soccer Winning Eleven 9,"world soccer winning eleven 9 is the latest version of konami's soccer simulator series. added this year are more clubs from the italian series a, spanish la liga, and dutch eredivisie leagues, as well as a number of other individual clubs. one hundred thirty-six clubs in six different leagues are available for play to get to the various cups featured in the game. incrementally improved graphics and ai are also included. the game is online compatible, so you can play out rivalries across the globe.
 
source: us.playstation.com ",0,0,0,0,0,2,0,0,0,0
Golf,"nintendo golf lets you choose your clubs, change your stance, control your swings - even select the angle of impact! you'll view the hole from both close up and far away, judge the changing conditions of the green, and measure the wind velocity. but watch out! when the wind changes, so does the flight of your ball. with nintendo's state-of-the-art graphics and realistic game play, you'll really believe you're on the fairways. so play nintendo golf, because there's not a video golf game on par with it anywhere! ",0,0,0,0,0,0,0,0,0,0
NBA 2K16,"
be the story
the nba 2k franchise is back with the most true-to-life nba experience to date with nba 2k16. guide your myplayer through the complete nba journey, take control of an entire nba franchise, or hone your skills online competing against gamers from around the world. with animations that provide smoother movement and more realistic articulation, it’s certain to be the most authentic nba gaming experience yet.
source: 2k.com
 ",0,0,0,0,0,0,6,0,0,0
EA Sports Active,"ea sports active tracks your movements on screen to give you real time feedback on your workout. track both upper and lower body movements and experience wii controls in a whole new way with our specially designed leg straps.embark on the 30 day challenge and use the structure as a road map to reach your goals. your trainer will be the focal point of the experience and create a new 20 minute workout for you every day, providing clear instruction, motivation and positive encouragement.ea sports active features a wide variety of activities that target upper body, lower body, as well as cardio. each daily workout will feel different then the last and increase in intensity as you work up a sweat towards your goals. in the custom workout mode, you can cater the length of the workout to the time you have available, which body areas you want to focus on and identify your favorite of the over 20 exercises – and you will see how many calories you are burning in real time.ea sports active gives you the benefit of a personal trainer right into your living room and the promise of a better you.key features

active fitness made fun & easy20 minute circuits feature variety and familiar activities that target upper body, lower body as well as cardio. start off with a run, followed by bicep curls and get your heart beating with some cardio boxing. get fit and have fun in minutes a day!
benefit of a trainer in a boxyour trainer will be the focal point of the experience guiding you towards your own version of personal achievement. feedback will be given throughout your workout, keeping you on track to reach your fitness goals.
30 day challengethe game will track your progress as you embark on a 30 day challenge and tailor 20 minute workouts to your level of fitness. circuits will change as you progress each day, and ea sports active will track calories, intensity and progress throughout your journey.
new way to playslip the nunchuk into the specially designed leg strap and hold the wii remote in your hand to track your movements from both your upper and lower body. a resistance band is also included to increase the intensity of exercises such as bicep curls and shoulder presses.
workout your waycircuits can be customized to your interest and fitness level. choose your duration, intensity level & set your own goals for calories burned and workout score.
wii balance board compatibilityget more out of your ea sports active workout using a wii balance board with added functionality and physical benefits for many of exercises.
 ",0,0,0,0,0,0,0,0,5,0
Tony Hawk's Underground,"you own the underground! get ready for a totally new breed of the tony hawk experience - tony hawk's underground. play as yourself, not a pro skater, and make your way through a plot-twisting, true-to-life story that takes you from unknown local skate punk to fame and fortune as a superstar skater. for the first time ever, you'll be able to get off your board and explore 9 expansive levels on foot or by vehicle. enjoy unprecedented customization by designing and naming your own original tricks through the all-new create-a-trick. or create bigger parks and include your own goals in the expanded skate park editor.          after you're done, share your tricks and parks online with your friends. you can even download your own face into the game! and, with all-new online play - new games, stats, and online rankings - you'll have infinite expansion through downloadable content.
source - www.activision.com (publisher) ",0,0,0,1,0,0,0,0,0,0
Sports Champions,"reign supreme as the ultimate sports champion as you crush, spike and smoke the competition in this ultimate sports showdown. sports champions introduces players to six sports challenges that leverage the playstation move's precise gameplay and 1-to-1 control. so whether you’re tossing a disc toward a target, spiking a ball, or perfecting your serve, sports champions precisely simulates your exact movement, delivering a realistic and ultra-sensory experience. casual gamers will enjoy sports champions' intuitive pick-up and play gameplay, while core gamers will find the game's precision and accuracy challenging as they strive to perfect their athletic techniques and take home the win.  

this minigame collection is designed for use with the playstation motion controller. ",0,0,0,0,0,0,0,0,6,0
World Soccer Winning Eleven 8 International,"winning eleven 8 delivers a wealth of new moves, tricks and more in-depth gameplay. this includes new free kick and penalty kick techniques, an innovative indirect free kick move and a new dribbling system that offers more control as gamers go one-on-one against opposing players. winning eleven 8 will also include an on-screen referee - another first in the series.  further adding to the realism of the game, winning eleven 8 will feature 136 club teams, 57 national teams (including the italian, spanish and dutch leagues under the official license), and control of up to 4,500 of the world's greatest soccer players. players are brought to life through photo realistic graphics and authentically modeled features, as well as individual styles of play, movement and ball control. along with these new features will be more advanced player stats that govern every aspect of their play.
 
source: us.playstation.com ",0,0,0,0,0,1,0,0,0,0
FIFA 17, ,0,0,0,0,0,0,0,0,0,0
FIFA Soccer 2005,"all great players have a great first touch and, thanks to ea sports’ all-new fluid player kinetic system, the same is now true for fifa football 2005 users. this year, a player’s first touch becomes the ultimate gift to those who can think quickly and act fast to outsmart the opposition. a brand new animation system ensures that every button press is directly mirrored on the pitch, accurately reflecting the speed and vision of the world’s greatest players. featuring more official team and league licenses than any other football game (including lower leagues from the most competitive european countries), an enhanced and extended career mode, ea sports online play for the playstation®2, pc-cd and xbox® and the all-new creation zone that lets you customise new tournaments or even put yourself into the game, fifa football 2005 is the only complete, authentic and intelligent football experience.
 
source - www.electronicarts.co.uk (publisher) ",0,2,0,0,1,0,0,4,1,0
Tony Hawk's Pro Skater 4," pros challenge you to make your mark in huge free-roaming levels, taking on 190 progressively harder goals with no time limits to hold you back. decide when you're ready to take on your pro challenge and move into the pro ranks, where it's a whole new game. build your skills, earn respect, and show that you?ve got what it takes to go pro...evolving levels change depending on the your goals and accomplishments. enter a competition and extra ramps or rails appear. toggle different skate elements on and off (quarterpipes, benches, kickers) to change up lines.           all new tricks -- skitch behind cars, skate on moving objects, and transfer over spines. play up to 8 players online in all new modes like goal attack and capture the flag! fourteen of the world's top pros challenge you to prove your skills.
 
source - www.activision.com (publisher) ",0,0,0,2,0,0,0,0,0,0
Pro Evolution Soccer 2008,"the world’s most popular soccer game is back under a new name, pro evolution soccer 2008. formerly winning eleven, pes 2008 builds upon the competitive spirit embodied by its predecessor with some major improvements. pes gamers will discover a more immersive, vivid soccer experience than they’ve ever played! hot-shots will have plenty of new moves to show-up their opponents, or get shown-up so tape those ankles! 



pes2008 hits its best quality on ps2 
your favorite master league has been improved. of course cup mode, league mode and edit mode are also available. 
create your original cup or league competition to organize community mode with your closest friends. 
brazil national team, ac milan, juventus, new castle, portugal national team and more teams with the latest roster data. wide selection of 212teams! 
psp®-playstation 2 link feature: ""psp-ps2 link enables you to resume your game session on the road. sync it after playing on the road, then resume playing on your playstation 2 version"". 
new mode ""world tour mode"" where you can prove you are the most resilient squad on the planet. 


 
http://www.konami.com/konami/ctl3810/cp20110/si3093446/cl1/pro_evolution_soccer_2008
 ",0,0,0,1,3,3,0,0,0,0
