Name,Summary,yabou,gundam,tycoon,armies,command,sd,rts,units,worms,strategy
Halo Wars,"
halo wars™ is a strategy game based on the legendary halo® universe. command armies of unsc units, both familiar and new, in their initial encounter against the covenant, an alien coalition threatening to obliterate mankind. experience an early period of the storied halo universe, in a time leading up to the first halo game.
with the guidance of serina, a spirited a.i. persona, direct legions of unsc soldiers, warthogs and scorpions against covenant grunts, elites, ghosts and scarabs, each group having its own strengths and uses in battle. strategic-minded players who react well under pressure will emerge victorious. 




new take on a legendary world: experience the early battles between the unsc and covenant, in a time predatinghalo. join the crew onboard the spirit of fire, a phoenix-class colony ship converted for unsc military use, and guided by the a.i. persona serina. discover an ancient artifact during a journey to the planet harvest, the first planet to be attacked by the covenant. and then get ready for the wars.
strategic command of armies in large-scale combat: gamers are in command of the battlefield. counter and crush your opponent by tactically fielding the superior army. choose among leaders possessing elite skills that can turn the tide of battle. use various combinations of leaders and units, and create countless strategies tailored to your preferred playing styles.
groundbreaking xbox 360™ strategy game: since inception, halo wars was explicitly designed to bring a typical pc genre to console gamers. commanding armies is easy, controlling troops and units effortless, and epic battles are smoothly handled using an intuitive user interface. halo wars represents the true next-generation experience, combining a masterful control scheme with the award-winning strategic gameplay only ensemble studios can provide.

xbox.com
 ",0,0,0,3,3,0,0,1,0,2
Mario + Rabbids: Kingdom Battle,"team up with mario and the rabbids!
this is the story of an unexpected encounter between mario and the  irreverent rabbids. to bring order back to a splintered mushroom  kingdom, mario, luigi, princess peach, and yoshi team up with rabbids  heroes in a journey through four different worlds.
outwit unpredictable enemies in dynamic turn-based combat and co-op  challenges, and solve puzzles along the way. discover a feel-good and  modern combat adventure designed exclusively for the nintendo switch™  system, playable anywhere, anytime, with anyone.
an epic journey
embark with your team of eight heroes on an epic quest to free your friends and put the mushroom kingdom back in order!  explore four iconic worlds filled with chests and secrets, solve puzzles, and defeat unpredictable enemies on the battlefield.
turn-based combat
mario and his friends will use never-before-seen weapons to engage in  combat with their foes. with an arsenal of hundreds of unique weapons,  players will choose how best to equip each of their eight heroes.  play additional co-op challenges with a friend in local multiplayer, featuring three levels of difficulty.
source: ubisoft.com ",0,0,0,0,0,0,0,0,0,0
Pokemon Stadium 2,hundreds of pokémon in three-mendous 3-d! what's sweeter than victory in a pokémon battle! victory in a 3-d arena on the n64™! set your strategy and stand back while your pokémon battle it out. you can even set the pokémon you've trained--fully rendered in 3-d and ready for battle! ,0,0,0,0,0,0,0,0,0,1
Warcraft III: The Frozen Throne,"many months have passed since archimonde and the burning legion were defeated at the battle of mount hyjal...
the stalwart night elves, led by the arch druid, furion stormrage and the priestess tyrande whisperwind, have vanished back into the shadows of ashenvale forest - intent to heal the ancient lands that were scarred by the legion's vile corruption.
the battle-weary orcish horde, led by the idealistic warchief, thrall, has settled in the harsh, eastern hills of the kalimdor barrens. finally able to claim a homeland of their own, the orcs work tirelessly to found and protect their new nation of durotar.
the human survivors of lordaeron, under the command of the sorceress, jaina proudmoore, have also settled along the eastern coast of the barrens. the island citadel of theramore was erected to safeguard the last, rag-tag remnants of the failing human alliance.
...and arthas, the newly crowned king of lordaeron, has driven the undead scourge to eradicate the last vestiges of resistance to his iron rule. his kingdom - the once proud bastion of human might and nobility - has become a plagued realm of death and sorrow. now, driven by haunting visions of the frozen throne of icecrown, arthas plans to tighten his grip over the rest of the world.
...still, one dark soul still remains at large...
for in some shadowed corner of the world, the wayward creature known as illidan stormrage plots... and awaits...
*from the official blizzard warcraft iii site ",0,0,0,0,1,0,0,0,0,0
Theme Hospital,"
theme hospital allows you to build an environment within a hospital, which will attract patients with comical complaints, illnesses, emergencies, and diseases. the game has a somewhat dark sense of humour, which is similar to that of theme park in many ways. the player has no direct control over the patients that wander the hospital, although game play largely centres on influencing their actions in one way or another.
each level consists of an empty hospital to plan and design, with set goals in the fields of financial attainment, patients cured, percent of patients cured, and hospital value. holding negative funds or allowing sufficient patients to die will bring about losing requirements. when the goals have been met the player has the option to move on to a new, more elaborate hospital with tougher winning conditions and more diseases present.
 ",0,0,0,0,0,0,0,0,0,0
Total War: WARHAMMER,"the old world echoes to the clamour of ceaseless battle. the only constant is war!

a fantasy strategy game of legendary proportions, total war:  warhammer combines an addictive turn-based campaign of epic  empire-building with explosive, colossal, real-time battles, all set in  the vivid and incredible world of warhammer fantasy battles. command  four wholly different races: the empire, the dwarfs, the vampire counts  and the greenskins, each with their own unique characters, battlefield  units and play style. lead your forces to war as one of eight legendary  lords from the warhammer fantasy battles world, arming them with fabled  weapons, armour and deadly battle magic; hard-won in individual quest  chains.
source: https://www.totalwar.com/

 ",0,0,0,0,1,0,0,1,0,1
Sim Theme Park, ,0,0,0,0,0,0,0,0,0,0
Yu-Gi-Oh! The Eternal Duelist Soul,"the yu-gi-oh! phenomenon comes to the game boy® advance! based on the official rules from the trading card game, yu-gi-oh! the immortal duelist soul enables players to duel head-to-head or just trade cards with their friends, while beginners can get up to speed with the duel monsters world with intuitive controls and in-game explanations. includes three exclusive trading card game cards. ",0,0,0,0,0,0,0,0,0,0
Plague Inc: Evolved, ,0,0,0,0,0,0,0,0,0,0
Stellaris,"grand strategy on a galactic scale 
explore a vast galaxy full of wonder! featuring deep strategic gameplay,  a rich and enormously diverse selection of alien races and emergent  storytelling, stellaris has engaging challenging gameplay that rewards  interstellar exploration as you traverse, discover, interact and learn  more about the multitude of species you will encounter during your  travels.
source: https://www.paradoxplaza.com/ ",0,0,0,0,0,0,0,0,0,1
Factorio, ,0,0,0,0,0,0,0,0,0,0
Sid Meier's Civilization V,"with over nine million units sold worldwide, and unprecedented critical acclaim from fans and press around the world, sid meier's civilization is recognized as one of the greatest strategy franchises of all-time. now, firaxis games will take this incredibly fun and addictive strategy game to unprecedented heights by adding new ways to play and win; new tools to manage and expand your civilization; extensive modding capabilities; and intensely competitive multiplayer options. civilization v will come to life in a beautifully detailed, living world that will elevate the gameplay experience to a whole new level making it a must-have for gamers around the globe!
in civilization v, players strive to become ruler of the world by establishing and leading a civilization from the dawn of man into the space age, waging war, conducting diplomacy, discovering new technologies, going head-to-head with some of history’s greatest leaders and building the most powerful empire the world has ever known.
features

believable worldmore than just a strategy game -- the expanded visuals and immersive audio invite would-be kings to take up the reigns of power and forge a mighty empire.  civilization v offers a limitless variety of vast, realistic and diverse landscapes for players to explore, battle over and claim as their own.
inviting presentationan intuitive interface eases both new players and civ veterans into the game. guided by a set of trusted advisors who will explain game functionality and provide counsel for significant decisions, even first-time players will be confident in the choices they make.
huge battlescombat is more exciting and engaging than ever before. wars between empires feel massive with armies spreading across the landscape. the addition of ranged bombardment allows players to fire weapons from behind the front lines, challenging players to develop clever new strategies to guarantee victory on the battlefield. 
live history write your own epic story each time you play! choose one of eighteen historical civilizations to lead from the stone-age to the space age on your quest to build the world’s most powerful empire. 
improved diplomacynegotiate with some of history’s most cunning rulers, each with a well-crafted plan for victory. successful diplomacy will depend on players carefully managing relationships with other leaders, trading items and land, plying them with gold, and deciding if they are friend or foe. city states will present a new diplomatic battleground on which the major powers of the world will vie for supremacy.
in-game community hubcompete with civ players from all over the globe via the internet and play by email, or compete locally in hotseat and lan matches, offering endless ways to rule the world. the game itself now serves as the hub of community activity, featuring the ability to share scenarios, compare scores, brag about achievements and visit one of the thriving civ fansites without leaving the game. it’s now easier than ever for players to become involved in the global civ community. 
modabilitywith unprecedented modding tools, players will have unlimited options for modifying civilization v any way they like. 
 ",0,0,0,1,0,0,0,1,0,3
Planetary Annihilation, ,0,0,0,0,0,0,0,0,0,0
Plants vs. Zombies,"an all-new action-strategy game from popcap, makers of bejeweled and peggle!
zombies are invading your home, and the only defense is your arsenal of plants! armed with an alien nursery-worth of zombie-zapping plants like peashooters and cherry bombs, you'll need to think fast and plant faster to stop dozens of types of zombies dead in their tracks. obstacles like a setting sun, creeping fog and a swimming pool add to the challenge, and with five game modes to dig into, the fun never dies!

play five game modes: adventure, mini-games, puzzle, survival, plus the stress-free zen garden
conquer all 50 levels of adventure mode — through day, night, and fog, in a swimming pool and on the rooftop
battle 26 types of zombies including pole-vaulters, snorkelers and “zomboni” drivers
earn 49 powerful perennials and collect coins to buy a pet snail, power-ups and more!
open the almanac to see all the plants and zombies, plus amusing “facts” and quotes
browse crazy dave’s shop for special plants and tools to stem any zombie assault
amazing graphics and soundtrack, plus a bonus music video
infinite replayability: the game is never the same experience twice!
unlock all the steam achievements

 
system requirements

os: windows 2000/xp/vista


 processor: 1.2ghz processor


 memory: 512+mb of ram


 graphics: 128mb of video memory, 16-bit or 32-bit color quality


 directx: 8 or later


 hard drive: 65+mb of free hard drive space



sound: directx-compatible sound





source: steam website ",0,0,0,0,0,0,0,0,0,0
Yu-Gi-Oh! Duel Monsters,"yu-gi-oh! duel monsters is a card battle game, developed by konami computer entertainment shinjuku and published by konami,  which was released in japan in 1998. ",0,0,0,0,0,0,0,0,0,0
Pikmin,"my name is captain olimar.i've crash-landed on a strange planet. my ship is in pieces - my only hope for survival lies with odd creatures i call pikmin...pikmin fight fiercely, and in great numbers they can vanquish the monstrous predators of this planet. after battles, they tote fallen enemies back to their nests to be transformed into more pikmin!perhaps it is because i have plucked each of them from the earth, but these pikmin seem to obey my every command. up to 100 follow me at a time!i have only 30 days before my life-support system fails me and i succumb to this toxic oxygen. fortunately, the pikmin are tireless in their efforts to help.*nintendo - back of box ",0,0,0,0,0,0,0,0,0,0
Command & Conquer: Tiberian Sun,"command & conquer: tiberian sun, developed by westwood studios, is the rts sequel to the acclaimed command & conquer: tiberian dawn for the pc. originally released in 1999, the game takes place in the year 2030, 30 years after the end of tiberian dawn. the game continues to conflict between the brotherhood of nod and the global defense initiative as the second tiberian war unfolds.
  ",0,0,0,0,2,0,1,0,0,0
ShellShock Live,"shellshock live is a strategic online multiplayer artillery game currently in active development by kchamp games.
fight alongside your friends (or blow them up... we won't judge!)
take part in action-packed 8-player team and free-for all battles. tactical gameplay is essential to victory, while numerous distinct tanks, weapons, items, maps, and play styles make every match unique.
way too many weapons
it's a bit ridiculous. unlock, upgrade, and master over 200 unique power-packed weapons, from the intimidating 'seagull' to the ever-powerful 'mega-nuke'. the best part is that we're building and adding more daily.
loads of modes
armored carnage must get old after a while, right? wrong. unique game modes keep things fresh and give you the opportunity to demolish tanks in a multitude of ways.
become the best there ever was
earn xp to level up and become king of the battlefield. play through 100 unique ranks, each with their own rewards and unlocks. global leaderboards and rankings keep things spicy.
upgrade everything
and when we say everything, we mean everything. upgrade your tank. upgrade your skills. upgrade your items. upgrade your arsenal. all 200+ of the game's weapons can be upgraded to more powerful versions.
nature doesn't stand a chance
fully destructible terrain creates a dynamically changing battlefield. earthquakes and other natural disasters keep you on your toes (just like in real life!)
(very) active developmentwe've been cranking out shellshock live updates with new features and awesome community suggestions almost daily. check out the announcements section for full release notes, or join the community on the forums.
non-evil developersin-game content is earned by playing, not paying. no microtransactions, no premium version, no bull. once you own the game, you own everything.
source: steam ",0,0,0,0,0,0,0,0,0,0
Stronghold,"firefly studios' stronghold is the culmination of our long-standing desire to create the ultimate castle building game. it is a unique cross between a city builder and a real time strategy game. the key to the game is the castle; designing it, managing it and defending it. each of these elements has its place in stronghold and you will need to consider all of them to become an expert player.

fireflyworlds.com ",0,0,0,0,0,0,0,0,0,1
LEGO Battles: Ninjago,"long before time had a name, ninjago was created by the first spinjitzu  master by using the 4 golden weapons of spinjitzu; the scythe of quakes,  the nunchucks of lightning, the shurikans of ice and the sword of fire –  weapons so powerful, no one can handle all of their power at once.when  the spinjitzu master passed away, his two sons, sensei wu and lord  garmadon, swore to protect the golden weapons but lord garmadon was  consumed with darkness and wanted to possess them. a fierce battle broke  out and at last, lord garmadon was struck down and banished to the  underworld. peace returned but knowing lord garmadon’s hunger for power,  the weapons were hidden in secret places.the fate of ninjago now lies in your hands and you must choose which brother you want to help.build  your own army of heroes, battle the enemies and become a master of  spinjitzu as you recover powerful ninja weapons and restore the balance  between good and evil! enjoy fun adventures and exciting missions as you  travel the land of ninjago to find the golden weapons before the evil  lord garmadon. or play as the bad guys and join lord garmadon’s  evil skeleton army, where you’ll face-off against the masters of  spinjitzu and help lord garmadon regain his strength and become more  powerful than ever before.
 
source: official site ",0,0,0,0,0,0,0,0,0,0
Anno 2070,"building upon the other titles in the award-winning anno series, anno 2070 offers a host of new challenges. it is the year 2070, and everything has changed. rising oceans and climate change have warped the landscape and created large expanses of inhospitable land. hone your resource management, diplomacy and trading skills in this city-building strategy game as you participate in the anno series’ deepest economic system yet. colonize islands and design massive, sprawling cities to house your own futuristic society. the choices you make define the world you create, making you the ultimate architect of your society’s future.
source: ubisoft store. ",0,0,0,0,0,0,0,0,0,1
Pocket Monsters Stadium, ,0,0,0,0,0,0,0,0,0,0
Age of Mythology,"age of mythology transports players to a time when heroes did battle with monsters of legend and the gods intervened in the affairs of mortal men. in age of mythology, players wage war using human armies and diplomacy, progress through development ages, enhance military and economic performance with improvements, and manage economics through resource gathering and trade. mythology enters the mix when players call upon the gods to act on their behalf or reinforce their armies with more than 20 mythological creatures.
source: http://www.microsoft.com/games/pc/ageofmythology.aspx#overview ",0,0,0,2,0,0,0,0,0,0
Hearts of Iron IV,"steer your nation through the greatest conflict in human history 
victory is at your fingertips! your ability to lead your nation is your  supreme weapon, the strategy game hearts of iron iv lets you take  command of any nation in world war ii; the most engaging conflict in  world history. you hold the power to tip the very balance of  wwii. it is time to show your ability as the greatest military leader in  the world. will you relive or change history? will you change the fate  of the world by achieving victory at all costs?

source: https://www.paradoxplaza.com/hearts-of-iron-iv/ ",0,0,0,0,1,0,0,0,0,1
Command & Conquer: Red Alert 2,"wielding strange new technologies and hungering for revenge, the soviet army invades america. overwhelmed allied forces, unprepared for the surprise attack, are decimated. will freedom be crushed under the heels of communist aggression? red alert 2 is the next in the command and conquer series of real-time strategy game. play as either allied or soviet forces and command armies composed of various specialized units. ",0,0,0,1,2,0,0,0,0,1
LEGO Battles,"based on three classic lego play -- lego castle, lego pirates and lego space -- lego battles creates a unique extension of the lego build-and-play experience that stays true to the customization and humor that are the foundation of lego videogames. 

lego battles offers a new kind of ""build and battle"" lego gameplay. through six distinct story lines, players build their own lego bases and battle teams as they engage in over 70 different levels, mixing and matching units to create the ultimate customized lego squad. these unique lego battles teams see pirate swordsmen fighting side-by-side with wizards and aliens; dragons battling ninjas; and pirate ships launching broadsides against spacecraft and knights! players can also challenge friends on the battlefield in multiplayer mode through wireless ds multi-card play. ",0,0,0,0,0,0,0,1,0,0
Pikmin 3,"the third installment of the pikmin franchise was announced to be in development at e3 2008. no further information has been leaked about this game but the gameplay will be similar to the other games in the series.
 
 
written by yeswiican ",0,0,0,0,0,0,0,0,0,0
RollerCoaster Tycoon 2,"build the theme park of your dreams.
   now you can create everything you miss in real parks, combine fantasy with demand and defy the laws of physics. succes has to be eraned and you only have the means to make new investments when your guests scream for joy.

bigger parks, higher roller coasters and more attractions: rollercoaster tycoon 2 now offers almost unlimited possibilities.
countless theme worlds such as pirate land, wild west and water world and many others are at your disposal
new design tools even make it possible to create your own themes, such as world champion soccer land or grand prix racing world
new roller coasters, such as 'giga coaster', 'spinning wild mouse' and 'inverted impulse coaster'.
20 new exciting scenarios for hours of fun.

<back of the box> ",0,0,1,0,0,0,0,0,0,0
Spore,"spore is your own personal universe. you can create and evolve life, establish tribes, build civilisations, sculpt worlds, and explore the cosmos.  spore is made up of five games, each corresponding to a stage of evolution: cell, creature, tribe, civilisation, and space. each stage presents different challenges and goals.
create your universe from microscopic to macrocosmic - from tide pool amoebas to thriving civilisations to intergalactic starships, everything is in your hands.
evolve your creature through five phases - it’s survival of the funnest as your choices reverberate through generations and ultimately decide the fate of your civilisation.
explore other players’ galaxies - will your creature rule the universe, or will your beloved planet be blasted to smithereens by a superior alien race?
share with the world - everything you make is shared with other players and vice versa, providing tons of cool creatures to meet and cool places to visit.
source:ea ",0,0,0,0,0,0,0,0,0,0
Total War: Rome II, ,0,0,0,0,0,0,0,0,0,0
Slay the Spire,"we fused card games and roguelikes together to make the best single player deckbuilder we could. craft a unique deck, encounter bizarre creatures, discover relics of immense power, and slay the spire!
features

three core characters that each have their own unique set of cards. (with more planned)
200+ fully implemented cards.
50+ unique combat encounters.
100+ different items to be found.
procedurally generated levels.
tons of unlockables.

source: mega crit games (developer+publisher) ",0,0,0,0,0,0,0,0,0,0
Pikmin 2,"return to the planet of the pikmin!
after crash-landing on an alien world inhabited by tiny pikmin, captain olimar has returned to his home world to find out that his employer, hocotate freight, has been driven to the brink of bankruptcy! now, olimar must return to the pikmin planet with his trusty assistant, louie, to find valuable treasures in a desperate bid to pay back their company's massive debt!

bring back the booty at your own pace! delve deep underground into enemy-infested caverns and collect hundreds of priceless alien artifacts - this time, with an unlimited number of days to explore!
new colors, new powers! burly purple pikmin and poisonous white pikmin make your treasure-seeking, predator-pummeling squad even more dangerous!
two for one! split command of your pikmin forces using louie, olimar's ever-hungry sidekick, and use strategy to defeat your foes!
clash with your friends! pit your pikmin squad against a friend in furious two-player vs. battles, or join forces and play cooperatively to take on challenge arenas!

*nintendo - back of box ",0,0,0,0,1,0,0,0,0,1
Plants vs. Zombies,"get ready to soil your plants! 
a mob of fun-loving zombies is about to invade your home, and your  only defense is an arsenal of zombie-zapping plants. use peashooters,  wall-nuts, cherry bombs and more to mulchify zombies before they reach  your front door. the fun never dies!
(popcap.com) ",0,0,0,0,0,0,0,0,0,0
Orcs Must Die!,"slice them, burn them, skewer them, and launch them - no matter how  you get it done, orcs must die in this fantasy action-strategy game from  robot entertainment.
as a powerful war mage with dozens of deadly weapons, spells,  and traps at your fingertips, defend twenty-four fortresses from a  rampaging mob of beastly enemies, including ogres, hellbats, and of  course, a whole bunch of ugly orcs. battle your enemies through a  story-based campaign across multiple difficulty levels, including brutal  nightmare mode!
will you roast orcs in pits of lava, pound them flat with a  ceiling trap, or freeze and shatter them with a slash? no matter the  weapons and traps you choose, you’re sure to have an orc-killing blast!
key features

24 fortresses to defend – twisting passages, tall towers, and wide-open chambers all need a war mage to protect them
6 orc-killing weapons and spells – from crossbow and bladestaff to the magical power of the elements
19 deadly traps and fierce minions – choose  from a wide variety of traps including arrow walls, spike traps,  spinning blades, and flaming brimstone or call in allies to assist you  in the destruction of the orc horde
11 unique enemies – including ogres, flying hellbats, and of course, a whole bunch of ugly orcs
story-based campaign – fend off orcs across three acts to discover the mysterious power behind their relentless assaults
persistent upgrades – unlock improved traps as you progress through the campaign
extensive replayability – “nightmare mode” and a skull ranking system provide extended play
scoring system and leaderboard – compete with your friends for the title of best orc killer!

 
source: steam ",0,0,0,0,0,0,0,0,0,0
StarCraft II: Heart of the Swarm,"welcome to the hive mind
you are sarah kerrigan, former queen of blades.  once the most feared  entity in the galaxy, you now wait in a cell in the depths of a  high-security research laboratory.  before the murderous forces of the  terran dominion close in, you must plot your escape to the dark reaches  of space… and reclaim your living empire at the heart of the swarm.
source: blizzard ",0,0,0,0,0,0,0,0,0,0
Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories, ,0,0,0,0,0,0,0,0,0,0
Worms Armageddon,"those lovable, but destructive creatures are back! featuring new weapons, stages and game modes, worms will certainly give you bang for your buck! ",0,0,0,0,0,0,0,0,1,0
Supreme Commander 2,"
set 25 years after the events of the original game, supreme commander® 2 begins with the assassination of the newly elected president of the colonial defense coalition. the cdc members—the united earth federation, the order of the illuminate, and the cybran nation—deny involvement, blame each other, and a galactic war ensues!




huge battles: experience brutal battles on a massive scale! wage war by creating enormous customizable armies and experimental war machines that can change the balance of power at any given moment.
multiple roles: take the role of one of the three enigmatic commanders, each representing a unique faction with a rich story that brings a new level of emotional connection to the real-time strategy genre, or fight the battle online. where do your loyalties lie?


 (xbox.com)
 ",0,0,0,1,0,0,0,0,0,1
Empire Earth,"-summary and screenshots taken from gamespot

empire earth is a real-time strategy game that spans about a half a million years of human history, the last 200 of which take place 200 years from now. so if you're the type who appreciates ambitious game designs, then you've found one in stainless steel studios' first game, which was conceived by the designer of the original age of empires. 

actually, empire earth has a great deal in common with ensemble studios' highly successful age of empires series. even the games' graphics look similar, though empire earth uses a fully 3d engine, unlike age of empires. similarities aside, empire earth is a huge game to say the least--it's much more time-consuming and involved than the typical real-time strategy game, and its staggering variety of units is as impressive as it is intimidating. 

real-time strategy is sometimes criticized for favoring shallow, action-oriented gameplay rather than strategic depth--but that's definitely not the case here. in fact, empire earth is best reserved for hard-core real-time strategy players who won't mind the game's less-than-stellar graphics and sound but will instead relish the ability to relive 14 different epochs of human warfare.  ",0,0,0,0,0,0,0,1,0,4
StarCraft II: Legacy of the Void,"reclaim your homeworldyou are hierarch artanis, leader of the mighty protoss race. years ago, your homeworld of aiur fell to the merciless zerg swarm. now, at long last, you have raised a powerful fleet of warships known as the golden armada, and are poised to reclaim your world. but an ancient evil—amon—threatens this destiny and the fate of the entire galaxy. only you can reunite the protoss factions and defeat the coming darkness before it consumes all life in the sector.
source: http://eu.battle.net/ ",0,0,0,0,0,0,0,0,0,0
Zoo Tycoon DS,"zoo tycoon ds is the nintendo ds version of the popular business simulation game, zoo tycoon. the graphics and gameplay are somewhat similar to the first zoo tycoon game, except for the fact that the terrain types do not blend with each other like they do in the pc and mac versions.
the objects and animals available in the game are also that of the first zoo tycoon game, yet it only contains the original animals, because of the inability to download bonus content or upload animals onto a ds. other features, such as building exhibits as big as you want have also been removed due to the game being handheld.
the game has two playing options, either tutorial/scenario or freeform. tutorial/scenario mode takes the player through many short games, each with a set goal. the goals start off by teaching the basics; how to place items, purchase animals, and other needed knowledge of the game. they then progress to goals that have a set time limit and most require a certain happiness from the animals, a certain number of exhibits, etc. freeform lets players create a zoo free of time restrictions and goals. ",0,0,3,0,0,0,0,0,0,0
Fire Emblem,"
 
fire emblem: blazing sword (released as fire emblem in the us and europe) is the first fire emblem game released outside of japan. it is the seventh game in the series, and is the prequel to fire emblem: sword of seals.
fire emblem is a turn-based strategy rpg in a western medieval setting, where you use swords, axes, lances, bows, and magic  tomes to launch attacks. one distinctive feature of this series is that once a character dies, they are gone unless you restart a chapter, or start a new play-through.
this game is split into 2 parts. the first is lyn's story, where you follow lyn, a sacaen sword-fighter, as she travels through the land trying to save her grandfather. this part acts as a tutorial for the game and introduces the player to all the game-play elements.
the second part has two stories you can choose from. the first is eliwood's, the marquess of pherae's son, and the second is hector's, marquess ostia's younger brother and good friend of eliwood. both stories follow the same overall story, in trying to stop nergal, but take small sidepaths from one another along the way.
contributorsnordlead ",0,0,0,0,0,0,0,0,0,1
