Name,Summary,campaign,war,sniper,fps,soldier,weapons,enemy,person,duty,shooter
Call of Duty: Black Ops,"hear the call of duty once again with this seventh entry in this blockbuster first-person shooter franchise. call of duty: black ops takes you deep behind enemy lines into the world of deniable operations as a member of an elite special forces unit engaging in covert warfare, classified operations, and explosive conflicts across the globe. with access to a variety of exclusive weaponry and equipment, your actions will tip the balance during the most dangerous time period mankind has ever known. ",0,0,0,0,0,0,1,0,1,1
Call of Duty: Modern Warfare 2,"on november 10, 2009, infinity ward's modern warfare 2 will strike worldwide. the most-anticipated game of the year and the sequel to the best-selling first-person action game of all time, modern warfare 2 continues the gripping and heart-racing action as players face off against a new threat dedicated to bringing the world to the brink of collapse.
 game features:

epic single-player campaign picks up immediately following the thrilling events from call of duty 4: modern warfare.
the definitive multiplayer experience returns, with a host of new perks and enhancements.
new cooperative specops mode, the perfect combination of modern warfare's single-player intensity and the addictive replayability of its multiplayer.

from infinity ward.com ",1,0,0,0,0,0,0,0,1,0
Call of Duty: Ghosts,"

outnumbered, outgunned, but not outmatched.

we are all we've got. this  new chapter in the call of duty® franchise features a fresh dynamic,  where players are on the side of a crippled nation, fighting not for  freedom, or liberty, but simply to survive. special operations forces, a  mysterious group known only as ""ghosts"", lead the battle against a  newly-emerged, technologically-superior, global power.
the franchise that has defined a generation of gaming is set to raise  the bar once again with the all-new call of duty®: ghosts. published by  activision and developed by infinity ward, the studio that created the  original call of duty® and the critically-acclaimed call of duty®:  modern warfare® series, call of duty®: ghosts® ushers in the next  generation of the franchise, delivering a riveting all-new gameplay  experience built on an entirely new story, setting and cast, all powered  by a new next-generation call of duty® engine.

multiplayer - in call of duty®: ghosts multiplayer,  customize your soldier and squad for the first time. level environments  are more realistic and immersive than ever before.


campaign - outnumbered, outgunned, but not  outmatched. this new chapter in the call of duty® franchise features a  fresh dynamic, where players are on the side of a crippled nation,  fighting not for freedom, or liberty, but simply to survive. special  operations forces, a mysterious group known only as ""ghosts"", lead the  battle against a newly-emerged, technologically-superior, global power.


extinction - extinction is a completely new  4-player, co-op game mode featuring a unique blend of fast-paced  survival gameplay, base defense, player customization and class leveling  rounding out this robust new call of duty®: ghosts game mode. teamwork  is critical. your team faces an inhuman menace that has overrun an  isolated colorado town and you must eliminate the threat via any means  necessary.


dlc - season pass. get ready for a full season of  amazing content with the call of duty®: ghosts season pass. with the  season pass you’ll get 4 epic downloadable content packs: onslaught,  devastation, invasion, and nemesis – providing brand new multiplayer  maps, bonus weapons, and a unique 4-part episodic extinction experience  for one great low price.

source: activision.com ",1,0,0,0,1,0,0,0,0,0
Call of Duty: Ghosts,"

outnumbered, outgunned, but not outmatched.

we are all we've got. this  new chapter in the call of duty® franchise features a fresh dynamic,  where players are on the side of a crippled nation, fighting not for  freedom, or liberty, but simply to survive. special operations forces, a  mysterious group known only as ""ghosts"", lead the battle against a  newly-emerged, technologically-superior, global power.
the franchise that has defined a generation of gaming is set to raise  the bar once again with the all-new call of duty®: ghosts. published by  activision and developed by infinity ward, the studio that created the  original call of duty® and the critically-acclaimed call of duty®:  modern warfare® series, call of duty®: ghosts® ushers in the next  generation of the franchise, delivering a riveting all-new gameplay  experience built on an entirely new story, setting and cast, all powered  by a new next-generation call of duty® engine.

multiplayer - in call of duty®: ghosts multiplayer,  customize your soldier and squad for the first time. level environments  are more realistic and immersive than ever before.


campaign - outnumbered, outgunned, but not  outmatched. this new chapter in the call of duty® franchise features a  fresh dynamic, where players are on the side of a crippled nation,  fighting not for freedom, or liberty, but simply to survive. special  operations forces, a mysterious group known only as ""ghosts"", lead the  battle against a newly-emerged, technologically-superior, global power.


extinction - extinction is a completely new  4-player, co-op game mode featuring a unique blend of fast-paced  survival gameplay, base defense, player customization and class leveling  rounding out this robust new call of duty®: ghosts game mode. teamwork  is critical. your team faces an inhuman menace that has overrun an  isolated colorado town and you must eliminate the threat via any means  necessary.


dlc - season pass. get ready for a full season of  amazing content with the call of duty®: ghosts season pass. with the  season pass you’ll get 4 epic downloadable content packs: onslaught,  devastation, invasion, and nemesis – providing brand new multiplayer  maps, bonus weapons, and a unique 4-part episodic extinction experience  for one great low price.

source: activision.com ",1,0,0,0,1,0,0,0,0,0
Halo: Reach,"
halo: reach,  developed exclusively for xbox 360 by acclaimed developer bungie, is  the blockbuster prequel to the best-selling xbox franchise of all time.  it represents the culmination of bungie’s 10 years of experience  crafting groundbreaking halo games that have raised expectations for what can be achieved in a video game.
experience the fateful moments that forged the halo legend. this is the story of noble team, a squad of heroic spartan  soldiers, and their final stand on planet reach, humanity’s last line of  defense between the terrifying covenant and earth. this darker story is  echoed by grittier visuals amid a backdrop of massive, awe-inspiring  environments. characters, enemies, and environments are rendered in  amazing detail by an all-new engine designed to deliver epic-scale  encounters against the cunning and ruthless covenant.
once the  campaign is over, the battle continues online with an unparalleled  multiplayer experience expanding on the award-winning suite of features  that helped define the xbox live experience.
the halo: reach multiplayer beta, on track to be the largest beta program of its kind  on any console, is expected to see millions of participants when it  begins may 3. players can access the multiplayer beta on xbox live  through the halo 3: odst disc.




meet noble team: for the first time, players fight alongside a squad of iconic spartan  soldiers, each with deadly talents as unique as their individual  personalities and customized gear.
an intense campaign: live the events that set the stage for the halo trilogy as the unsc and covenant clash at the height of their military  power. new weapons and abilities complement the familiar halo arsenal for the largest-scale battles ever witnessed in the halo universe. fiercely cunning artificial intelligence adds depth and  complexity to each encounter, helping make every playthrough a unique  and epic experience.
stunning technical advancements: halo: reach takes a massive leap forward through all-new engine technology designed  to take full advantage of next-generation graphics, audio, special  effects, a.i., and animation while continuing to expand on the campaign,  cooperative, and multiplayer sandbox in a way that only halo can.
the definitive multiplayer experience: halo: reach builds on the success of its predecessors, setting a new standard for  competitive gameplay, customization, variety and community integration.
unparalleled feature suite: halo: reach expands on the industry-leading suite of features found in halo 3,  including four-player cooperative campaign play, splitscreen support,  saved films, screenshots, and exciting new surprises that have yet to be  revealed.



xbox.com ",2,0,0,0,0,1,0,0,0,0
Portal,"portal consists of a series of puzzles which must be solved by teleporting the player's character and other simple objects using the aperture science handheld portal device (better known as the ""portal gun""). the goal of each puzzle is to reach an exit point. the ""portal gun"" and the unusual physics it creates are the emphasis of this game. only two portal ends, one of each color, can be created at any time, and they create a visual and physical connection between two different locations in 3d space.
portal is the spiritual successor to the game narbacular drop, a independent game released by students of the digipen institute of technology in 2005; the original narbacular drop team is now employed at valve. ",0,0,0,0,0,0,0,0,0,0
Halo 4,"wake up john.
halo 4 is the next blockbuster installment in the iconic franchise that's shaped entertainment history and defined a decade of gaming. set in the aftermath of halo 3, master chief returns to confront his own destiny and face an ancient evil that threatens the fate of the entire universe. halo 4 marks the start of a new trilogy that begins with its release in 2012. ",0,0,0,0,0,0,0,0,0,0
Call of Duty 4: Modern Warfare,"call of duty 4: modern warfare is a first-person shooter developed by infinity ward and published by activision for xbox 360 , playstation 3 and pc. it is the fourth installment in the call of duty video game series (excluding expansions), the first not to be set during world war ii. it was announced on april 25, 2007. it was released on november 6, 2007 in north america, on november 7, 2007 in australia, and on november 9, 2007 in europe. the game also became available on steam on november 6, 2007 for pre-purchase and is available to play as of november 12, 2007.call of duty 4: modern warfare introduces a variety of game play styles into the single player campaign completely new to the call of duty series. the game moves away from the standard three country-specific campaign style, and allows the plot to play through more like a film style plot with interlaced story lines from the perspective of the player as paul jackson, a member of the united states marine corps 1st force recon and ""soap"" mactavish, a member of the british 22nd sas regiment. there is also a variety of cameo-style missions where you play as various other soldiers such as an ac-130 spectre gunship gunner, or as one part of a two-man sniper team behind enemy lines in a flashback-style mission.call of duty 4: modern warfare focuses on the variation of modern warfare as an infantry soldier by allowing the player to control soldiers in a vast number of different scenarios, straying away from the constant straightforward action of previous call of duty titles and allowing for both heavy intensity fire fights and slower paced drama styled intensity. the series' move to modern warfare has also introduced a variety of new modern weapons and technology to be introduced to the call of duty franchise. such showcased weapons and attachments include m203 grenade launchers, and the an/peq-2 target pointer for use in conjunction with night vision goggles, mp5sd submachine guns, the m4a1 grenadier, and the fgm-148 javelin portable anti-tank guided missile among many others. ",2,1,1,0,1,2,1,0,7,1
Call of Duty: Black Ops IIII,"""forget what you know.""
black ops is back! featuring gritty, grounded, fluid multiplayer combat,  the biggest zombies offering ever with three full undead adventures at  launch, and blackout, where the universe of black ops comes to life in  one massive battle royale experience featuring the largest map in call  of duty history, signature black ops combat, characters, locations and  weapons from the entire black ops series. soldier up for all-out combat –  tailor made for the black ops community.
source: activision ",0,0,0,0,1,1,0,0,1,0
Half-Life 2,"half-life 2 is an immersive first person shooter from the developers at valve software, the creators of the original half-life. building off of the riveting storyline and gameplay of the debut title, half-life 2 pushes the envelope even further and has once again ""raised the bar"" of the fps genre. using valve's own built-from-the-ground-up ""source"" engine, half-life 2 offers interactive physical environments, intense realism and impressive graphics, all bundled together with a masterfully-crafted storyline.

players once again assume the role of scientist gordon freeman, but this time gordon finds himself in a post-apocalyptic environmentâ€”apparently a result of the black mesa incident. with earth's human population oppressively held in prison-like urban centers, its natural landscape ravaged by the effects of xen infestations and a whole new enemy that has viciously annexed the human race into its ranks, the future of mankind seems bleak at best. looks like it's once again up to gordon to save the day!  ",0,0,0,1,0,0,1,1,0,1
Call of Duty: Infinite Warfare,"infinite warfare delivers three unique game modes: campaign returns to the gritty, large-scale war roots of the franchise, while boldly looking ahead. multiplayer delivers the future of warfare, with many new gameplay innovations. and the cooperative zombies mode takes players on a wild ride through a new storyline with unique gameplay features and mechanics.
official website. ",1,1,0,0,0,0,0,0,0,0
Splatoon 2,"the squid kids called inklings are back to splat more ink and claim more turf in this colorful and chaotic 4-on-4 action shooter.
for the first time, take turf war battles on-the-go with the nintendo switch™ system, and use any of the console's portable play styles for intense local multiplayer* action. even team up for new 4-player co-op fun in salmon run!
 
two years have passed since the original splatoon™ game was released, and two years have also passed in inkopolis! so expect a fresh wave of fashion, not to mention new weapons and gear. dual wield the new splat dualies or stick to mainstays like chargers and rollers, which have been remixed with new strategic possibilities. as always, turf war is the favored sport among inklings, but they also dig ranked battles, taking down octarians in a robust single-player campaign, and battling enemy salmonids in one dangerous part-time job! no matter which way you play, splat at home or on-the-go with nintendo switch. staying fresh never felt so good.
 
turf war - team up in fierce 4-on-4 multiplayer battles* to see which team can cover the most turf with ink
salmon run – 2-4 players* can team up for co-op fun and defeat waves of enemy salmonids.
new weapons – dual wield the new splat dualies and avoid getting splatted with the new dodge roll move. mainstays like the splat roller and splat charger have been remixed to include new gameplay mechanics, and all special weapons are brand-new.
local and online multiplayer - in a first for the series, compete in local multiplayer turf war battles*, whether in tv mode or on-the-go in handheld or tabletop modes. online battles also make a return**
new ways to play – play with the joy-con™ controllers or the nintendo switch™ pro controller (sold separately), both of which support motion controls for better aiming
fresh updates - similar to the splatoon™ game for the wii u™ console, updates will roll out post-launch, adding new content and in-game events.
smart device support** - an upcoming smart-device application for the nintendo switch system will allow players to set play appointments with friends and teammates, as well as voice chat with friends during play sessions.
lan play - up to 10 docked systems – eight players and two spectators – can connect via wired lan (additional accessories required; sold separately). this feature allows players to create local private battle tournaments without the need for an internet connection. local wireless play is perfect for your regular gaming get-togethers, but lan play is where it's at when you want to organize a serious tournament.
customize – change your inkling's style with different weapons, headgear, clothes, and shoes. gear isn't just aesthetic; it offers different boosts in battles.
amiibo - compatible with all splatoon™ series amiibo™ figures. by tapping these amiibo, the figure's character will appear in the game and befriend players. befriend an amiibo character and they will remember favorited weapons, gear, outfits and option settings.
source: nintendo ",0,4,0,0,0,3,2,0,0,0
GoldenEye 007,"good evening 007.
showing the world what the nintendo 64 is capable of, goldeneye is a first person shooter that sets a benchmark for console-based shooters everywhere. taking its cue from the pierce brosnan movie of the same name which features the eponymous hero james bond of the british secret service, goldeneye features 20 levels full of action and espionage.
starting off with the dam that opens goldeneye so memorably, and ending on the antenna station that houses the movie's explosive end, goldeneye strives for realism and is a lavish recreation of the events in the film. with an amazing arsenal of weapons at your disposal, plus the customary bond gadgets, you will never feel more like the world's most famous secret agent than you do here.
with lifelike representations of every major character from the film (from bond to natalya) and stunning graphics, sound and gameplay, goldeneye would be a great game by any measure. but with arguably the best local multiplayer ever to grace a console, the experience can only get better when you bring a few friends round.
this is a game that deserves to be played again and again.
 
(submitted by colonelstubbs) ",0,0,0,0,0,1,0,1,0,1
Star Wars Battlefront (2015),"immerse yourself in your star wars™ battle fantasies.
feeling the ominous thud of an at-at stomping down on the frozen  tundra of hoth. rebel forces firing blasters as imperial speeder bikes  zip through the lush forests of endor. intense dogfights between  squadrons of x-wings and tie fighters filling the skies. immerse  yourself in the epic star wars battles you’ve always dreamed of and create new heroic moments of your own in star wars battlefront.
fight for the rebellion or empire in a wide variety of multiplayer  matches for up to 40 players, or in exciting challenges inspired by the  films available solo, split-screen or through online co-op. star wars battlefront combines this epic action on a galactic scale with stunning  visual recreations of some of the most iconic planets, weapons,  characters, and vehicles in the star wars universe and the original  sound effects from the films, to give star wars fans the ultimate, authentic and immersive interactive experience they’ve been looking for.
source: dice.se ",0,0,0,0,0,0,0,0,0,0
Halo 2,"
halo® 2 is the sequel to the highly successful and critically acclaimed halo®: combat evolved. in halo 2, the saga continues as master chief—a genetically enhanced super-soldier—is the only thing standing between the relentless covenant and the destruction of all humankind.


single-player: be the hero. take on the covenant on your own and live firsthand the epic saga of the master chief. wield dual weapons. use previously undiscovered covenant arms. drive vehicles and pilot aircraft. battle intelligent enemy a.i., and all-new alien opponents.
cooperative play: team up with a friend and save humankind together.
xbox live® multiplayer: take gameplay to a whole new level:

improving upon the original halo®: combat evolved, halo 2 is xbox live-enabled, allowing up to 16 gamers to play against people around the world.
halo 2 redefines the social experience of online gaming. new technology lets groups of friends stick together, find games, and meet new opponents.
players can split into multiple teams, form clans, or go head-to-head against new friends or old enemies.
players can personalize covenant elite or human spartan armor with custom colors and emblems to enhance battlefield recognition.
players can visit bungie.net for additional game enhancements, including in-depth statistics and worldwide rankings.


superior graphics, cinematic excellence: vast, imaginative environments, detailed animation, and realistic lighting effects bring the world of halo 2 to life.
improved a.i.: fight side by side with fellow human survivors who react quickly and naturally to events and circumstances; they help you when needed, man guns, and even drive vehicles for you. no two games seem the same, as enemy attackers coordinate, triangulate, and annihilate. they duck to take cover, clamber over obstacles, or smash their way through debris to reach you.
fully positional dolby® digital 5.1 surround sound: duck as a rocket sizzles over your head. take action as a covenant elite growls behind you. every sound is fully positional, bringing the world of halo 2 to an even more vivid level of realism.

 
xbox.com ",0,0,0,0,0,0,2,0,0,0
Call of Duty: Advanced Warfare,"a new era of combat. call of duty®: advanced warfare envisions the powerful battlegrounds of the future, where both technology and tactics have evolved to usher in a new era of combat. delivering a stunning performance, academy award® winning actor kevin spacey stars as jonathan irons – one of the most powerful men in the world – shaping this chilling vision of the future of war. power changes everything.
multiplayer

apart from the exo movement, advanced warfare's multiplayer retains certain similarities to previous call of duty titles. the pick 10 system in black ops ii returns as pick 13, allowing players to pick weapons, attachments, perks and score-streaks within a total of 13 allocation points
campaign

welcome to 2054. the world is in chaos and its up to you to bring it back from the brink. you'll assume the role of private jack mitchell, a young marine who finds himself reborn as a soldier working for the atlas corporation.
co-op

exo survival is call of duty®: advanced warfare’s chaotic, fast-paced cooperative mode that pits you and up to 3 friends against increasingly challenging waves of enemies, ranging from soldiers and ast to dogs, drones and more.
source: https://www.callofduty.com/advancedwarfare


 ",1,0,0,0,1,0,0,0,1,0
Call of Duty: World at War,"call of duty®: world at war™ changes the rules of engagement by thrusting players into tension-filled, unforgiving battles against a new ferocious enemy in the most dangerous and suspenseful action ever seen in world war ii.
experience an uncensored edge to combat, as soldiers face the most harrowing and climactic european and pacific battles in which an enemy, who knows no surrender and no retreat, fights to the last breath, unleashing an arsenal of lethal surprising tactics. peril and danger lurk throughout the battlefield as players combat the unknown risk of the new chaos of battle.




final battles: play as a u.s. marine or russian conscript across a variety of european and pacific infantry, vehicle and airborne missions. an all new depth of wwii-era combat variety, from the unique and varying locations that traverse the ruins of western europe to the harsh wetlands of imperial japan, immerses gamers into an adrenaline-filled, epic struggle.
co-op campaign mode: ""no one fights alone"" takes on new meaning as players can complete the entire single player campaign with up to four players online or two players via split-screen (both online and offline). complete unique co-op challenges to earn rewards and bragging rights. the title takes the perks, rankings and online stats players love in multiplayer, and builds them into the cooperative campaign, adding even more variety, replayability, and fun.
multiplayer modes: vehicles have been added to the multiplayer experience, featuring player rankings, upgradeable weapons, squad-based gameplay, map scripting, and customizable classes and perks.
unprecedented wwii cinematic quality: utilizing the jaw-dropping and revolutionary call of duty® 4: modern warfare™ engine, call of duty: world at war delivers an unprecedented level of visual and cinematic effects. highly-detailed character models, self-shadowing, environmental lighting, and amazing special effects up the authenticity to new heights. depth of field, rim-lighting, and texture-streaming technology bring the adrenaline-pumping combat to life. physics-enabled battlefields and destructible cover immerse players into the harrowing and dynamic combat.

http://www.xbox.com/en-us/games/c/codworldatwar/
 ",2,2,0,0,0,0,1,0,0,0
Call of Duty: Black Ops 3,"call of duty: black ops iii combines three unique game modes: campaign, multiplayer and zombies, providing fans with the deepest and most ambitious call of duty ever. the campaign has been designed as a co-op game that can be played with up to 4 players online or as a solo cinematic thrill-ride. multiplayer will be the franchise’s deepest, most rewarding and most engaging to date, with new ways to rank up, customize, and gear up for battle. and zombies delivers an all-new mind-blowing experience with its own dedicated narrative. the title ushers in an unprecedented level of innovation, including jaw-dropping environments, never before experienced weaponry and abilities, and the introduction of a new, improved fluid movement system.
source: official site ",1,0,0,0,0,0,0,0,1,0
Battlefield 3,"in battlefield 3, players step into the role of the elite u.s.  marines. as the first boots on the ground, players will experience  heart-pounding missions across diverse locations including paris, tehran  and new york. as a u.s. marine in the field, periods of tension and  anticipation are punctuated by moments of complete chaos. as bullets  whiz by, as walls crumble, as explosions force players to the ground,  the battlefield feels more alive and interactive than ever before.
 
official website ",0,0,0,0,0,0,0,0,0,0
Battlefield 1,"battlefield™ 1 takes you back to the great war, ww1, where new technology and worldwide conflict changed the face of warfare forever. take part in every battle, control every massive vehicle, and execute every maneuver that turns an entire fight around. the whole world is at war – see what’s beyond the trenches.key features:changing environments in locations all over the world. discover every part of a global conflict from shore to shore – fight in besieged french cities, great open spaces in the italian alps, or vast arabian deserts. fully destructible environments and ever-changing weather create landscapes that change moment to moment; whether you’re tearing apart fortifications with gunfire or blasting craters in the earth, no battle is ever the same.huge multiplayer battles. swarm the battlefield in massive multiplayer battles with up to 64 players. charge in on foot as infantry, lead a cavalry assault, and battle in fights so intense and complex you'll need the help of all your teammates to make it through.game-changing vehicles. turn the tide of battle in your favor with vehicles both large and larger, from tanks and biplanes to gigantic behemoths, unique and massive vehicles that will be critical in times of crisis. rain fire from the sky in a gargantuan airship, tear through the world in the armored train, or bombard the land from the sea in the dreadnought.a new operations multiplayer mode. in operations mode, execute expert maneuvers in a series of inter-connected multiplayer battles spread across multiple maps. attackers must break through the defense line and push the conflict onto the next map, and defenders must try to stop them.
source ",0,1,0,0,0,0,0,0,0,0
Battlefield 3,"in battlefield 3, players step into the role of the elite u.s.   marines. as the first boots on the ground, players will experience   heart-pounding missions across diverse locations including paris, tehran   and new york. as a u.s. marine in the field, periods of tension and   anticipation are punctuated by moments of complete chaos. as bullets   whiz by, as walls crumble, as explosions force players to the ground,   the battlefield feels more alive and interactive than ever before.
 
official website ",0,0,0,0,0,0,0,0,0,0
Medal of Honor: Frontline,"
head back behind enemy lines with lt. jimmy patterson in medal of honor frontline™. in this installment of the smash-hit medal of honor series, lt. patterson returns and must infiltrate the german frontline to steal the ho-ix flying wing, an experimental nazi weapon so powerful it could turn the tide of world war ii.
levels and missions
20 levels spread across 6 major missions, all based on real world war ii events.
 immersive environment
fully realised and highly-detailed 3d environments, taking full advantage of your console's graphical capabilities.
 authentic wwii weapons
over 20 authentic wwii weapons, including the colt .45, springfield sniper rifle, panzerschreck rocket launcher, mg42 mounted machine gun, and browning automatic rifle.
 enemy vehicles
enemy vehicles including panzer and tiger tanks, trucks, motorcycles with sidecars, and armored railway scout cars.
 intense non-combat-based scenarios
intense non-combat-based scenarios, such as a disguised, weaponless infiltration of an officer’s pub brimming with gestapo to make contact with a dutch resistance operative.
 authentic wwii content
authentic wwii content with the assistance of the smithsonian’s ho-ix expert russ lee and renowned technical consultant capt. dale dye.
 congressional medal of honor society
the medal of honor team continues to work closely with the congressional medal of honor society to ensure the ideals and integrity of this prestigious commendation.
 
source - www.electronicarts.co.uk (publisher)
 ",0,2,1,0,0,1,3,0,0,0
