Name,Summary,casino,singstar,sing,poker,party,guitar,trivia,rock,music,songs
Minecraft,"
there’s no one way to play minecraft. it’s an  open-ended game where players decide what they want to do by themselves!  minecraft offers several modes, though: creative mode, where players  are given limitless resources to build whatever they can imagine; and  survival mode, where players must explore the world and mine its  resources to feed, house and defend themselves. or you can join your  friends online and make up your own rules!

nearly every block in the world of  minecraft can be  broken down by mining and collected. then those bits  can be recombined  to build new stuff!punch a tree until you get some wood, turn the wood  into planks and then combine the planks to create a crafting table. you  can use the crafting table to make all kinds of useful tools, so long as  you find the right ingredients.
minecraft on ps4 supports split-screen play for up to four players, and  offers a heap of extra cool stuff for you to download, like specially  crafted skin-packs, console-only competitive modes, mini games and more!  available as a physical disc or digitally from the playstation store.
source: official site

 ",0,0,0,0,0,0,0,0,0,0
Big Brain Academy,"the second title in nintendo's series of brain games, big brain academy trains your brain with a course load of mind-bending activities across five categories: think, memorize, analyze, compute, and identify!when you begin, you'll be challenged in an exciting test of lightning-fast activities to determine your ""brain weight"", areas of strength and weakness, and which occupation or famous personality best compares to your weight score. the faster you complete the activities the ""heavier"" your brain!after the test, hit the homeroom and choose between three classes: practice, test, and versus. each one is designed to help you increase the weight of your mighty brain and, most of all, have a great time!practice mode lets you work on activities at your own pace. use it to improve at the activities in test mode that are giving you trouble, or to get even better at ones where you excel! activities last only 60 seconds.  test mode is always available when you want to try and increase your brain weight and show off that massive cranium! versus mode presents you and up to seven friends, using only one game card, with a riotous multiplayer competition. see who has the biggest brain, but burn through randomly chosen activities!play a demo of the game on nintendo's official website source ",0,0,0,0,0,0,0,0,0,0
Minecraft,"
there’s no one way to play minecraft. it’s an  open-ended game where players decide what they want to do by themselves!  minecraft offers several modes, though: creative mode, where players  are given limitless resources to build whatever they can imagine; and  survival mode, where players must explore the world and mine its  resources to feed, house and defend themselves. or you can join your  friends online and make up your own rules!

nearly every block in the world of  minecraft can be  broken down by mining and collected. then those bits  can be recombined  to build new stuff!punch a tree until you get some wood, turn the wood  into planks and then combine the planks to create a crafting table. you  can use the crafting table to make all kinds of useful tools, so long as  you find the right ingredients.
minecraft on ps3 supports split-screen play for up to four players, and  offers a heap of extra cool stuff for you to download, like specially  crafted skin-packs, console-only competitive modes, mini games and more!  available as a physical disc or digitally from the playstation store.
source: official site

 ",0,0,0,0,0,0,0,0,0,0
Minecraft,"
there’s no one way to play minecraft. it’s an  open-ended game where players decide what they want to do by themselves!  minecraft offers several modes, though: creative mode, where players  are given limitless resources to build whatever they can imagine; and  survival mode, where players must explore the world and mine its  resources to feed, house and defend themselves. or you can join your  friends online and make up your own rules!

nearly every block in the world of  minecraft can be  broken down by mining and collected. then those bits  can be recombined  to build new stuff!punch a tree until you get some wood, turn the wood  into planks and then combine the planks to create a crafting table. you  can use the crafting table to make all kinds of useful tools, so long as  you find the right ingredients.
minecraft on xbox one supports split-screen play for you to build with  friends at home. you can also play cross-platform with other devices  running minecraft on mobile, windows 10, console, or vr if you’re an  xbox live gold member. available as a physical disc or digitally from  the xbox store.
source: official site

 ",0,0,0,0,0,0,0,0,0,0
Pokemon Pinball,"catch 'em all with a pinball!
discover a whole new way to collect pokémon -- by playing pinball!  hit the targets with you poké ball to catch and evolve pokémon.  the better you do, the more rare pokémon you'll find!  every pokémon you catch is automatically recorded in your pokédex -- see if you can catch all 150!  some pokémon only appear on the red field or only on the blue field, so you'll have to play them both to catch 'em all!

the new rumble feature makes you feel like you're playing a real pinball machine!
trade high scores with a friend using the built-in infrared communications port (on game boy color only).
print out you high scores with a game boy printer (sold separately).
find the bonus stages to rack up a high score.
upgrade your poké ball to a great ball, ultra ball, or master ball and score even higher!
game pak contains built-in rumble feature! (one aaa battery included.)

source - back of box ",0,0,0,0,0,0,0,0,0,0
The Forest, ,0,0,0,0,0,0,0,0,0,0
Just Dance 2,"just dance has got america dancing! the #1 best selling music/rhythm game on the nintendo wii system is back to keep the party going with an all-star tracklist, the hottest dance moves of today, and a brand new beat for everyone to enjoy. just dance 2 features over 45 new tracks from classic hits and legendary songs to today’s chart-toppers. this time, you can create your own dance crew and compete against others in a true dance off across a variety of play modes, including the new dance off and party mode. ",0,0,0,0,2,0,0,0,0,1
Guitar Hero II,"guitar hero ii® is a rhythm-based music game that builds on the award-winning success of guitar hero®. shred lead, rhythm or bass guitar tracks in over 6 modes of play on over 55 licensed rock and roll songs all on a custom guitar-shaped controller. as with the previous games in the series, this game successfully fulfills the fantasy of what it’s like to be a rock star.
 
source - www.activision.com (publisher)
 
track list is as follows:
artist                titlemotley crue    shout at the devil                                                        cheap trick    surrender                                                        wolfmother    woman                                                        danzig            mother                                                        spinal tap      tonight i'm gonna rock you tonight                                                   nirvana          heart shaped box                                                        kiss               strutter                                                        kansas          carry on wayward son                                                        police             message in a bottle                                                        van halen      you really got me                                                        foo fighters    monkey wrench                                                        alice in chains    them bonesiggy pop and the stooges    search and destroythe pretenders    tattooed love boysblack sabbath    war pigswarrant              cherry piethe butthole surfers    who was in my room last night?matthew sweet    girlfriendthe rolling stones    can't you hear me knockingguns n'roses      sweet child o' minerage against the machine    killing in the nameprimus                 john the fishermanthe sword          freyathin lizzy            bad reputationaerosmith            last childheart                     crazy on youstone temple pilots     tripping on a hole in a paper heartstray cats                      rock this townthe allman brothers band    jessicajane's addiction    stopanthrax                   madhousethe living end        carry me homelamb of god             laid to restreverend horton heat    psycobilly freakoutrush                            yyzavenged sevenfold    beast and the harlotsuicidal tendencies    institutionalizeddick dale                     misirloumegadeth                   hangar 18lynyrd skynyrd           freebirddrist                           arterial blackanarchy club              collidebrian kahanek             geminithat handsome devil    elephant bonesvalient thorr                fall of pangeavagiant                       ftkthe neighborhoods     parasitebuckethead                 jordanthe acro-brats             laughtrackfreezepop                    less talk more rokkthe amazing crowns    mr. fix itthe breaking wheel     one for the roadbang camaro               push push (lady lightning)count zero                   radium eyesthe last vegas            raw dogmegasus                      red lotteryall that remains           sixhonest bob and the factory-to-dealer incentives    soy bombshadows fall                   the light that bindsevery time i die              the new black                                                        dethklok                         thunderhorse                                                        strong bad                     trogdor                                                        voivod                            x-stream                                                        made in mexico              yes we can                                                         ",0,0,0,0,0,3,0,4,1,1
Guitar Hero III: Legends of Rock,"guitar hero™ iii: legends of rock drops you into the spotlight of the largest and most legendary rock concert ever. the star-studded soundtrack includes master tracks by such legendary artists as guns n' roses, the rolling stones, beastie boys, muse and pearl jam, with added songs as made legendary by kiss, alice cooper and heart. now drop that air guitar, tune your exclusive new les paul guitar controller and shred the night away with guitar hero™ iii: legends of rock.
 
source: us.playstation.com ",0,0,0,0,0,3,0,2,0,1
Guitar Hero III: Legends of Rock,"
unleash your inner rock legend
guitar hero™ iii: legends of rock continues to build on guitar hero’s        successful easy to play, but difficult to master gameplay mechanic to        take the franchise to a whole new level. with master tracks from        legendary bands like sex pistols, guns ‘n’ roses, rolling stones,        metallica, and pearl jam, along with original music composed        specifically for the game by iconic guitarists slash and tom morello,        guitar hero iii: legends of rock sports the greatest soundtrack to ever        find its way into a videogame. vastly improved graphics immerse gamers        into their rock arenas and heighten their visual experience while the        new wireless gibson guitar controllers allow the players to channel        their inner guitar gods. the arcade-inspired battle mode, expanded co-op        career and boss battles add depth and extend gameplay for countless        hours of shred time.
crank it up to 11 and get ready to rock – featuring over        70% master recordings, spanning over 40 years of music across many rock        genres, guitar hero fans have the opportunity to shred to one of the        greatest compilations of music ever. adding to the track list are some        of the most legendary european anthems with a vast array of downloadable        content post-launch. from metallica to muse and rolling stones to rage        against the machine, guitar hero iii: legends of rock offers up a truly        legendary set list.
truly exclusive music – multiple tracks that can only be        found in the game include guitar icons slash and tom morello        contributing original guitar riffs for their boss battles. also, the sex        pistols re-entered the studio for the first time in 30 years to        re-record “anarchy in the u.k.” providing guitar hero iii: legends of        rock an original recording not available anywhere else. additionally,        living colour re-recorded their grammy award winning “cult of        personality” adding a solo that left legendary guitarist vernon reid        grunting.
an authentic look and feel – improving the graphics from        the ground up have created a more intense visual element giving guitar        heroes the sense of performing on their own rock stage. slash, tom        morello and bret michaels spent hours in motion capture suits so that        their movements and styles were translated perfectly to their in-game        characters. venue light shows have been coordinated for each song along        with choreographing the animations for each band member. ultra-detailed        textures in the fictional characters and multiple outfits give the        option of customizing the guitarist to meet everyone’s inner grunge,        punk, metal or anything in between.
rock this way – the arcade-inspired battle mode adds a new        dimension to the guitar hero franchise. the idea isn’t necessarily to        hit the most notes, but rather hit the right ones and learn the nuances        of using the power-up attacks. with guitar battle, star power sequences        are replaced with battle power sequences. hit every note in the battle        power sequence and receive a power-up that can be used to attack the        competition.
you’ve got to beat the best, to be the best – battle mode        lends itself to the boss battles featuring slash and tom morello. after        defeating a boss, unlock them as a playable character and continue to        the encore for the set list, which is a master recording of one of their        most legendary songs. after defeating slash, the next performance is        “welcome to the jungle” and slash stays on stage to play with the gamer.        likewise for tom morello and the hard-hitting “bulls on parade.”
it takes two – taking the co-op experience to the next level is        the new co-op career mode giving guitar heroes the chance to progress        through their career with a friend. since not all songs play well for        both the lead and bass tracks, only the best songs are pulled from the        single player career mode with six co-op career exclusive encore songs.
rockin’ around the world – compete head-to-head in any of        the competitive game modes online to prove who the most legendary guitar        hero really is. or, for those looking for a more friendly experience,        shred to a few tracks on the lead or the bass in co-op online.
dude, where’s my wire? – the wii gibson les paul guitar        controller has a void in the guitar for the wii remote to snap into and        connects to the wii remote via the nunchuk port. by using the wii        remote, the guitar controller utilizes the wireless technology and        accelerometer.
axe innovation – all guitars will have detachable necks for        easier portability as well as storage. adding a new level of        personalization to the les paul guitar controllers are interchangeable        faceplates giving guitar heroes the opportunity to show their style via        their instrument.
adapting the wii remote’s technology, guitar hero iii: legends of rock        uses both the rumble feature and the speaker on the wii remote. the        rumble can be felt shaking the guitar when rocking out with star power.        the speaker comes in handy when playing multiplayer as “clinks” are        heard through the wii remote as opposed to being ported through the tv        speakers.
 
source: nintendo.com ",0,0,0,0,0,22,0,11,4,2
Guitar Hero III: Legends of Rock,"unleash your inner rock legend!
crank up the volume and prepare to rock around the globe with guitar hero® iii: legends of rock!

become a legend - face off against guitar icons in insane boss battles featuring original tracks recorded exclusively for guitar hero iii: legends of rock.
rock out online or party offline - defeat opponents to achieve legendary status in head-to-head competition including the all new guitar battle or share the glory with a friend in the new co-op career mode.
incredible soundtrack - guitar hero iii: legends of rock features over 70 of the biggest and loudest songs ever compiled in a game!

 
source: xbox.com ",0,0,0,0,1,5,0,4,0,1
Michael Jackson: The Experience,"no artist in history has commanded the stage like michael jackson, the  undisputed king of pop. with over 800 million albums sold worldwide and  13 #1 singles in the u.s, there is no doubt that michael jackson’s music  influenced pop culture as we know it today. michael jackson the  experience is the ultimate performance game featuring the world’s  ultimate performer - providing an interactive experience that enables  players to step into the shoes of michael jackson himself and re-live  his most iconic moments through their own performance. michael jackson  the experience includes the original songs you know and love from his  extensive catalog, including billie jean and beat it, and proves that  anybody can groove like the king of pop!features:nintendo wii:- anybody can dance like the king of pop with the fun and accessible gameplay that made just dance a worldwide hit.-  family and friends can relive the magic of their favorite michael  jackson songs in multi-player and competitive modes making the  experience the ultimate party game.
 
ubisoft ",0,0,0,0,1,0,0,0,1,2
Starbound, ,0,0,0,0,0,0,0,0,0,0
Namco Museum,"namce musuem lets you enjoy these arcade classics on your gba: ms. pac-man, galaga, galaxian, dig-dug, and pole position.
features:

6 classic arcade games plus hidden surprises  
pac-man and ms. pac-man  
galaga and galaxian  
dig dug  
pole position 
 ",0,0,0,0,0,0,0,0,0,0
Carnival Games,"step right up!
all the excitement of your favorite carnival games is inside! up to 4 players can join the fun as your wii remote transforms from a sledgehammer to a frog flinger - and everything else in between! win tickets, wacky wearables and amazing prizes.
if you're ready for over 25 games of chance and skill that are sure to thrill, then welcome to carnival games!

ring the bell in test your strength
customize and accessorize your character
rack up the points in alley ball
win over 250 virtual prizes

*global star software - back of box
  ",0,0,0,0,0,0,0,0,0,0
Namco Museum Vol.3,"it's an instant replay of the best arcade hit games from years past.  namco museum volume 3 has the classics galaxian, ms.  pac-man, pole position ii, dig dug, phozon, and the tower of druaga.
playstation ",0,0,0,0,0,0,0,0,0,0
EyeToy Play, ,0,0,0,0,0,0,0,0,0,0
Just Dance,"dance to the rhythm of your favorite beat with ubisoft’s just dance, a music & rhythm video game that allows you to dance the night away with your friends and family without ever leaving the house. invite your friends to join you for a fun late-night dance session, or practice your favorite moves solo on your own. with simple pick-up and play controls, anyone can join the party.
real music, real dance moves: step to the beat of over 30 dance songs and learn real-life moves from music spanning the 80’s, 90’s, disco, rock and more.
start the party right: play just dance with anyone and everyone you know via fun 4 player party modes.
the dance game for everyone: no large or complex accessories required, anyone can easily pick-up and play using the intuitive wii-mote & nun-chuck control scheme.
feel good, stay fit: burn calories, stay fit, and enjoy a fun workout all while having a blast with your favorite songs
killer soundtrack: iconic hits including “womanzier”, “i like to move it” by real to real, “dare” by gorillaz, and much, much more.
 
ubisoft
  ",0,0,0,0,2,0,0,1,2,2
Namco Museum: 50th Anniversary,"14 classic arcade games include:  pac-man ms. pac-man galaga galaxian dig dug pole position pole position ii rolling thunder rally x bosconian dragon spirit sky kid xevious mappy  sky kid and rolling thunder are two new titles new to namco museum.
 
source - www.namcobandaigames.com (publisher) ",0,0,0,0,0,0,0,0,0,0
English Training: Have Fun Improving Your Skills!,"have you always wanted to improve your english but can never find the        time or the right teacher? with english training for nintendo ds, you        can give your english skills a boost while having fun, too! english training helps you improve your written and spoken english in a        similar way to dr kawashima's brain training, with daily bite-size        training sessions. written exercises require you to listen to an english        sentence, spoken by the nintendo ds, and dictate the text with the        stylus on the touch screen. spoken exercises require you to speak        english phrases into the inbuilt ds microphone, and the software grades        you on your pronunciation. most exercises include simultaneous translation in french, german,        dutch, spanish or italian (depending on the language chosen) so you can        learn useful phrases as you go along. a colour-coded grammar system also        teaches you how sentences are constructed; with the subject, verb,        object, adjective and adverb indicated in different colours. as well as the extensive solo mode, you can also send a temporary demo        of the software wirelessly to another ds, or test your english skills        against friends in multiplayer 'language battle' mode against up to        seven other people.

more than 3,000 english words and phrases, and more than 1,700 tasks to        complete
simultaneous english – french/german/dutch/spanish/italian translation        in many exercises
record your voice with the ds microphone and listen to how you        pronounce english phrases
stamp your progress with the in-built calendar and chart your daily        improvements
unlock new exercises and stamp designs by improving your language skills
up to four profiles can be stored on a single game card, so the        software can be shared with friends or family
test your skills with others in multiplayer language battles for up to        eight people, sharing one game card
send a beginner or advanced demo of the software to a friend through        wireless ds download

source - www.nintendo.com ",0,0,0,0,0,0,0,0,0,0
Namco Museum Vol.1,"namco museum vol. 1 is a compilation game, developed and published by namco,  which was released in 1996. ",0,0,0,0,0,0,0,0,0,0
Tomodachi Collection, ,0,0,0,0,0,0,0,0,0,0
