Name,Summary,crops,mech,aircraft,farm,beatmania,care,farming,pet,pets,sims
Nintendogs + cats,"nintendogs puppies are back in the palm of your hand on the nintendo  3ds system, with even cuter and more expressive puppies and, for the  first time, kittens! the fun from the original nintendogs game returns,  with multiple breeds to choose from, accessories for your puppies and  kittens to wear, and the ability to let your puppies and kittens train  and compete in different challenges and activities.
features:
more than 20 breeds to choose from each puppy and kitten has unique coloring and personality possibilities.
breed choice depends on game version. these include french bulldog, toy poodle and golden retriever.
puppies and kittens come to life puppies and kittens look fluffier, softer and more expressive than ever in 3d.
adorably  life-like puppies and kittens react to your touch and your voice using  the built-in camera, touch screen and microphone. the facial-recognition  technologies on the nintendo 3ds even let puppies recognize their  owners.
you can take pictures of your puppies and kittens by  simply tapping the camera icon on the screen, which you can save to your  album and share with your friends.
share your experience with friends and other players exchange your mii™ characters, puppies and kittens, and presents with  other nearby players over a wireless connection (streetpass™).
seamlessly hop online and download new game content such as new mii characters and items such as pet accessories (spotpass™)*
play with your puppies and kittens in your world with the nintendo 3ds augmented-reality feature, you can watch your  puppy play on your dining room table or sit in the palm of your hand.
you  will be able to walk with your puppy and have your steps counted by the  built-in pedometer on the nintendo 3ds system when you have the game  inserted and in sleep mode.
the journal feature will keep track of  your daily activities in the game. you can view other players you’ve  encountered with streetpass, view your pedometer data, etc.
*wireless broadband internet access required for online features.
 
source: nintendo pr ",0,0,0,0,0,0,0,1,0,0
Animal Crossing: City Folk,"if life were an endless vacation, what would you do? go fishing, collect        shells or watch fireworks with friends? build a snowman, exchange        presents with family or decorate your house for the holidays? take a        trip to the city, go on a shopping spree or visit friends from all over        the globe? in animal crossing: city folk, life moves at a relaxed        pace, but the world brims with endless possibilities.

there’s always something new to do. in the living, breathing world of animal        crossing: city folk, days and seasons pass in real time, so there’s        always something to discover. catch fireflies in the summer, go        trick-or-treating on halloween or hunt for eggs on bunny day. if you’re        in the mood for something a little faster paced, take a bus to a new        urban city area that’s unique to animal crossing: city folk.        there you can catch a show at the theater or check out the sales at        gracie’s boutique. but if you don’t show your face back home for too        long, your neighbors will miss you.
up to four people from your household can live and work together to        build the perfect town. design clothes and patterns, write letters and        post messages on the bulletin board for each other, or invite up to        three friends to visit your town using nintendo wi-fi connection. with        the new wiispeak microphone, it’s like you’re all in the same room. the        microphone sits atop the sensor bar and picks up the conversation of        everyone in the room to encourage a more inclusive experience.
get to know your neighbors. the heart of animal crossing:        city folk is building relationships with the animals in your town as        well as with other players. befriend your animal neighbors by exchanging        letters, gifts and favors. animals can also move from town to town,        bringing their memories and stories from their old towns with them. and        since animals are notoriously loose-lipped, they spill all the juicy        details.
express your personal style. customize your town, your house and        yourself by collecting bugs, fish, fossils, art, furniture, clothes and        accessories. you can also go to the salon in the city to change your        hairstyle and get a mii™ makeover. plus, if you design clothes in the        tailor’s shop, animals will wear them and maybe even bring them to other        towns.

nintendo.com ",0,0,0,0,0,0,0,0,0,0
The Sims 4,"
enjoy  the power to create and control people in a virtual world where there  are no rules. express your creativity as you customize your sims’  appearances and personalities, and build them the perfect homes. develop  your sims’ relationships, pursue careers, and explore vibrant new  worlds. 
• create unique sims  • build the perfect home • explore vibrant worlds • play with life  • add new experiences
source: ea.com
 ",0,0,0,0,0,0,0,0,0,1
The Sims: Unleashed, ,0,0,0,0,0,0,0,0,0,0
MySims,"explore a new world with mysims - it's your world to transform! move to a town that has been struggling lately. with a little creativity and some help from the locals, you can make this place thrive. improve the town to attract new characters, from chef gino delicioso and dj candy supergroove to arcade owner, vic vector and cap'n ginny, the town pirate. discover what the residents want and need, so that you can help them enjoy life in your sim's new town. design a hot tub or jukebox from scratch, build homes and businesses from the roof to the front door. uncover special decorations and patterns as you explore the growing town. from the furniture and objects to the buildings to the town as a whole - each of your creations is unique. in mysims, what you make... makes all the difference.
 
source - www.electronicarts.co.uk (publisher) ",0,0,0,0,0,0,0,0,0,0
Pokemon Snap,"as one of the most unique games in a renowned series, pokémon snap was the first truly 3-d pokémon game and introduced the phenomenon to the nintendo 64. travel to pokémon island and meet professor oak to begin a safari, taking the best possible photographs of 63 different pokémon as they exist in the wild, undisturbed by humans. this is not as easy as it sounds—the island has many types of climates and environments to explore, along with secret activities and hidden passages to discover. plus, some of the pokémon can be a little shy and won't pose for the camera unless you tease them with special items. after you're done, submit one picture of each pokémon to professor oak, and he'll judge it based on size, pose, technique and number of pokémon captured. from: www.nintendo.com  ",0,0,0,0,0,0,0,0,0,0
Cooking Mama 2: Dinner With Friends,"cooking mama 2 for nintendo ds is the sequel to the best-selling cooking simulation game, cooking mama, and promises even more culinary fun and even tastier gameplay as mama cooks up a spicy storm with new recipes, twice as many mini-games and an all-new multiplayer mode to challenge other players to a ‘cook off’, mama style.features

80 original international recipes, some old favourites and the chance to create all-new customised dishes
150 fast and fun mini games to challenge player cooking expertise
offer your finished cooking creation to a friend to taste. in cooking mama 2 players can offer their dish to one of the many characters who will judge it for flavour and presentation, while mama inspects the fruits of your labour and makes her own comments on your cooking skills
create the look of your very own cooking mama 2 experience. all new customisation allows players to change how the screen looks using graphics and stickers acquired throughout the game
note down your cooking successes through the game in your personal diary. cooking mama 2 features a personal diary that can be used to save pictures of recipes you've completed, as well as stickers collected throughout the game, building into a completely unique log of your cooking activities
an all-new multiplayer mode allows you to cook with your own friends! using one copy of the game up to four players can cook together in competitive mini games through the download ds feature
your cooking ability will be reflected in the final presentation of the dish. if you make too many mistakes in the preparation then the final meal will look different from a perfect dish! you can record your own cooking progress using the diary and measure your results as your culinary skills improve
 ",0,0,0,0,0,0,0,0,0,0
Animal Crossing: Happy Home Designer,"
design your own animal crossing home
bonus: get a free code for an animal crossing: happy home designer home menu theme when you buy this game from nintendo eshop.
show off your style by designing homes for all of your favorite animal crossing villagers! use your creativity to design the perfect houses—inside and out—for both old and new friends. with the new amiibo cards, you can call your favorite villagers into the game.
features:


game includes one special character amiibo card*
design the interior and exterior of hundreds of homes for animal villagers
leave your decorative touch on the school, hospital and other public facilities
collect and connect - collect and share amiibo cards of your favorite villagers, and invite them into your game
tap amiibo cards to invite up to four characters into a room to hang out
tap the amiibo cards of special characters to call in animals that would otherwise not appear in your game with requests
*retail version only

source: nintendo ",0,0,0,0,0,0,0,0,0,0
Ace Combat 04: Shattered Skies,"danger takes wing as namco's breakneck flight sim launches again for more harrowing dogfights and critical mission strikes. but this assignment requires a more powerful arsenal than ever before--and with the overpowering might of the playstation 2 computer entertainment system locked and loaded, ace combat 4 aims to deliver the most firepower yet in the series. breathtaking scenery scrolls out for miles in near-photographic reality as you whisk by at mach 1. the realistic radio chatter will erupt in a frenzy when the heat of combat starts to boil over, so keep control of the craft and down the enemy air squadron in 18 missions of white-knuckle flying.
 
source: us.playstation.com ",0,0,0,0,0,0,0,0,0,0
The Sims: Vacation, ,0,0,0,0,0,0,0,0,0,0
Style Savvy,"style savvy combines creativity and fashion with a collection of trendy clothes, chic accessories and stylish shoes. as the owner of a clothing boutique, you must purchase inventory, monitor the store’s funds and try to please a constant stream of customers who look to you for the best fashions.
features:• you can stock your store with items from 16 different in-game designer labels, each with its own distinct style and price point. style savvy includes more than 10,000 items and a range of customers with a variety of styles and personalities.• every day customers who walk through the door of your shop tell you their shopping budget and the kind of clothing they want. if you make them look good, they’ll be back – or they might even stick around and spend more.• once you build up some cash, then it’s time for you to go shopping to stock your store. you can expand your inventory or start getting ready for seasonal changes, which are timed to the calendar of the nintendo ds or nintendo dsi™ system.• you can make a local wireless connection with up to three of your friends to host a fashion runway contest to see who has the best eye for fashion.• if two players have style savvy game cards, they can connect their nintendo ds or nintendo dsi systems locally to visit each other’s stores. players who have broadband wireless internet access can connect to nintendo® wi-fi connection and walk around other players’ stores and browse their best wares. players can find their favorite coordinates, download them and wear them.• you can customize the look of your character with different head shapes, eyes and lips. or you can modify your look by changing your hair color, getting a new hair style or adding makeup.

nintendo.com  ",0,0,0,0,0,0,0,0,0,0
Cooking Mama: Cook Off,"after her initial ds debut, mama is whipping up some kitchen competition by pitting chef against chef in cooking mama cook off – a unique 2 player family game designed specifically for the wii home video console. step-by-step, recipe-by-recipe, help mama cook international dishes from 10 different nations and watch as the realistic foods actually change in appearance based on your actions!
majesco ",0,0,0,0,0,0,0,0,0,0
Imagine: Babyz,"the first ever sim game focused on babies, imagine babyz speaks to the caring nurturer in you! it points out important tools you need to be a good sitter while giving you tons of ways to make errands and housework fun—whether you're dressing the kids up to go shopping, buying baby food, vacuuming their rooms, painting the walls pink or mowing the lawn. and the work pays off when you get to spend your hard-earned money on decorating your house! ooh-la-la!--ubisoft  ",0,0,0,0,0,0,0,0,0,0
Prison Architect,"build and manage a maximum security prison. as the sun casts it’s early morning rays on a beautiful patch of countryside the clock starts ticking. you’ve got to crack on and build a holding cell to detain the job­ lot of maximum security prisoners that are trundling to your future prison on their yellow bus.  as your workmen lay the last brick you don’t have a moment to let them rest as they need to get started on the first proper cell block so you can make room for the next prisoner intake. once they’ve all got a place to lay their weary heads the fun can really start. you’ll need a canteen, infirmary and a guard room, oh, and don’t forget to plumb in a toilet, or things will get messy, but what about a workout area? or solitary confinement cells? or an execution chamber?   inspired by dungeon keeper, dwarf fortress and theme hospital and with over 1 million players having spent time inside, prison architect is the world’s best lock-­em-­up.
source: https://www.introversion.co.uk/prisonarchitect/pc.html ",0,0,0,0,0,0,0,0,0,0
Imagine: Fashion Designer," the first ever fashion video game on ds, fashion designer brings out the creative fashionista in you! find out about the behind-the-scenes biz that goes into one of the world's most glamorous careers, learning the ropes of the runway and beyond.   with tons of garments to choose from, customizable patterns and colors, add-on accessories like bags, hats, shoes, and fun tools like the ""collar-creator,"" you can design your own skirts, pants, jackets and even the models that flaunt them. create your signature look by shaping models' lips, creating make-up color palettes and styling their hair—from tints and curls to pigtails and more!  --ubisoft ",0,0,0,0,0,0,0,0,0,0
The Sims,"brace yourselves! the sims™ are coming to console near you. create and control your sims with new level-based and two-player modes. or enjoy the classic open-ended gameplay of the original pc game. customize your sims' personality and appearance then move into the neighborhood. get a job, make friends and advance through your career and life's big moments. unlock new objects and bigger houses along the way. meet, flirt and fight with a neighborhood full of wild characters. you can also load your sims onto a memory card and play on a friend's system.
 
source - www.electronicarts.co.uk (publisher) ",0,0,0,0,0,0,0,0,0,2
1602 A.D.,"1602 a.d. combines strategy, colony-building, diplomacy, production, trade, and real-time land and sea battles into a completely unique gaming experience unlike any game preceding it.
min system requirements:minimum pc requirements: cpu type: pentium cpu speed in mhz: 100 mhz ram: 16mb hard drive space: 120mb sound card: soundblaster or 100% compatible cd drive speed: 4x video card: pci video ram in mb: 2mb graphics type: svga color depth: 16-bit graphics resolution(s): 640x480, 800x600 compatible devices: mouse, keyboard    multiplayer system requirements: modem speed: 28.8 kbps    recommended system specs: cpu type: pentium cpu speed in mhz: 166 mhz ram: 32mb ",0,0,0,0,0,0,0,0,0,0
The Sims: Bustin' Out," the sims™ are making a big return to the console and this time they are bustin' out of the house and exploring all-new locations around town. in the sims™ bustin' out, players can choose from a variety of new career paths. along the way, players can unlock and collect over a hundred of new objects and social moves exclusive to the console. play, work, and socialize with a cast of over 25 new outrageous characters and climb through a dozen new careers. the sims bustin' out also features new integrated two-player gameplay and memory card support, for those players who like to take their sims over to a friend's house and show them off.
 
source - www.electronicarts.co.uk (publisher) ",0,0,0,0,0,0,0,0,0,2
The Sims 3,"the sims return yet again in this third full evolution of the long-running and always-expanding sim series. in this home console version of the sims 3, players will be able to create sims with unique personalities, fulfill their desires (... or not,) and control their lives within a living neighborhood. additionally, all-new features make it easier than ever to mess with life as players can unlock the ultimate ""karma powers"" for instant control and unleash them on their sims. players can help their sim ""get lucky,"" bless them with ""instant beauty"" or be deviant and curse them with an ""epic fail."" but players should use these powers wisely—they may have unexpected results and karma may come back to bite.

rich, immersive gameplay is complimented with a seamlessly integrated exchange system, and gamers will be more connected than ever before as they design, build, and share their creations and download content from other players around the world without ever leaving the game. facing short and long term challenges, players will reap rewards and trophies and can even share achievements with friends by connecting to facebook. ",0,0,0,0,0,0,0,0,0,3
Tabletop Simulator,"tabletop simulator is the only simulator where you can let your aggression out by flipping the table! there are no rules to follow: just you, a physics sandbox, and your friends. make your own games and play how you want! unlimited gaming possibilities!
 
source from berserk games ",0,0,0,0,0,0,0,0,0,0
Animal Crossing,"ever wanted a dream life where you’re in total control? then welcome to animal crossing, nintendo’s real-time game where you live in a world that is wholly unique and you call all the shots. in this imaginary world, you own a home, you work hard to get ahead, and you play even harder to enjoy the irresistible challenges of each day and each season. join the growing population of players who live to play and play to live in a land of fun and surprises.paving your wayjoin rover on the train to enter your new town.pick and name a character that suits you.choose a house to call home.the neighbor-woodforge friendships with friendly forest beasts, from penguins to rhinos to apes to frogs.meet local celebrities from helpful officer copper to diplomatic mayor tortimer.must-see spotsmail letters to friends and pay off your bills at the post office.shop till you drop at tom nook’s store. donate treasures to the farway museum. find out who’s in town and what’s lost and found at the police station.design your own fabulous fashions at the able sisters tailor shop.visit the wishing well for sage advice on making your town nice. living largeearn a living by running errands for your neighbors or finding valuable treasures.decorate your home to match your style. collect dinosaur bones, fish, art and insects—all hidden around town. find rare items via visiting vendors or by trading with forest friends.create custom fashions that speak to your soul. enjoy the changing seasons and special holiday surprises.non-stop funwelcome new players to your village. travel to friends’ villages.take a sun-soaked vacation to animal island with a game boy advance  (you’ll need a game boy advance—nintendo gamecube link cable).*nintendo ",0,0,0,0,0,0,0,0,0,0
Dance Dance Revolution X2,dancedancerevolution x2 introduces the brand new dice master mode where players roll the dice to receive a dance challenge and compete to be the ultimate dancedancerevolution champion. ,0,0,0,0,0,0,0,0,0,0
Star Wars: Rogue Squadron,"star wars: rogue squadron is a video game based on the popular movie series star wars by george lucas. the game was developed by lucasarts and factor 5 for the nintendo 64 video game console and the pc. the game took advantage of the console's expansion pak, which allowed players to view the game at (640x480) high resolution mode. later, two sequels were made for the nintendo gamecube: star wars rogue squadron ii: rogue leaderand star wars rogue squadron iii: rebel strike.   ",0,0,0,0,0,0,0,0,0,0
The Sims: House Party, ,0,0,0,0,0,0,0,0,0,0
SimCity 2000,"this morning, you approved a new solar power plant, designed an  underground transportation system, and jumped five points in the poll.  then you raised taxes (and lost 10 points), read two local newspapers, built a zoo, a marina and a library, and pushed your  education bill through the city council. it's time for lunch -- unless,  of course, there's a fire, earthquake or alien invasion. simcity 2000 really brings your city--and its resident sims--to life. if this game were any more realistic, it'd be illegal to turn it off.
 
source: game box ",0,0,0,0,0,0,0,0,0,0
Dance Dance Revolution Extreme,"extreme dancing = extreme fun
get ready to shake your groove thang with dance dance revolution extreme.
the dance floor will be pumping all night long with a smash-hit lineup of new songs, more game modes than ever before and all-new eyetoy usb camera (for playstation 2) support.

over 65 songs and 100+ minutes of authentic dance music
experience a whole new level of interactive dancing with the eyetoy - use your hands and feet and see yourself dance on tv!
have a blast with your friends in the all-new party mode and mission mode
dance the night away with new nonstop and challenge courses and the never-ending endless mode
special difficulty level for beginners allows you to learn the basics with an easy-to-follow on-screen dancer
get in shape with the workout mode and customize your own dance steps in the edit mode
re-create the smash-hit experience with konami's ddr controller (sold separately)

 
(copied from the back of the case) ",0,0,0,0,0,0,0,0,0,0
Dance Dance Revolution: Hottest Party,"
konami brings four decades of music to wii
the global dancing phenomenon gets even more physical with an entirely        new game designed for the nintendo wii. dance dance revolution hottest        party enhances the series' trademark interactive gameplay by combining        the physically engaging, innovative and easy-to-pick-up-and-play        mechanics of the wii. ddr hottest party is sure to be the life of the        party with four-player multiplayer, wii remote and nunchuk support,        smash hits taken from the last four decades of music, entirely new modes        and more.
 

 brand new ddr game designed exclusively for the wii 
 four-player simultaneous play ensures your house is the hottest party          on the block 
 all-new soundtrack includes licensed smash hits from the last four          decades 
 use the wii remote and nunchuk while dancing for greater total body          interaction 
 swing the wii controller to send obstructions to your opponents while          competing 
 new gameplay twists, fun minigames and other challenges 
 great family fun with added modes and difficulties for all ages,          including friendly synch and kind support mode 

nintendo ",0,0,0,0,0,0,0,0,0,0
The Sims 2: Pets,"your sim is starting a career in pet care! as the town veterinarian, your sim will care for, heal, groom, and train the neighborhood pets in a pet care clinic that you build and customize. choose from popular dog and cat breeds or create a unique breed and customize its appearance. take your pets to the park where you can teach them tricks and meet other sims. keep one thing in mind- sims' pets have a mind of their own so expect the unexpected!

design a unique pet care center for your sim to work in. greet all the town's sims and take care of their pets for them. heal sick pets, bathe, play with, and teach them new tricks while they are in your care.


choose from various dog and cat breeds including beagle, spaniel, tabby, siamese and more. or, customize their appearance to create your own breed.


as your sim gets better at caring for pets, they can unlock special items. make sure your sim treats their patients well! 


classic sims open-ended gameplay allows you to create sims that look like you and your friends and control how they spend their lives-their stories are in your hands!


connect to another friend's nds to trade items in your sim's inventory including your favorite pets, objects, and simoleans. 

ea ",0,0,0,0,0,4,0,3,4,3
The Sims 3,"the sims return yet again in this third full evolution of the long-running and always-expanding sim series. in this home console version of the sims 3, players will be able to create sims with unique personalities, fulfill their desires (... or not,) and control their lives within a living neighborhood. additionally, all-new features make it easier than ever to mess with life as players can unlock the ultimate ""karma powers"" for instant control and unleash them on their sims. players can help their sim ""get lucky,"" bless them with ""instant beauty"" or be deviant and curse them with an ""epic fail."" but players should use these powers wisely—they may have unexpected results and karma may come back to bite.

rich, immersive gameplay is complimented with a seamlessly integrated exchange system, and gamers will be more connected than ever before as they design, build, and share their creations and download content from other players around the world without ever leaving the game. facing short and long term challenges, players will reap rewards and trophies and can even share achievements with friends by connecting to facebook. ",0,0,0,0,0,0,0,0,0,3
Planet Coaster,"create, manage, and share the world's greatest coaster parks.
be inspired and inspire others as you create, manage and share the  world’s greatest parks with friends and content creators around the  world. surprise, delight and thrill your guests as you build your  coaster park empire. let your imagination run wild with the future of  coaster park simulation games.
source: https://www.planetcoaster.com/en-gb ",0,0,0,0,0,0,0,0,0,0
SimCity,"so you want to be mayor?  well, here’s your opportunity!  begin with empty land, start a town, name it after yourself, and build it into a city. then see if you can sustain enough growth to build your city into a megalopolis!  as mayor, you have the tools to overcome any challenge.  whether it's taxes, zoning, crime, transportation, fire control, pollution, natural disasters, or other critical issues, the duties as mayor are yours.  for a change of pace, try saving a city burdened with problems by playing one of the eight built-in scenarios. time is passing and every decision you make has future consequences-so get to work! from: www.nintendo.com ",0,0,0,0,0,0,0,0,0,0
The Sims: Makin' Magic, ,0,0,0,0,0,0,0,0,0,0
Star Wars Rogue Leader: Rogue Squadron II,"rogue leader standing by!

awesome cinematic graphics and intense action-packed gameplay put you ""in the movies""!
be luke skywalker or wedge antillies and fly your choice of x-wings, b-wings, y-wings, snowspeeders and more!
11-plus heroic missions send you to hoth, cloud city, the death star and other legendary star wars locales!

*lucasarts - back of box
  ",0,0,0,0,0,0,0,0,0,0
The Long Dark,"
welcome to the quiet apocalypse
the long dark is a thoughtful, exploration-survival experience that challenges solo players to think for themselves as they explore an expansive frozen wilderness in the aftermath of a geomagnetic disaster. there are no zombies — only you, the cold, and all the threats mother nature can muster.
deep survival simulation gameplay where every decision matters. explore a large open world in search of resources.
source: https://www.thelongdark.com/
 ",0,0,0,0,0,0,0,0,0,0
"Hey You, Pikachu!","
for the first time ever you can actually talk to your favorite pokémon. tag along with pikachu as it goes through its daily routines, taking field trips, going fishing and having picnics, becoming better friends with each passing day. pikachu will hear and react to the words you say. the more you speak, the closer friends you'll be!

talk into the microphone, see pikachu react. your voice travels to pikachu though the n64 voice recognition unit and microphone - both included.
pal around with pikachu - together you'll gather cooking ingredients, fish for favorite water pokémon, and even hunt for buried treasure on a deserted island.
speak to pikachu using a variety of key words and phrases. friendship is based on communication and there's plenty to talk about!

- from game back cover
 ",0,0,0,0,0,0,0,0,0,0
Air Combat,"lock on and unleash the most devastating firepower in the skies.
you are the team leader of an elite corps of mercenaries -- fighter pilots hired to strike where nato air forces have failed. your mission? take out a ruthless sect of terrorists that has invaded and entrenched themselves within the confines of several global hot spots. your hardware? everything from f-15s to radar-invisible f-22 stealth fighters. the briefing is over, gentlemen. win one for the free world. good hunting.
 
source: game case ",0,0,0,0,0,0,0,0,0,0
The Sims: Hot Date,"play matchmaker to your sims and watch the sparks fly or fizzle. get them out of the house and into the all-new downtown area where they?ll gossip over a candlelit dinner, buy gifts for their dates or just cruise the strip in hopes of getting lucky. will your sims find true love or be destined to a lifetime membership in the lonely hearts club?
[electronic arts] ",0,0,0,0,0,0,0,0,0,2
DDRMAX2: Dance Dance Revolution,"maximum music = maximum dancing
straight from the arcades, the dance floor kicks into overdrive with ddrmax2 dance dance revolution. packed with a smash-hit lineup of new songs, new game modes and actual music videos from some of today's hottest artists, everybody will be movin' and groovin' to the pulsating beats.

over 65 songs and 100+ minutes of authentic dance music
new nonstop courses and endless mode will have you dancing all night long in the ultimate dance-a-thon
new difficulty level for beginners allows you to learn the basics with an on-screen dancer
customize your own dance steps in the edit mode and get in shape with the workout mode
re-create the arcade experience with konami's dance dance revolution controller (sold separately) 
links with ddrmax dance dance revolution and dance dance revolution konamix for special features

 
 
(from the back of the case) ",0,0,0,0,0,0,0,0,0,0
