Name,Summary,blocks,colored,bubbles,puzzles,tiles,bomberman,sudoku,puyo,tetris,puzzle
Tetris Plus, ,0,0,0,0,0,0,0,0,0,0
WarioWare: Smooth Moves,"warioware's back with an idea so crazy, it could only be made with the latest technology: the wii remote™. when wario™ stumbles upon a strange device called a form baton, he and his friends use it to learn new moves that are as fun as they are wacky. with hundreds of microgames, this game is just as wild as you'd expect from the name warioware, but the game play has been revolutionized. under wario's tutelage, and with the help of the wii remote, players swing, spin and squat their way to victory.

with more than 200 lightning-quick microgames and controls that range from scribbling to flailing, warioware: smooth moves takes interactive gaming to a whole new level. players steer cars, twirl pizzas, saw logs and dance their way to victory. all they need to be the champ is confidence, a wii remote and their best moves.
with games that are as much fun to play as they are to watch people play, warioware: smooth moves brings the party to its feet. it's hilarious for players and audiences alike.

game storyline: while pursuing a strange creature that stole his snack, wario accidentally stumbles into an old building called the temple of form. inside, he finds a mystical treasure called the form baton, which looks suspiciously like a wii remote. he discovers that the form baton gives him special powers depending on his ""form"" - the way he holds and moves the baton. wario decides to pocket his new treasure, and soon the form craze spreads through diamond city.
iwata asks about wario ware: smooth moves ",0,0,0,0,0,0,0,0,0,0
"Papers, Please","the communist state of arstotzka has ended a 6-year war with neighboring  kolechia and reclaimed its rightful half of the border town, grestin.   your job as immigration inspector is to control the flow of  people entering the arstotzkan side of grestin from kolechia. among the  throngs of immigrants and visitors looking for work are hidden  smugglers, spies, and terrorists. using only the documents provided by  travelers and the ministry of admission's primitive inspect, search, and  fingerprint systems you must decide who can enter arstotzka and who  will be turned away or arrested.
source: official game page ",0,0,0,0,0,0,0,0,0,0
High School Musical: Makin' the Cut!, ,0,0,0,0,0,0,0,0,0,0
Scribblenauts,"product overview:scribblenauts is a completely original gameplay experience that anyone can play, offering all-age fun fun for all ages with two styles of gameplay and more than 200 levels. in scribblennauts, players use the nintendo ds™ touch-screen to help their character maxwell acquire the sstarite in each level by solving a series of puzzles armed with their stylus, notepad and imagination. players jot down the word for any object that comes to mind in order to reach the goal. every object behaves as it would in the real world, and players can combine countless objects to create completely new scenarios. every level has more than one written object to use as a solution, opening up the game to extensive endless replay.in scribblenauts, players advance through ten worlds, each with eleven puzzle and eleven action levels for a total of 220 challenges to complete. each level has a “par” for the number of objects suggested to finish the level. beating a level with fewer objects thanunder par, earns “ollars”, the in-game currency, which players can use to purchase new levels and music.product features:• create your own interactive experience: objects you write down in the game are only limited by your imagination.• everyone can play: all-ages pick-up-and-play fun for everyone. .• touch-screen controls: easy to pick up and play on nintendo ds™. if you can tap, you can play!• unlimited replay value: use less objects to increase your score, or experiment with different objects for endless replay value. write anything; solve everything!• playground mode: play the entire game in a sandbox style right on the title screen.• revolutionary multiplayercreate and share levels online: share levels you create with the level editor via nintendo ds™ wi-fi connection.• innovative new title from leading developer: 5th cell, the creator of the drawn to life franchise and lock's quest, has experience creating high-quality, innovative ds games.
 
source: official press release ",0,0,0,1,0,0,0,0,0,1
Tetris Worlds,"tetris, the world's best-selling electronic game, is a deceptively simple, completely addictive puzzle game! with tetris worlds, you get everything you love about tetris and more, with beautiful graphics, seven variations of the classic gameplay, and intense multiplayer action for up to four players! test your tetris skills in the most popular versions of tetris, or the latest variations. if you aren't addicted to tetris, you must be living under a rock!
us.playstation.com ",0,0,0,0,0,0,0,0,3,1
TouchMaster,"the all-time arcade favorite touchmaster is now on the go exclusively for nintendo ds! choose from 23 addictive and fun games that use the touchscreen and stylus perfectly. with classic titles like solitaire, mahki, crystal balls and hot hoops as well as trivia with more than 20,000 questions, touchmaster is a great pick up and play for everyone.
http://www.midway.com/rxpage/game_touchmaster.html ",0,0,0,0,0,0,0,0,0,0
Alleyway,interstellar ping-pong with a deadly energy ball! your spaceship is at the gate of the alleyway. use your vessel to repel the energy ball. atomize space grids with your return shots. destroy the entire field and move on to even more challenging targets. you're in command in the alleyway! ,0,0,0,0,0,0,0,0,0,0
Tetris DX,"the classic portable puzzle game!
tetris is one of the best puzzle video games of all time, its simple, but challenging concept has captivated players of all ages since its launch alongside the original game boy. now, with the launch of game boy color, its graphics have been updated and have been given a new wash of coulour. with the introduction of new and enhanced features, the best just got better!
* back of box (pal) ",0,0,0,0,0,0,0,0,1,2
Yoshi,"an airborne puzzle invasion! it's raining goombas, bloobers and boo buddies! you have to help mario cope with the airborne invasion! as the critters fall, catch them on trays. switch and shuffle to save the day! stack two of a kind and they both disappear. or, capture the whole bunch in-between egg shells. when the egg shells match, out hatches yoshi and up goes your score! the action heats up as the characters fall faster and faster. if your piles get too high, the game is over. choose your difficulty level and play for a high score or challenge a friend in a head-to-head hatch-off! if you like dr. mario, but you're ready for a whole new kind of challenge, you'll love this quick-shuffle action puzzle game! ",0,0,0,0,0,0,0,0,0,2
Game Party 3,"packing tons of party games in one box game party 3 features 19 different game options including eight new party games like billiards, bocce ball, racquetball, smack-a-troll, miniature golf and rootbeer tapper. it supports up to four players in co-op mode, or up to 16 players in bracket tournament mode. the game also offers ""create a player"" and ""profile"" features, allowing gamers to customize the look of their character as well as save high scores to earn tickets that unlock character customization options and unique in-game equipment. ",0,0,0,0,0,0,0,0,0,0
Tetris Worlds,"this next generation of one of the most popular video game franchises of all time takes players to a universe where tetris is played in different fashions on different planets. players will be able to get their tetris fix in the most popular versions of tetris, or the latest cutting-edge variations of the classic game. ",0,0,0,0,0,0,0,0,2,0
Super Puyo Puyo, ,0,0,0,0,0,0,0,0,0,0
Ms. Pac-Man,"by now you've probably spent some time playing the master of mazes -- pac-man. well, lookout pac-man lovers, atari is proud to bring you the ""femme fatale"" of computer video game world -- ms. pac-man!that's right, she's here in all her shining glory. ms. pac-man is sure to steal your heart with her grace and charm.and she's all dolled up with a ribbon in her hair. just like the arcade ms. pac-man, this atari home version has multiple mazes, floating fruit, pretzels, an end-of-game cartoon, and four fearless ghosts -- inky, blinky, pinky, and sue.get ready to feast your eyes on the original video beauty queen. she's ready to bring you many delightful hours of fun and excitement. so, sit back, relax and have a good time playing ms. pac-man.
 
(credit: atari; excerpt from original game instruction manual) ",0,0,0,0,0,0,0,0,0,0
Dig Dug,"become dig dug, the champion of love and justice, as you drill up, down, left and right, defeating any enemies in your path. avoid the persistent pooka and the deep-dwelling but whimsical fygar as you defeat all the enemies in order to clear each stage. defeat enemies by hitting them with the harpoon and pumping air into them, or by dropping rocks on them from above.
receive bonus points by getting the vegetables that appear in the middle of the stage. receive high points for defeating deep-dwelling enemies or by defeating fygars from the side with the harpoon. pass through inflated enemies or defeat enemies in an adjacent passage for an even higher score. lure multiple enemies and defeat them with a single rock from above in this thrilling action game.
 
from: www.nintendo.com  ",0,0,0,0,0,0,0,0,0,0
Yoshi's Cookie, ,0,0,0,0,0,0,0,0,0,0
Mario vs. Donkey Kong 2: March of the Minis,"pauline, is that you? plenty of surprises await in mario vs. donkey kong        2: march of the minis.
it seems folks love those mini mario toys. so much so that the mario toy        company has expanded the line to include mini donkey kong, mini toad and        mini peach figures to the series. with all these toys bringing him more        money than he knows what to do with, mario decides to fulfill his        lifelong dream and open a theme park called super mini mario world.
the opening-day crowd includes pauline and donkey kong, who immediately        falls head over heels for the lovely lass. the proud ape tries to show        off his mini dk toy to pauline, but she picks the mini mario toy over        his and the jealous donkey kong becomes enraged. he smashes the        displays, destroys the toys and takes pauline to the top floor of the        amusement park. players must find pauline and save the day
features

 in the original mario vs. donkey kong, mario was trying to find all          the mini marios ... but this time, it’s up to them to save the day.          players use the stylus and the touch screen to guide mini marios          through mind-boggling, obstacle-filled levels. 
 mario vs. donkey kong 2 allows players to create their own maps with a          new level editor. once a map is created, players can send it across          the world via nintendo wi-fi connection. players also can use nintendo          wi-fi connection to download maps created by others, check out a          player-ranking system and access special bonuses. these unique          features are sure to be a smash hit with puzzle fans everywhere. 
 pauline returns! pauline appeared in the original donkey kong® as the          woman that mario was attempting to rescue, and was one of the first          recognizable characters created by nintendo. after a decades-long          hiatus, pauline is finally returning to the world of video games in          mario vs. donkey kong 2. pauline is the object of donkey kong’s          misplaced affections, so players must rescue her all over again. 

.for more information on this game's wi-fi capabilities, visit        this game's hub on the nintendo wi-fi connecton web site.
nintendo.com ",0,0,0,0,0,0,0,0,0,1
Super Monkey Ball 2,"the ultimate party game returns!!!
your favorite monkeys are back with 12 unbelievable party games, an all-new story mode, and over 150 new stages! let the good times roll!

story mode
tennis
golf
fight
billiard
dog fight
soccer
baseball
shot
race
target
boat race
bowing

*sega - back of box
  ",0,0,0,0,0,0,0,0,0,0
Puzzle & Dragons, ,0,0,0,0,0,0,0,0,0,0
Professor Layton and the Mask of Miracle,"professor layton's first adventure on the nintendo 3ds™ system takes him        to the colorful city of monte d'or, where he must stop a mysterious man        from wreaking havoc with the powerful mask of chaos.
 
unravel new details about professor layton's past alongside luke,        assistant emmy altava, and a whole new cast of characters in this        riveting story. wrack your brain with hundreds of puzzles weaving their        way throughout the story. in addition, download free daily puzzles for a        year!
 
with a robust hint system to help players of all experience levels, and        an epic tale packed to the brim with all-new puzzles, professor layton        makes his triumphant return—only for nintendo 3ds.
source: publisher ",0,0,0,2,0,0,0,0,0,0
Super Scribblenauts,"in super scribblenauts players can only write down the names of any objects not, but they also modify adjectives now to achieve their goal. the adjectives can, size, and many other properties of an object its color, because otherwise responds to its environment. there is also the possibility of working together to combine several adjectives, and so objects to create the most unusual, elegant, burning, flying zombies are thus just as conceivable as thick, winged, purple elephant. the ingenuity of the players are no limits - and the game experience is more individual than ever before. ",0,0,0,0,0,0,0,0,0,0
Super Monkey Ball,"hey party animals!
call your friends and warn your neighbors, it's time to have a ball! go bananas with 90+ stages, multi-player madness, and 7 cool ways to play! equal parts ""party"" and ""game"", super monkey ball could be the most ""well-rounded"" game you've ever played!

monkey billiards
monkey bowling
monkey golf
monkey fight
monkey race
monkey target

*sega - back of box
  ",0,0,0,0,0,0,0,0,0,0
Mario vs. Donkey Kong,"the game plays similarly to the game boy donkey kong game, giving mario the ability to perform handstands and backflips. there are several different environments, ranging from a lava environment to the classic construction site, and there are five different types; in the first, and most common, mario has to pick up a key and take it to the locked door. at the second part of the level, mario had to pick up a toy mario at the end of the level. the second type is where mario must guide the mini mario toys to the toy box, and protecting them from dangerous environments. the third type is the boss level, where mario must fight donkey kong in order to proceed to the next world. the fourth type is the master boss, where mario must throw barrels at donkey kong. the plus game, which is a repeat of the main game, is unlocked. in this mode, the story continues from the main game, where donkey kong obtains a new batch of mini-marios, but with their containers broken because dk fell from the roof, into the truck. in each plus level, mario must activate a mini-mario in the level, which is holding a key, and take it to the door. the fifth type of level is the expert levels. in this mode, mario must get close to the mini-mario with the key and lead it to the door in a very hard level. getting through the door beats the level in plus and expert modes, rather than sending mario to a 2nd part, like in the main mode ",0,0,0,0,0,0,0,0,0,0
Personal Trainer: Math,"do you ever struggle with calculating a dinner bill or confirming exact        change at the cash register? what about helping children with their        homework? help is here! personal trainer: math for nintendo ds is        a fun and rewarding way to keep those math skills sharp.

 the innovative 100-cell method makes learning a game and form the          heart of personal trainer: math. the ""hundred-cell method,""          pioneered by real-world professor hideo kageyama, presents students          with a 10x10 grid. students select the chosen function (addition,          subtraction, or multiplication) and fill the spaces between numbers          across the top and left side. your work will be timed, but these          fast-paced arithmetic problems will keep basic math skills fresh. it's          like digital flash cards in a single grid! 


 daily math drills and an attendance record help keep you on track.          earn medals as your calculation speed improves. 
 forty different exercises of varying difficulty provide options galore          and help you select the most appropriate equation types. 
 players can challenge up to 15 others by using ds download play on a          single game card. 

take the pain out of arithmetic and make learning fun again with personal        trainer: math. it's like having a classroom at the tip of your        fingers! ",0,0,0,0,0,0,0,0,0,0
Gardening Mama,"cooking mama’s stepped out of her kitchen and into the backyard for some gardening fun with mother nature! join mama from the award-winning, multi-million selling cooking mama franchise as she grows, harvests and enjoys a huge variety of fruits, vegetables and flowers in the first ever gardening game.features

everyone’s favorite mama from the best-selling cooking mama series stars in the brand’s first offshoot and the first ever gardening game on nintendo ds
gameplay in gardening mama is very similar to cooking mama gameplay-use the stylus as your master garden tool to nuture 35 different flowers, fruit trees and vegetables. plant, water, fertilize, prune, eliminate pests and then harvest what you’ve grown!
growing live products means that you may experience unexpected results based on your care—flowers can bloom different colors, fruit trees can grow different fruits, etc.
multiple modes of play include:

let’s get growing!—grow a variety of flowers, fruits and vegetables in your various gardens. manage your gardens as they seed, bloom, bear fruit and mature.
decorate the garden!—decorate your flower garden with various fences, pots, flowers and more by earning bonuses to unlock new decorations.
make it fancy! —dress up mama by changing her outfits, glasses, hair and accessories with unlocked bonuses.
cute treasure chest—keep the products you’ve made from your garden and trade those creations with friends online.
let’s play together—compete against up to four friends online to harvest fruits and vegetables. the winner harvests the most!


 ",0,0,0,0,0,0,0,0,0,0
Captain Toad: Treasure Tracker,"the intrepid captain toad sets off on his own adventure for the very        first time through a wide variety of tricky, enemy-infested, maze-like        stages to find hidden gems and nab elusive gold stars.
features:

 equipped with nothing more than a neck scarf, backpack and oversized          head lamp, captain toad finds hidden gems, coins and power-ups on his          way to the gold star at the end of each tricky, trap-filled stage. 
 captain toad isn't particularly fast or strong. he can't jump and he          has no super powers. but he knows that sometimes, it's all about wits          and perspective. 
 twist the camera to reveal hidden locations and other secrets. the wii          u gamepad offers a closer view of the dangers and hidden items in each          maze, and its gyro controls can also be used to peer around. 
 captain toad's world is brimming with life, with dangerous enemies,          tricky platforms, nasty traps and secrets to uncover. each stage is          its own puzzle to solve, and littered throughout are hidden items in          hard-to-reach places. can you help our tiny adventurer survive to find          them all? 

source: nintendo ",0,0,0,0,0,0,0,0,0,1
Gyromite,"gyromite
this game is so intense you cannot play it alone!
 
you'll need r.o.b. - the world's first robotic operating buddy - to play  this action-packed game! you've got to keep r.o.b.'s gyroscope spinning  in order to help a mad scientist deactivate all the dynamite in his  laboratory. you'll move columns up and down to speed the scientist on  his way while trying to avoid the lethal smicks. and you'll get him to  his dynamite even faster if you can get r.o.b. to spin two gyros at the  same time! but don't take your eyes off the scientist, because anything  can happen in gyromite! where two hands and one pair of eyes aren't  always enough! ",0,0,0,0,0,0,0,0,0,0
Scribblenauts: Unlimited,"venture into a wide-open world where the most powerful tool is your imagination. help maxwell solve robust puzzles in seamless, free-roaming levels by summoning any object you can think of. create your own original objects, assign unique properties, and share them with friends online to be used in game or further modified as they like! and for the first time, learn the backstory about maxwell's parents, 41 siblings (including his twin sister lily), and how he got his magical notepad.
source: official game web page
 ",0,0,0,1,0,0,0,0,0,0
Devil Dice,"devil dice is an action game, developed by shift and published by thq,  which was released in 1998. ",0,0,0,0,0,0,0,0,0,0
Tetris 2,"tetris 2 is a stacking puzzle game, developed and published by nintendo,  which was released in 1993. ",0,0,0,0,0,0,0,0,1,1
Kirby Tilt 'n' Tumble,"brace yourself for tilt response technology!
tilt control offers a completely new and unique game-play experience! move your game boy color every which way to control kirby's on-screen actions -snap it up to make him jump, shake it to rev his engine, and tilt it forward, backward and side to side to roll him in all directions. you'll flip, tilt and tumble kirby through his latest adventure and end up turning yourself topsy-turvy in the process.
-roll full-tilt through dreamland -dozens of levels await, complete with multiple branches, hidden levels, perplexing puzzles and plenty of pesky pests.
-have a ball with all-new kirby action! flip kirby into the air to clear chasms, battle baddies and soar the skies. send kirby racing down rapids or rolling across tricky tracks. tilt response puts control in the palm of your hand.
-master the mini-games for maximum fun -kirby dances, drives and dashes to the finish -but only if you can master the tilt technique!
*back of box ",0,0,0,1,0,0,0,0,0,0
Intelligent Qube,"think you're smart? this addictive 3d brain twister puts your strategic thinking skills and reflexes to the ultimate test. destroy oncoming geometric terrors before they push you over the edge or squish you flat. you'll need a quck mind and even quicker thumbs -- if you fail, you die. no pressure.  ",0,0,0,0,0,0,0,0,0,0
Pac-Man," move pac-man through the maze, avoiding ghosts and eating all the pac-dots. beware, each of the ghosts behave differently. when pac-man chomps a power pellet, he becomes invincible and is able to eat the blue ghosts. the more ghosts pac-man eats in a row, the higher the score. don't forget to eat the bonus fruit too. released in 1980, pac-man is the most well-known video game on earth and is also commonly acknowledged as one of the most successful coin-operated games in history. enjoy this masterpiece of gaming history today. from: www.nintendo.com ",0,0,0,0,0,0,0,0,0,0
Boom Blox,"fun for kids and the entire family, boom blox offers action-packed interactive activities that takes wii play to a new level of creativity and fun with single player, co-op, and versus gameplay. players can experience the visceral gameplay - perfectly suited for the wii’s interactive motion-sensitive controls - through brain-twisting challenges. they can interact with entertaining characters such as the block-laying chickens or baseball-throwing monkeys across four themed environments - tiki, medieval, frontier, and haunted. additionally, players can remix any level of the game in create mode using props, blocks, or characters that have been unlocked during the game. players can also virtually build anything they can dream up. plus, their designs can then be shared with friends or used to challenge others to solve their newly created puzzle via wiiconnect24. ",0,0,0,0,0,0,0,0,0,1
Qix,"qix - it's sneaky, it's snakey, it's an unpredictable energy field! it rotates, stretches, shortens and changes directions in a flash. qix tries to catch your diamond cursor before you complete a box. once the box is complete you've taken over that part of the screen. but watch the moving sparks. if they catch you, it'll be over in an instant. when you claim 75% or more of the screen, you win the round. each level is more difficult, with more sparks to dodge and two qix's to challenge you! ",0,0,0,0,0,0,0,0,0,0
Puyo Puyo Sun Ketteiban, ,0,0,0,0,0,0,0,0,0,0
Yoshi's Cookie, ,0,0,0,0,0,0,0,0,0,0
